,Название,ISIN,Рейтинг,Качество Эмитента,Объем,Дата Выпуска,Дата Погашения / Оферты,Купон,Частота Выплат,Дюрация,numRating,toMaturity,dateStart,dateEnd,risk_free_yield_toMaturity,risk_free_yield_toDuration,effYield,premium
0,МОНОПОЛИЯ 001P-03,RU000A10ARS4,BB-,2.6,3000,30.01.2025,26.01.2026,26.5,12,0.47,5,0.989041095890411,2025-01-30,2026-01-26,18.32,18.62,29.967773173405554,11.647773173405554
1,ТГК-14 001Р-05,RU000A10AS02,BB-,6.5,4500,30.01.2025,11.01.2029,24.75,12,2.41,5,3.9506849315068493,2025-01-30,2029-01-11,17.21,17.64,27.75985933535199,10.54985933535199
2,ПАО ЛК Европлан 001P-09,RU000A10ASC6,A,4.0,16000,31.01.2025,14.07.2028,24.0,12,1.5,2,3.452054794520548,2025-01-31,2028-07-14,17.39,18.07,26.824179456254548,9.434179456254547
3,Магнит ПАО БО-005Р-01,RU000A10ANZ8,AA,4.2,36000,24.01.2025,20.04.2026,21.5,12,0.67,1,1.2356164383561643,2025-01-24,2026-04-20,18.88,19.06,23.75042614620062,4.8704261462006215
4,РОЛЬФ БО 001Р-07,RU000A10ASE2,BB-,3.8,1600,31.01.2025,21.01.2027,26.0,12,1.23,5,1.9726027397260273,2025-01-31,2027-01-21,17.86,18.29,29.333398475149398,11.473398475149398
5,ИКС 5 ФИНАНС 003P-08,RU000A10AP21,AA,6.8,20000,27.01.2025,21.02.2026,21.5,12,0.55,1,1.0684931506849316,2025-01-27,2026-02-21,18.94,19.71,23.75042614620062,4.810426146200619
6,ЕвразХолдинг Финанс 003P-02,RU000A10ANH6,AA,5.7,30000,22.01.2025,17.01.2026,22.3,12,0.46,1,0.9863013698630136,2025-01-22,2026-01-17,19.25,19.74,24.72651520922582,5.47651520922582
7,Россети ПАО БО 001P-15R,RU000A10ASB8,AA,5.6,20000,31.01.2025,25.07.2026,21.5,12,0.89,1,1.4794520547945205,2025-01-31,2026-07-25,18.07,18.29,23.75042614620062,5.68042614620062
8,ЛКХ-01,RU000A10AMY3,B,4.0,50,16.01.2025,01.01.2028,31.0,12,1.75,7,2.958904109589041,2025-01-16,2028-01-01,17.71,18.56,35.80685206559087,18.096852065590866
9,БЭЛТИ-ГРАНД ООО БО-П07,RU000A10AQD8,B,4.7,100,27.01.2025,12.01.2028,25.0,12,1.07,7,2.958904109589041,2025-01-27,2028-01-12,17.36,18.94,28.07315606571219,10.713156065712191
10,РЖД 1Р-38R,RU000A10AZ60,AA,4.0,30000,26.02.2025,02.03.2030,17.9,12,3.27,1,5.013698630136986,2025-02-26,2030-03-02,16.32,16.87,19.444075429313635,3.124075429313635
11,ГТЛК 2P-07,RU000A10AU73,BBB,4.3,15000,10.02.2025,04.08.2026,24.0,12,0.91,3,1.4794520547945205,2025-02-10,2026-08-04,18.69,19.08,26.824179456254548,8.134179456254547
12,МТС 1P-28,RU000A10AV98,AA,3.0,20000,14.02.2025,09.06.2026,21.75,12,1.96,1,1.3150684931506849,2025-02-14,2026-06-09,18.41,18.01,24.054699145222603,5.644699145222603
13,БалтЛизП15,RU000A10ATW2,BBB,3.8,6000,28.02.2025,13.02.2028,23.7,12,1.4,3,2.958904109589041,2025-02-28,2028-02-13,17.25,18.39,26.45166958834768,9.20166958834768
14,БинФарм1P4,RU000A10AS28,BB,3.9,4000,06.02.2025,31.07.2026,25.5,12,0.9,4,1.4794520547945205,2025-02-06,2026-07-31,18.71,19.08,28.701863292309106,9.991863292309105
15,iКарРус1P5,RU000A10AV31,BB,4.1,2000,13.02.2025,09.05.2026,25.5,12,0.71,4,1.2328767123287672,2025-02-13,2026-05-09,18.74,19.17,28.701863292309106,9.961863292309108
16,ВИС Ф БП07,RU000A10AV15,BBB,3.1,1500,13.02.2025,07.08.2026,25.25,12,0.91,3,1.4794520547945205,2025-02-13,2026-08-07,18.04,18.74,28.387156905271958,10.347156905271959
17,ГЛОРАКС1Р3,RU000A10ATR2,BB-,1.7,1400,06.02.2025,27.01.2027,28.0,12,1.24,5,1.9726027397260273,2025-02-06,2027-01-27,18.38,19.08,31.888050590818672,13.508050590818673
18,РЖД 1Р-37R,RU000A10AZ45,AA,4.0,28000,26.02.2025,24.08.2028,19.5,12,2.39,1,3.493150684931507,2025-02-26,2028-08-24,16.87,17.45,21.340757895955353,4.470757895955352
19,ЕвроТранс6,RU000A10ATS0,BB,5.9,1930,07.02.2025,12.01.2030,25.0,12,2.87,4,4.931506849315069,2025-02-07,2030-01-12,17.12,17.83,28.07315606571219,10.95315606571219
20,МГКЛ-1P7,RU000A10ATC4,B,1.5,1000,06.02.2025,11.01.2030,30.0,12,2.64,7,4.931506849315069,2025-02-06,2030-01-11,17.17,18.1,34.48888242462971,17.318882424629706
21,РЖД 1Р-36R,RU000A10AUE8,AA,4.0,20000,11.02.2025,22.11.2028,19.95,12,2.52,1,3.780821917808219,2025-02-11,2028-11-22,17.59,18.21,21.87915195316046,4.289151953160459
22,АПРИ 2Р7,RU000A10AUG3,B+,3.4,300,12.02.2025,06.08.2026,29.5,12,0.91,6,1.4794520547945205,2025-02-12,2026-08-06,18.75,19.14,33.83430387360171,15.084303873601712
23,РостелP14R,RU000A10ASS2,AA,8.1,18000,03.02.2025,29.05.2026,21.65,12,0.76,1,1.3150684931506849,2025-02-03,2026-05-29,18.37,18.72,23.932907746143538,5.562907746143537
24,Россет1Р16,RU000A10ATT8,AA,5.6,20000,07.02.2025,03.05.2026,21.35,12,0.7,1,1.2328767123287672,2025-02-07,2026-05-03,19.05,19.26,23.568190875663664,4.518190875663663
25,ВсИнстр1Р4,RU000A10AXP8,BB,4.0,1000,18.02.2025,12.08.2026,24.0,12,0.93,4,1.4794520547945205,2025-02-18,2026-08-12,18.32,18.82,26.824179456254548,8.504179456254548
27,Интерскол3,RU000A10ATB6,B,3.2,340,05.02.2025,02.11.2025,29.5,12,0.16,7,0.7397260273972602,2025-02-05,2025-11-02,19.14,19.51,33.83430387360171,14.694303873601712
28,МЕТАЛН1P10,RU000A10AU99,AA,5.2,10000,10.02.2025,05.02.2026,21.3,12,0.5,1,0.9863013698630136,2025-02-10,2026-02-05,19.08,19.53,23.50750047308918,4.427500473089182
29,НовТех1Р4,RU000A10AYF7,BB,3.6,1100,21.02.2025,19.02.2027,24.25,4,1.3,4,1.9945205479452055,2025-02-21,2027-02-19,17.94,18.35,26.54571344728085,8.605713447280849
30,Магнит5P02,RU000A10AXH5,AA,4.2,46500,18.02.2025,11.09.2026,21.5,12,1.01,1,1.5616438356164384,2025-02-18,2026-09-11,18.32,18.82,23.75042614620062,5.43042614620062
31,СибСтекБ01,RU000A10ASF9,B,6.5,350,03.02.2025,24.01.2027,29.0,12,1.11,7,1.9726027397260273,2025-02-03,2027-01-24,18.17,18.6,33.18264695016104,15.012646950161042
32,ВТБ Б1-371,RU000A10AY61,AA,1.1,1030,20.02.2025,19.02.2026,19.8,4,0.53,1,0.9972602739726028,2025-02-20,2026-02-19,18.77,19.39,21.319265322506297,2.5492653225062973
33,АСпэйс 1Р2,RU000A10AYB6,B,3.0,150,21.02.2025,04.08.2028,31.0,12,1.83,7,3.452054794520548,2025-02-21,2028-08-04,17.05,17.94,35.80685206559087,18.756852065590866
34,ХРОМОС Б3,RU000A10AXX2,B,5.8,250,20.02.2025,05.02.2028,29.5,12,1.83,7,2.958904109589041,2025-02-20,2028-02-05,17.21,17.85,33.83430387360171,16.62430387360171
35,МаниМенБО1,RU000A10AYU6,B+,9.5,500,25.02.2025,10.02.2028,26.5,12,1.9,6,2.958904109589041,2025-02-25,2028-02-10,17.29,17.95,29.967773173405554,12.677773173405555
36,КЛВЗ 1P02,RU000A10AZG2,B,4.3,350,27.02.2025,12.02.2028,28.0,12,1.67,7,2.958904109589041,2025-02-27,2028-02-12,17.13,18.23,31.888050590818672,14.758050590818673
37,ВТБ Б1-370,RU000A10AY53,AA,1.1,910,20.02.2025,21.08.2025,20.5,4,0.06,1,0.4986301369863014,2025-02-20,2025-08-21,19.39,19.74,22.13047191430666,2.74047191430666
38,ИКС5Ф3P10,RU000A10AT27,AA,6.8,10000,28.02.2025,18.02.2027,19.95,12,1.38,1,1.9726027397260273,2025-02-28,2027-02-18,17.94,18.39,21.87915195316046,3.939151953160458
39,Органик1Р1,RU000A10AZN8,B,6.0,100,28.02.2025,13.02.2028,29.5,12,1.86,7,2.958904109589041,2025-02-28,2028-02-13,17.25,17.94,33.83430387360171,16.584303873601712
40,ПСБ 3P-11,RU000A10AV72,AA,1.7,8000,14.02.2025,13.02.2026,22.3,4,0.51,1,0.9972602739726028,2025-02-14,2026-02-13,18.91,19.51,24.235113299000368,5.325113299000368
41,ЛКХ-02,RU000A10AT01,B,4.0,50,04.02.2025,20.01.2028,31.0,12,1.76,7,2.958904109589041,2025-02-04,2028-01-20,18.0,18.38,35.80685206559087,17.806852065590867
42,ВЭБ2Р-К601,RU000A10AYN1,AA,2.7,6680,24.02.2025,19.02.2026,21.25,12,0.53,1,0.9863013698630136,2025-02-24,2026-02-19,18.88,19.44,23.446837395665575,4.566837395665576
43,МТС-Банк04,RU000A10ASQ6,BB,2.8,500,03.02.2025,04.08.2025,23.3,2,0.02,4,0.4986301369863014,2025-02-03,2025-08-04,18.84,18.96,24.657225000000004,5.817225000000004
44,ВЭБ2Р-К600,RU000A10AUY6,AA,2.7,6130,12.02.2025,16.12.2025,21.3,12,0.37,1,0.8410958904109589,2025-02-12,2025-12-16,19.36,19.82,23.50750047308918,4.147500473089181
45,РЕСОЛиБП16,RU000A10AV23,BBB,4.0,5000,13.02.2025,08.02.2026,21.5,12,0.51,3,0.9863013698630136,2025-02-13,2026-02-08,18.74,19.67,23.75042614620062,5.010426146200622
46,Брус 2P05,RU000A10B313,BB,3.8,3000,19.03.2025,10.09.2026,23.25,12,0.99,4,1.4794520547945205,2025-03-19,2026-09-10,16.19,17.44,25.894785034834243,9.704785034834241
47,NSKATD-03,RU000A10B461,BB,6.5,1700,20.03.2025,11.09.2026,24.46,12,1.92,4,1.4794520547945205,2025-03-20,2026-09-11,16.02,15.49,27.397315341787266,11.377315341787266
48,Систем2P01,RU000A10B024,BBB,3.7,12000,04.03.2025,11.04.2026,23.35,12,0.65,3,1.104109589041096,2025-03-04,2026-04-11,18.42,18.75,26.018342514187907,7.598342514187905
49,АПРИ 2Р9,RU000A10AZY5,B+,3.4,1000,04.03.2025,27.02.2026,31.06,12,0.57,6,0.9863013698630136,2025-03-04,2026-02-27,18.42,19.13,35.88630547773071,17.466305477730707
50,Селигдар2Р,RU000A10B1X2,BBB,3.8,3500,11.03.2025,01.03.2027,21.47,12,1.34,3,1.9726027397260273,2025-03-11,2027-03-01,16.22,16.88,23.71395939542007,7.49395939542007
51,ЛСР БО1Р10,RU000A10B0B0,BB,5.6,4000,05.03.2025,27.08.2026,22.3,12,0.96,4,1.4794520547945205,2025-03-05,2026-08-27,17.22,18.12,24.72651520922582,7.506515209225821
52,РЖД 1Р-40R,RU000A10B115,AA,4.0,40000,07.03.2025,10.05.2030,15.35,12,3.34,1,5.178082191780822,2025-03-07,2030-05-10,15.22,15.42,16.47733658128452,1.2573365812845179
53,РЖД 1Р-41R,RU000A10B495,AA,4.0,30000,20.03.2025,15.03.2029,15.64,4,2.78,1,3.989041095890411,2025-03-20,2029-03-15,14.87,15.04,16.58143031440158,1.7114303144015803
54,МТС 2P-07,RU000A10B1N3,AA,3.0,20000,10.03.2025,05.03.2026,20.02,12,1.99,1,0.9863013698630136,2025-03-10,2026-03-05,17.82,15.96,21.963098674838278,4.143098674838278
55,ДелЛиз1Р2,RU000A10B0J3,BBB,5.9,4500,06.03.2025,19.02.2028,21.54,12,1.31,3,2.958904109589041,2025-03-06,2028-02-19,15.64,16.86,23.799063808154465,8.159063808154464
56,Джи-гр 2P6,RU000A10B1Q6,BB,6.3,1500,10.03.2025,28.02.2027,22.21,12,1.33,4,1.9726027397260273,2025-03-10,2027-02-28,15.96,16.67,24.616353957563607,8.656353957563606
57,БинФарм1P5,RU000A10B3Q2,BB,3.9,6000,21.03.2025,12.09.2026,21.68,12,1.01,4,1.4794520547945205,2025-03-21,2026-09-12,16.36,17.4,23.969433652288807,7.609433652288807
58,ВИС Ф БП08,RU000A10B2T8,BBB,3.1,1500,14.03.2025,04.03.2027,21.53,12,1.34,3,1.9726027397260273,2025-03-14,2027-03-04,15.88,16.57,23.78690275015667,7.90690275015667
59,ИнтЛиз1Р11,RU000A10B4A4,BB,3.3,4500,20.03.2025,27.02.2029,21.75,12,1.65,4,3.9452054794520546,2025-03-20,2029-02-27,14.87,16.02,24.054699145222603,9.184699145222604
60,МОНОП 1P04,RU000A10B396,BB-,2.6,820,17.03.2025,08.09.2026,24.93,12,0.97,5,1.4794520547945205,2025-03-17,2026-09-08,16.38,17.58,27.985362068796825,11.605362068796826
61,Кокс01Р2,RU000A10B0R6,BBB,3.5,1000,06.03.2025,28.08.2026,24.09,12,0.95,3,1.4794520547945205,2025-03-06,2026-08-28,16.86,17.88,26.936128410271778,10.076128410271778
62,Аэрфью2Р04,RU000A10B3S8,BB,3.2,1600,21.03.2025,19.03.2027,22.86,4,1.38,4,1.9945205479452055,2025-03-21,2027-03-19,15.8,16.36,24.895403815968507,9.095403815968506
63,ИКС5Ф3P11,RU000A10AT35,AA,6.8,15000,24.03.2025,14.03.2027,16.33,12,1.44,1,1.9726027397260273,2025-03-24,2027-03-14,16.09,16.64,17.60940939522053,1.5194093952205314
64,АйДиКол1P1,RU000A10B2P6,B,6.5,1300,14.03.2025,27.02.2028,23.7,12,1.92,7,2.958904109589041,2025-03-14,2028-02-27,15.24,15.88,26.45166958834768,11.21166958834768
65,Роделен2P3,RU000A10B2F7,BB-,4.0,1000,13.03.2025,15.02.2030,23.25,12,2.16,5,4.931506849315069,2025-03-13,2030-02-15,15.18,16.24,25.894785034834243,10.714785034834243
