,tradedate,tradetime,period_0.25,period_0.5,period_0.75,period_1.0,period_1.5,period_2.0,period_2.5,period_3.0,period_3.5,period_4.0,period_5.0,period_7.0,period_10.0,period_15.0,date
0,03.01.2025,18:39:58,18.7,18.62,18.52,18.41,18.17,17.92,17.66,17.41,17.18,16.96,16.57,15.96,15.38,14.86,2025-01-03
1,06.01.2025,18:39:58,19.1,18.96,18.82,18.66,18.34,18.03,17.72,17.43,17.16,16.91,16.48,15.81,15.18,14.63,2025-01-06
2,08.01.2025,18:39:58,19.43,19.26,19.07,18.87,18.48,18.11,17.75,17.42,17.11,16.84,16.37,15.68,15.07,14.6,2025-01-08
3,09.01.2025,18:39:58,18.77,18.68,18.57,18.46,18.22,17.97,17.72,17.48,17.27,17.07,16.72,16.19,15.64,15.08,2025-01-09
4,10.01.2025,18:39:56,19.06,18.93,18.79,18.64,18.34,18.05,17.77,17.52,17.28,17.08,16.73,16.21,15.7,15.2,2025-01-10
5,13.01.2025,18:39:59,19.03,18.86,18.7,18.54,18.23,17.93,17.66,17.41,17.19,17.0,16.67,16.18,15.7,15.21,2025-01-13
6,14.01.2025,18:39:56,19.07,18.91,18.74,18.58,18.27,17.98,17.71,17.46,17.24,17.04,16.71,16.22,15.76,15.28,2025-01-14
7,15.01.2025,18:39:53,19.32,19.16,19.0,18.84,18.53,18.24,17.98,17.73,17.5,17.29,16.93,16.39,15.86,15.34,2025-01-15
8,16.01.2025,18:39:58,19.39,19.23,19.06,18.89,18.56,18.25,17.97,17.71,17.47,17.26,16.9,16.35,15.8,15.25,2025-01-16
9,17.01.2025,18:39:58,19.45,19.29,19.13,18.97,18.66,18.35,18.07,17.81,17.57,17.36,17.0,16.45,15.88,15.3,2025-01-17
10,20.01.2025,18:39:57,19.24,19.08,18.92,18.75,18.44,18.14,17.86,17.6,17.37,17.17,16.83,16.31,15.78,15.24,2025-01-20
11,21.01.2025,18:39:58,19.32,19.16,19.0,18.84,18.53,18.23,17.96,17.7,17.48,17.28,16.94,16.44,15.94,15.42,2025-01-21
12,22.01.2025,18:39:57,20.0,19.74,19.49,19.25,18.8,18.4,18.07,17.77,17.52,17.29,16.93,16.4,15.89,15.4,2025-01-22
13,23.01.2025,18:39:59,19.45,19.27,19.09,18.92,18.59,18.28,18.0,17.75,17.53,17.33,16.99,16.48,15.96,15.45,2025-01-23
14,24.01.2025,18:39:58,19.44,19.25,19.06,18.88,18.55,18.24,17.97,17.72,17.5,17.31,16.99,16.52,16.04,15.57,2025-01-24
15,27.01.2025,18:39:58,20.19,19.71,19.3,18.94,18.37,17.94,17.61,17.36,17.16,17.01,16.8,16.56,16.38,16.2,2025-01-27
16,28.01.2025,18:39:55,20.4,19.79,19.29,18.88,18.26,17.83,17.52,17.29,17.12,16.99,16.81,16.61,16.45,16.29,2025-01-28
17,29.01.2025,18:39:58,19.34,19.07,18.83,18.6,18.22,17.91,17.66,17.46,17.29,17.14,16.92,16.63,16.37,16.11,2025-01-29
18,30.01.2025,18:39:58,18.79,18.62,18.47,18.32,18.06,17.84,17.64,17.48,17.33,17.21,17.01,16.73,16.48,16.2,2025-01-30
19,31.01.2025,18:39:58,18.68,18.54,18.42,18.29,18.07,17.86,17.68,17.53,17.39,17.27,17.08,16.81,16.53,16.24,2025-01-31
20,03.02.2025,18:39:55,18.96,18.84,18.72,18.6,18.37,18.17,17.98,17.82,17.68,17.54,17.32,16.96,16.6,16.22,2025-02-03
21,04.02.2025,18:39:58,19.23,19.1,18.97,18.85,18.61,18.38,18.18,18.0,17.83,17.68,17.41,17.0,16.6,16.18,2025-02-04
22,05.02.2025,18:39:58,19.51,19.33,19.14,18.95,18.58,18.27,18.01,17.8,17.63,17.49,17.27,16.96,16.63,16.23,2025-02-05
23,06.02.2025,18:39:54,19.74,19.51,19.29,19.08,18.71,18.38,18.1,17.86,17.65,17.47,17.17,16.75,16.36,15.98,2025-02-06
24,07.02.2025,18:39:58,19.71,19.48,19.26,19.05,18.67,18.35,18.07,17.83,17.62,17.43,17.12,16.68,16.27,15.86,2025-02-07
25,10.02.2025,18:39:58,19.77,19.53,19.3,19.08,18.69,18.35,18.08,17.84,17.64,17.46,17.16,16.72,16.28,15.85,2025-02-10
26,11.02.2025,18:39:54,19.78,19.56,19.35,19.15,18.79,18.48,18.21,17.98,17.78,17.59,17.28,16.81,16.34,15.87,2025-02-11
27,12.02.2025,18:39:57,19.82,19.59,19.36,19.14,18.75,18.41,18.14,17.91,17.7,17.52,17.2,16.75,16.3,15.85,2025-02-12
28,13.02.2025,18:39:58,20.25,19.67,19.17,18.74,18.04,17.52,17.11,16.8,16.56,16.36,16.07,15.69,15.35,15.02,2025-02-13
