<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B461,D,200325,000000,100.51,101.7,99.46,99.99,107672
RU000A10B461,D,210325,000000,99.99,100.29,99.8,99.93,113523
RU000A10B461,D,240325,000000,100,100.09,99.84,99.94,99496
RU000A10B461,D,250325,000000,100.06,100.06,99.4,99.69,112420
RU000A10B461,D,260325,000000,99.83,99.83,99.4,99.61,52799
RU000A10B461,D,270325,000000,99.65,99.74,99.4,99.67,60507
RU000A10B461,D,280325,000000,99.74,99.75,99.4,99.6,58667
RU000A10B461,D,310325,000000,99.72,99.72,99.35,99.57,31815
RU000A10B461,D,010425,000000,99.68,99.68,99.21,99.44,33772
RU000A10B461,D,020425,000000,99.53,99.61,97.22,98.38,71572
RU000A10B461,D,030425,000000,98.01,98.81,96.56,98.5,46188
RU000A10B461,D,040425,000000,98.7,98.72,97.34,97.88,16587
RU000A10B461,D,070425,000000,97.77,97.77,96,97.47,23738
RU000A10B461,D,080425,000000,97.5,98.29,97.47,97.8,9795
RU000A10B461,D,090425,000000,98.4,98.4,96.82,96.9,11179
RU000A10B461,D,100425,000000,97.84,98.29,97.11,98.25,9011
RU000A10B461,D,110425,000000,98.25,98.7,98,98.63,14869
RU000A10B461,D,140425,000000,98.68,98.88,97.97,98.39,13651
RU000A10B461,D,150425,000000,98.68,98.68,97.94,98.47,13316
RU000A10B461,D,160425,000000,98.49,98.82,98.38,98.81,14894
RU000A10B461,D,170425,000000,98.83,99.2,98.71,99.19,27344
RU000A10B461,D,180425,000000,99.38,99.4,99.2,99.4,20613
RU000A10B461,D,210425,000000,99.46,99.69,99.27,99.58,17645
RU000A10B461,D,220425,000000,99.66,100.06,99.52,100.05,17877
RU000A10B461,D,230425,000000,100.05,100.25,100.02,100.25,11944
RU000A10B461,D,240425,000000,100.2,100.5,100.01,100.38,14451
RU000A10B461,D,250425,000000,100.49,100.61,100.39,100.6,8970
RU000A10B461,D,280425,000000,100.61,100.92,100.53,100.61,8325
RU000A10B461,D,290425,000000,100.6,102,100.6,101.35,13992
RU000A10B461,D,300425,000000,101.63,101.66,101.25,101.66,6359
RU000A10B461,D,020525,000000,101.65,101.65,101.05,101.61,3011
RU000A10B461,D,050525,000000,101,101.95,100.8,101.58,12180
RU000A10B461,D,060525,000000,101.77,101.95,100.81,101.89,9073
RU000A10B461,D,070525,000000,101.84,103.5,101.7,102.55,11462
RU000A10B461,D,080525,000000,102.5,103.48,102.01,102.9,3616
RU000A10B461,D,120525,000000,103.44,103.46,102,102.98,4517
RU000A10B461,D,130525,000000,103,103.01,102.74,103,12851
RU000A10B461,D,140525,000000,103,103.16,102.6,103.07,5618
RU000A10B461,D,150525,000000,103.07,103.16,102.81,103.11,3269
RU000A10B461,D,160525,000000,103.13,103.2,102.5,103.17,7345
RU000A10B461,D,190525,000000,103.22,103.4,102.5,102.95,10241
RU000A10B461,D,200525,000000,102.71,103.19,101.98,103.02,6689
RU000A10B461,D,210525,000000,103.02,103.11,102.3,102.76,4444
RU000A10B461,D,220525,000000,102.76,102.76,100.06,101.95,13517
RU000A10B461,D,230525,000000,101.95,101.98,101.08,101.8,6001
RU000A10B461,D,260525,000000,101.72,102,100.5,101.76,10015
RU000A10B461,D,270525,000000,101.87,102.78,101.71,102.33,6926
RU000A10B461,D,280525,000000,102.32,102.88,102.12,102.79,5492
RU000A10B461,D,290525,000000,102.7,103.17,102.01,102.11,11501
RU000A10B461,D,300525,000000,102.5,103,101.87,102.69,5563
RU000A10B461,D,020625,000000,102.69,103.7,101.63,102.98,8857
RU000A10B461,D,030625,000000,103.01,103.35,102.98,103.19,6628
RU000A10B461,D,040625,000000,103.19,103.35,102.6,103.25,5137
RU000A10B461,D,050625,000000,103.24,103.25,102.03,103.17,6699
RU000A10B461,D,060625,000000,103.5,104,102.16,103.98,9274
RU000A10B461,D,090625,000000,103.98,105.2,102.5,103.63,6456
RU000A10B461,D,100625,000000,102.85,104.98,102.72,103.75,6549
RU000A10B461,D,110625,000000,104.46,104.5,103.72,104.2,9291
RU000A10B461,D,130625,000000,104.01,104.45,103.85,104.03,3010
RU000A10B461,D,160625,000000,104.05,104.71,103.75,104.39,4891
RU000A10B461,D,170625,000000,104.01,104.5,103.02,103.63,6573
RU000A10B461,D,180625,000000,104,104.45,102.7,103.42,7812
