<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B7W1,D,030425,000000,100.51,103,100.51,102.7,50672
RU000A10B7W1,D,040425,000000,102.71,102.99,101.61,102.4,48072
RU000A10B7W1,D,070425,000000,101.82,102.05,101,101.75,35671
RU000A10B7W1,D,080425,000000,102.09,102.75,102.09,102.69,15275
RU000A10B7W1,D,090425,000000,102.74,102.98,101.85,102.64,4999
RU000A10B7W1,D,100425,000000,102.64,103,102.55,102.9,3590
RU000A10B7W1,D,110425,000000,102.91,103.89,102.7,103.84,5512
RU000A10B7W1,D,140425,000000,103.84,105,103.81,104.51,10040
RU000A10B7W1,D,150425,000000,104.5,106.47,104.5,105.4,8247
RU000A10B7W1,D,160425,000000,105.99,106.3,104.53,105.62,3963
RU000A10B7W1,D,170425,000000,105.62,105.9,104.63,105.5,2781
RU000A10B7W1,D,180425,000000,105.62,106.23,104.7,105.89,5822
RU000A10B7W1,D,210425,000000,105.99,106.24,104.55,105.55,5505
RU000A10B7W1,D,220425,000000,106,107,105.4,105.99,4878
RU000A10B7W1,D,230425,000000,105.99,106.47,105.6,106.05,4346
RU000A10B7W1,D,240425,000000,106.05,106.24,104.01,105.6,2570
RU000A10B7W1,D,250425,000000,106,106.45,105.25,105.99,2750
RU000A10B7W1,D,280425,000000,105.99,106.25,105.55,106,3073
RU000A10B7W1,D,290425,000000,106,106.39,105.4,105.76,5983
RU000A10B7W1,D,300425,000000,106.22,107.95,105.78,106.49,3744
RU000A10B7W1,D,020525,000000,106.97,107.89,106.54,106.99,1557
RU000A10B7W1,D,050525,000000,106.99,108.9,106,106.98,5349
RU000A10B7W1,D,060525,000000,106.98,107,106,106.62,3625
RU000A10B7W1,D,070525,000000,107.38,108.9,106.6,107.19,6583
RU000A10B7W1,D,080525,000000,107.28,108.2,107.01,107.65,4892
RU000A10B7W1,D,120525,000000,108.17,108.19,107.78,107.79,5608
RU000A10B7W1,D,130525,000000,107.79,108.9,107.79,108.38,2616
RU000A10B7W1,D,140525,000000,108.3,109,107.8,108.8,4449
RU000A10B7W1,D,150525,000000,108.97,108.98,108,108.91,3442
RU000A10B7W1,D,160525,000000,108.91,108.91,108,108.49,2631
RU000A10B7W1,D,190525,000000,108.49,108.7,108.07,108.59,3935
RU000A10B7W1,D,200525,000000,108.59,108.75,107.5,108.48,2889
RU000A10B7W1,D,210525,000000,108.59,108.59,107,107.96,2170
RU000A10B7W1,D,220525,000000,108.54,108.54,107.2,108.23,2540
RU000A10B7W1,D,230525,000000,108.23,108.28,107.3,107.93,1813
RU000A10B7W1,D,260525,000000,108.21,108.89,106.47,107.94,4513
RU000A10B7W1,D,270525,000000,107.93,108.27,107.58,108.15,4046
RU000A10B7W1,D,280525,000000,108.15,108.28,107.53,108.19,5779
RU000A10B7W1,D,290525,000000,108.15,108.87,107.9,108.49,2684
RU000A10B7W1,D,300525,000000,108.5,108.95,108.05,108.39,2365
RU000A10B7W1,D,020625,000000,108.5,108.99,104.06,108.41,10912
RU000A10B7W1,D,030625,000000,108.14,108.36,107.6,108.24,4531
RU000A10B7W1,D,040625,000000,108.3,108.96,107.73,108.35,4326
RU000A10B7W1,D,050625,000000,108.5,109,107.6,108.59,4731
RU000A10B7W1,D,060625,000000,108.98,108.98,107.99,108.33,4719
RU000A10B7W1,D,090625,000000,108.79,109.25,108.33,108.99,3729
RU000A10B7W1,D,100625,000000,109.25,109.25,108.7,109.21,2470
RU000A10B7W1,D,110625,000000,109.22,113.79,108.52,109.3,3447
RU000A10B7W1,D,130625,000000,109.33,109.6,109.21,109.31,1410
RU000A10B7W1,D,160625,000000,109.65,110.5,108.01,110.5,4548
RU000A10B7W1,D,170625,000000,110.4,111.35,109.56,110.58,2220
