<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AV31,D,130225,000000,100.1,101.4,100.1,101.38,30675
RU000A10AV31,D,140225,000000,101.3,102,100.3,101.73,35258
RU000A10AV31,D,170225,000000,101.91,102.2,101.33,102.1,19008
RU000A10AV31,D,180225,000000,102.2,102.35,101.4,101.99,15910
RU000A10AV31,D,190225,000000,101.99,102.08,100.6,101.76,13371
RU000A10AV31,D,200225,000000,101.8,102.19,101.43,101.95,15461
RU000A10AV31,D,210225,000000,102.15,102.5,101.81,102.5,22774
RU000A10AV31,D,240225,000000,102.01,102.8,101.5,102.5,11829
RU000A10AV31,D,250225,000000,102.5,103,101.55,102.23,6956
RU000A10AV31,D,260225,000000,102,102.3,101.53,102,15560
RU000A10AV31,D,270225,000000,102,102,101.7,102,11938
RU000A10AV31,D,280225,000000,102,102,101.52,101.99,7997
RU000A10AV31,D,030325,000000,102.19,102.46,101.74,101.97,19546
RU000A10AV31,D,040325,000000,102.01,102.25,101.7,101.93,7804
RU000A10AV31,D,050325,000000,101.8,102,101.62,101.92,17641
RU000A10AV31,D,060325,000000,101.98,102,101.7,101.96,17193
RU000A10AV31,D,070325,000000,102.29,102.66,101.92,102.6,16783
RU000A10AV31,D,100325,000000,102.6,102.6,102,102.45,12637
RU000A10AV31,D,110325,000000,102.45,102.6,102.01,102.47,6816
RU000A10AV31,D,120325,000000,102.46,102.5,101.71,102.5,7550
RU000A10AV31,D,130325,000000,102.6,102.75,102.1,102.3,11727
RU000A10AV31,D,140325,000000,102,102.5,101.85,102.48,10674
RU000A10AV31,D,170325,000000,102.47,102.99,102,102.94,10303
RU000A10AV31,D,180325,000000,102.96,102.98,102.01,102.6,9876
RU000A10AV31,D,190325,000000,102.94,102.96,102.33,102.94,7695
RU000A10AV31,D,200325,000000,102.97,103,102.51,102.9,6844
RU000A10AV31,D,210325,000000,103.15,103.5,102.54,102.97,11144
RU000A10AV31,D,240325,000000,103.4,103.45,102.5,102.93,12336
RU000A10AV31,D,250325,000000,102.99,103,101.7,102,14745
RU000A10AV31,D,260325,000000,102.02,102.5,100.53,102,16446
RU000A10AV31,D,270325,000000,102.03,102.6,101.16,102.24,10090
RU000A10AV31,D,280325,000000,102.59,103.36,102.24,102.86,19283
RU000A10AV31,D,310325,000000,103.36,103.43,102.38,102.86,6020
RU000A10AV31,D,010425,000000,102.99,102.99,102.53,102.95,5289
RU000A10AV31,D,020425,000000,102.96,103.14,102.8,102.97,6000
RU000A10AV31,D,030425,000000,103.19,103.3,102.7,102.7,4716
RU000A10AV31,D,040425,000000,102.7,103.3,101.79,102.21,7255
RU000A10AV31,D,070425,000000,102,102.1,100.51,101.69,11135
RU000A10AV31,D,080425,000000,102.92,102.92,101.5,102.05,4718
RU000A10AV31,D,090425,000000,102.06,102.9,101.07,102,4552
RU000A10AV31,D,100425,000000,102.18,102.78,101.07,101.95,2951
RU000A10AV31,D,110425,000000,101.89,102.79,101.77,102.31,24093
RU000A10AV31,D,140425,000000,102.75,102.87,101.86,102.51,8901
RU000A10AV31,D,150425,000000,102.87,102.87,102.2,102.69,6338
RU000A10AV31,D,160425,000000,102.69,103.38,102.45,102.75,7786
RU000A10AV31,D,170425,000000,103.1,103.1,102.21,102.9,4915
RU000A10AV31,D,180425,000000,102.9,102.98,102.2,102.93,5145
RU000A10AV31,D,210425,000000,102.77,102.9,102,102.32,7733
RU000A10AV31,D,220425,000000,102.67,102.99,101.53,102.53,13439
RU000A10AV31,D,230425,000000,102.8,102.8,102.01,102.6,3083
