<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BPQ0,D,290525,000000,100,100.48,99.11,100,29141
RU000A10BPQ0,D,300525,000000,100.43,100.98,100.02,100.87,25512
RU000A10BPQ0,D,020625,000000,100.5,101.86,100.5,101.65,743
RU000A10BPQ0,D,030625,000000,101.13,103,101.13,103,1165
RU000A10BPQ0,D,040625,000000,102,103.06,101.38,103.03,152
RU000A10BPQ0,D,050625,000000,103,104.49,102,103,70
RU000A10BPQ0,D,060625,000000,102.1,104,101.8,102.51,691
RU000A10BPQ0,D,090625,000000,103.39,103.39,101.57,102.89,430
RU000A10BPQ0,D,100625,000000,102.86,103.34,102.01,102.47,186
RU000A10BPQ0,D,110625,000000,103.33,103.33,101.99,102.83,80
RU000A10BPQ0,D,130625,000000,102.83,103.35,102.82,103.3,749
RU000A10BPQ0,D,160625,000000,103.79,103.79,101,102.5,107
RU000A10BPQ0,D,170625,000000,103.45,103.46,101.8,102,59
RU000A10BPQ0,D,180625,000000,101.04,102.82,101.04,102.5,162
RU000A10BPQ0,D,190625,000000,101.29,102.43,100.6,102.07,258
RU000A10BPQ0,D,200625,000000,102,102.3,100.72,101.56,1419
RU000A10BPQ0,D,230625,000000,102.24,102.31,101,101.92,117
RU000A10BPQ0,D,240625,000000,102.06,102.15,100.51,101.72,229
RU000A10BPQ0,D,250625,000000,101.99,102,101.9,102,89
RU000A10BPQ0,D,260625,000000,102,102.31,101.98,102.31,303
RU000A10BPQ0,D,270625,000000,102.3,102.5,101.57,102.26,480
RU000A10BPQ0,D,300625,000000,100.5,102.4,100.5,102.38,275
RU000A10BPQ0,D,010725,000000,102.38,102.39,101.5,101.92,417
RU000A10BPQ0,D,020725,000000,102.49,103.92,102.42,103.84,750
RU000A10BPQ0,D,030725,000000,103.83,103.83,102.49,103.62,69
RU000A10BPQ0,D,040725,000000,102.96,102.99,101.03,101.65,356
RU000A10BPQ0,D,070725,000000,103.64,103.64,102.3,102.9,120
RU000A10BPQ0,D,080725,000000,102.77,103,101.06,102.25,408
RU000A10BPQ0,D,090725,000000,102.13,102.84,101.13,102.11,109
RU000A10BPQ0,D,100725,000000,102.81,103.86,102.19,102.19,154
RU000A10BPQ0,D,110725,000000,103.49,103.49,102.11,102.25,185
RU000A10BPQ0,D,140725,000000,102.11,103.19,101.46,103.13,384
RU000A10BPQ0,D,150725,000000,103.49,103.86,102.5,103.86,174
RU000A10BPQ0,D,160725,000000,103.06,103.83,102.34,103.83,49
RU000A10BPQ0,D,170725,000000,103.65,103.86,102.13,103.85,162
RU000A10BPQ0,D,180725,000000,103.64,103.8,102.85,103.5,125
RU000A10BPQ0,D,210725,000000,103.86,103.86,102.81,103.85,66
RU000A10BPQ0,D,220725,000000,103.85,103.86,102.69,103.86,362
RU000A10BPQ0,D,230725,000000,104.98,104.99,103.77,103.77,81
RU000A10BPQ0,D,240725,000000,108.19,108.19,104.8,104.8,22
RU000A10BPQ0,D,250725,000000,105,105.33,104.6,105.33,104
RU000A10BPQ0,D,280725,000000,105.31,109.64,104.27,104.9,154
RU000A10BPQ0,D,290725,000000,107,107,104.25,104.78,168
RU000A10BPQ0,D,300725,000000,104.86,108,104.86,107.99,463
RU000A10BPQ0,D,310725,000000,106.07,106.84,106.06,106.06,44
