<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BNM4,D,230525,000000,100,100.5,99.45,99.62,155676
RU000A10BNM4,D,260525,000000,99.89,100.23,99.66,100,168644
RU000A10BNM4,D,270525,000000,100.18,100.5,100.04,100.27,87506
RU000A10BNM4,D,280525,000000,100.44,100.79,100.26,100.42,60469
RU000A10BNM4,D,290525,000000,100.5,100.69,100.08,100.45,67079
RU000A10BNM4,D,300525,000000,100.63,100.63,100.02,100.35,30036
RU000A10BNM4,D,020625,000000,100.36,101.29,100.28,101.06,58606
RU000A10BNM4,D,030625,000000,101.25,102.75,100.6,101.96,64382
RU000A10BNM4,D,040625,000000,102.24,102.24,101.55,101.7,43986
RU000A10BNM4,D,050625,000000,101.79,101.8,101.1,101.2,47558
RU000A10BNM4,D,060625,000000,101.47,101.79,101.28,101.5,77393
RU000A10BNM4,D,090625,000000,101.5,101.6,100.8,101.2,32688
RU000A10BNM4,D,100625,000000,101.5,101.65,100.93,101.2,35416
RU000A10BNM4,D,110625,000000,101.19,102.25,100.8,101.98,26604
RU000A10BNM4,D,130625,000000,102.25,102.47,101.8,102.32,8166
RU000A10BNM4,D,160625,000000,102.32,102.32,101.32,101.5,24901
RU000A10BNM4,D,170625,000000,101.59,101.84,100.99,101.29,22404
RU000A10BNM4,D,180625,000000,101.35,101.5,101,101.5,24222
RU000A10BNM4,D,190625,000000,101.55,101.7,101.17,101.68,13268
RU000A10BNM4,D,200625,000000,101.7,102,101.1,101.9,26102
RU000A10BNM4,D,230625,000000,101.95,101.95,101.36,101.7,30027
RU000A10BNM4,D,240625,000000,101.7,101.8,101.35,101.79,21092
RU000A10BNM4,D,250625,000000,101.8,101.85,101.37,101.6,21074
RU000A10BNM4,D,260625,000000,101.75,101.9,101.6,101.83,32609
RU000A10BNM4,D,270625,000000,101.84,102.24,101.8,102.19,25249
RU000A10BNM4,D,300625,000000,102.25,102.75,102.24,102.66,39754
RU000A10BNM4,D,010725,000000,102.79,104.82,102.75,104.6,24925
RU000A10BNM4,D,020725,000000,104.5,104.56,104,104.42,16587
RU000A10BNM4,D,030725,000000,104.4,105.9,104.4,105.41,19451
RU000A10BNM4,D,040725,000000,105.15,105.93,104.98,105.45,11968
RU000A10BNM4,D,070725,000000,105.7,108.74,105.45,107.79,43338
RU000A10BNM4,D,080725,000000,107.79,108.3,107.2,107.74,20214
RU000A10BNM4,D,090725,000000,107.74,107.99,107.1,107.36,18135
RU000A10BNM4,D,100725,000000,107.36,107.78,107.1,107.65,11632
RU000A10BNM4,D,110725,000000,107.77,107.94,107.68,107.7,15827
RU000A10BNM4,D,140725,000000,107.72,107.98,107.5,107.69,11669
RU000A10BNM4,D,150725,000000,107.89,107.95,107.41,107.68,36180
RU000A10BNM4,D,160725,000000,107.85,107.99,107.4,107.81,16915
RU000A10BNM4,D,170725,000000,107.84,107.85,107.5,107.81,21562
RU000A10BNM4,D,180725,000000,107.81,107.85,106.6,107.73,18725
RU000A10BNM4,D,210725,000000,107.74,107.85,107.6,107.85,37105
RU000A10BNM4,D,220725,000000,107.98,107.98,107.8,107.9,40640
RU000A10BNM4,D,230725,000000,107.99,108.69,107.83,108.5,42797
RU000A10BNM4,D,240725,000000,108.5,108.5,108,108.5,31134
RU000A10BNM4,D,250725,000000,108.7,109.9,108.29,108.7,37174
RU000A10BNM4,D,280725,000000,108.71,109.99,108.5,109.7,32607
RU000A10BNM4,D,290725,000000,110,112,109.7,111.37,18800
RU000A10BNM4,D,300725,000000,111.45,112.79,110.5,111.95,9962
RU000A10BNM4,D,310725,000000,111.99,112.9,110.71,110.75,16273
