<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BM56,D,220525,000000,100.2,100.46,100.07,100.1,2536
RU000A10BM56,D,230525,000000,100.1,100.26,100.01,100.16,5465
RU000A10BM56,D,260525,000000,100.21,100.5,100.01,100.19,10490
RU000A10BM56,D,270525,000000,100.2,100.32,100.1,100.12,8659
RU000A10BM56,D,280525,000000,100.12,100.29,100.07,100.07,8347
RU000A10BM56,D,290525,000000,100.09,100.14,100.05,100.09,6766
RU000A10BM56,D,300525,000000,100.08,100.08,99.96,100.03,4662
RU000A10BM56,D,020625,000000,100.04,100.08,100,100.08,5687
RU000A10BM56,D,030625,000000,100.08,100.1,100.03,100.05,5970
RU000A10BM56,D,040625,000000,100.07,100.1,100.03,100.08,6556
RU000A10BM56,D,050625,000000,100.08,100.28,100.06,100.16,7218
RU000A10BM56,D,060625,000000,100.19,100.39,100.05,100.2,15387
RU000A10BM56,D,090625,000000,100.22,100.22,100.02,100.05,9033
RU000A10BM56,D,100625,000000,100.09,100.09,100.01,100.04,8730
RU000A10BM56,D,110625,000000,100.06,100.32,100.05,100.13,8186
RU000A10BM56,D,130625,000000,100.12,100.2,100.05,100.1,13572
RU000A10BM56,D,160625,000000,100.09,100.24,100.06,100.08,13705
RU000A10BM56,D,170625,000000,100.09,100.09,99.31,99.64,22076
RU000A10BM56,D,180625,000000,99.82,99.99,99.12,99.89,6855
RU000A10BM56,D,190625,000000,99.89,100.04,99.83,100.04,5565
RU000A10BM56,D,200625,000000,100.04,100.07,99.96,100.07,11349
RU000A10BM56,D,230625,000000,100.07,100.2,99.97,100.01,8909
RU000A10BM56,D,240625,000000,100.01,100.15,100.01,100.15,10573
RU000A10BM56,D,250625,000000,100.13,100.17,100,100.12,4470
RU000A10BM56,D,260625,000000,100.06,100.3,99.98,100.07,7096
RU000A10BM56,D,270625,000000,100.06,100.28,99.99,100.1,13092
RU000A10BM56,D,300625,000000,100.14,100.27,100.01,100.06,8521
RU000A10BM56,D,010725,000000,100.1,100.6,100.1,100.5,5947
RU000A10BM56,D,020725,000000,100.42,100.7,100.3,100.7,3245
RU000A10BM56,D,030725,000000,100.71,100.84,100.3,100.83,2882
RU000A10BM56,D,040725,000000,100.78,100.78,100.5,100.68,1858
RU000A10BM56,D,070725,000000,100.68,100.72,100,100.18,7762
RU000A10BM56,D,080725,000000,100.18,100.33,99.81,100.14,4528
RU000A10BM56,D,090725,000000,100.14,100.5,99.95,100.02,6211
RU000A10BM56,D,100725,000000,100.01,100.37,99.9,100.3,4815
RU000A10BM56,D,110725,000000,100.3,100.5,99.99,100.4,5231
RU000A10BM56,D,140725,000000,100.4,100.63,99.46,99.8,15686
RU000A10BM56,D,150725,000000,99.75,99.95,98.62,99.86,11105
RU000A10BM56,D,160725,000000,99.85,100.4,99.72,100.38,6132
RU000A10BM56,D,170725,000000,100.42,100.7,100.22,100.4,4622
RU000A10BM56,D,180725,000000,100.49,100.79,100.39,100.7,7445
RU000A10BM56,D,210725,000000,100.7,101.32,100.47,100.82,10245
RU000A10BM56,D,220725,000000,100.81,102,100.51,101.16,5812
RU000A10BM56,D,230725,000000,101.16,102,100.95,101.3,7303
RU000A10BM56,D,240725,000000,101.3,101.98,101,101.95,4601
RU000A10BM56,D,250725,000000,101.88,102,100.78,101.12,5392
RU000A10BM56,D,280725,000000,101.16,101.98,101.16,101.98,2936
RU000A10BM56,D,290725,000000,101.75,102.99,101.51,102.5,3937
RU000A10BM56,D,300725,000000,102.52,102.75,102.31,102.31,1037
RU000A10BM56,D,310725,000000,102.36,102.99,102.36,102.76,947
