<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AYB6,D,210225,000000,102,104.88,101.02,104.62,22565
RU000A10AYB6,D,240225,000000,104.59,104.59,103.11,104.21,14572
RU000A10AYB6,D,250225,000000,104,104.28,103.6,103.85,5101
RU000A10AYB6,D,260225,000000,103.96,104.14,103.5,103.52,2923
RU000A10AYB6,D,270225,000000,103.52,103.74,103.14,103.4,2119
RU000A10AYB6,D,280225,000000,103.15,104.41,103.13,104.36,4177
RU000A10AYB6,D,030325,000000,104,104.31,103.56,103.9,6502
RU000A10AYB6,D,040325,000000,104.28,104.38,103.77,104.38,3694
RU000A10AYB6,D,050325,000000,104.02,104.2,103.4,103.98,3114
RU000A10AYB6,D,060325,000000,103.72,104.37,103.52,104.3,2533
RU000A10AYB6,D,070325,000000,104.38,104.95,104.1,104.7,2011
RU000A10AYB6,D,100325,000000,104.93,104.94,104.7,104.9,1559
RU000A10AYB6,D,110325,000000,104.88,104.88,104.5,104.66,855
RU000A10AYB6,D,120325,000000,104.22,104.88,104.01,104.64,1142
RU000A10AYB6,D,130325,000000,104.79,104.83,104.32,104.43,2443
RU000A10AYB6,D,140325,000000,104.77,104.83,104.4,104.83,1624
RU000A10AYB6,D,170325,000000,104.8,105.15,104.22,104.85,1528
RU000A10AYB6,D,180325,000000,104.85,104.99,104.22,104.51,1076
RU000A10AYB6,D,190325,000000,104.5,104.98,104.37,104.96,1205
RU000A10AYB6,D,200325,000000,104.97,105.1,104.61,104.61,542
RU000A10AYB6,D,210325,000000,104.61,105.12,104.6,105.1,960
RU000A10AYB6,D,240325,000000,105.1,105.95,104.9,105.85,2767
RU000A10AYB6,D,250325,000000,105.94,105.95,105.29,105.94,1131
RU000A10AYB6,D,260325,000000,105.94,105.95,105,105.94,655
RU000A10AYB6,D,270325,000000,105.94,105.94,104.72,105.69,890
RU000A10AYB6,D,280325,000000,105.69,105.81,104.99,105.22,1176
RU000A10AYB6,D,310325,000000,105.28,105.5,104.23,104.94,1060
RU000A10AYB6,D,010425,000000,105.24,105.48,104.7,105.26,585
RU000A10AYB6,D,020425,000000,105.27,105.27,104.53,104.7,557
RU000A10AYB6,D,030425,000000,105.15,105.15,104.7,104.7,273
RU000A10AYB6,D,040425,000000,105.04,105.06,104.22,104.71,1250
RU000A10AYB6,D,070425,000000,103.55,104.7,101,103.7,1457
RU000A10AYB6,D,080425,000000,103.99,104.02,103.01,103.91,689
RU000A10AYB6,D,090425,000000,103.1,103.92,101.54,102.86,1600
RU000A10AYB6,D,100425,000000,103.54,103.67,102.55,103.52,700
RU000A10AYB6,D,110425,000000,103.43,103.99,103.42,103.99,615
RU000A10AYB6,D,140425,000000,104.39,105.2,103.99,104.52,327
RU000A10AYB6,D,150425,000000,104.8,105.18,104.03,105,740
RU000A10AYB6,D,160425,000000,105,105,104.27,104.98,578
RU000A10AYB6,D,170425,000000,105,105.17,104.8,104.99,1791
RU000A10AYB6,D,180425,000000,105.18,105.2,105,105.04,282
RU000A10AYB6,D,210425,000000,105.18,106.99,105.04,106.32,2012
RU000A10AYB6,D,220425,000000,106.33,106.88,105.27,106.88,1356
RU000A10AYB6,D,230425,000000,107,107.97,106,106.01,496
RU000A10AYB6,D,240425,000000,106.94,107.32,106,106.46,652
RU000A10AYB6,D,250425,000000,106.85,107.35,106.66,107.35,545
RU000A10AYB6,D,280425,000000,107.35,107.56,106.88,107.17,416
RU000A10AYB6,D,290425,000000,107.49,108.47,107.19,108.4,1112
RU000A10AYB6,D,300425,000000,108.87,109.9,107.11,108,484
RU000A10AYB6,D,020525,000000,109.59,109.6,106.81,108.28,658
RU000A10AYB6,D,050525,000000,107.67,109.6,107.67,109.04,970
RU000A10AYB6,D,060525,000000,109.03,109.56,108,108.35,1643
RU000A10AYB6,D,070525,000000,108.96,108.97,106.81,108.25,585
RU000A10AYB6,D,080525,000000,109.24,109.24,107.45,108.32,158
RU000A10AYB6,D,120525,000000,108.32,108.94,106.01,107.61,1035
RU000A10AYB6,D,130525,000000,106.83,107.43,106.06,106.98,1790
RU000A10AYB6,D,140525,000000,106.93,107.8,106.02,106.48,1433
RU000A10AYB6,D,150525,000000,106.39,106.39,106.02,106.39,1247
RU000A10AYB6,D,160525,000000,106.39,106.49,106.05,106.47,500
RU000A10AYB6,D,190525,000000,106.48,107.35,106.13,107.17,948
RU000A10AYB6,D,200525,000000,107.44,107.49,106.23,107.49,1138
RU000A10AYB6,D,210525,000000,107.76,107.77,107.41,107.75,317
RU000A10AYB6,D,220525,000000,107.5,109.16,107.11,107.6,1054
RU000A10AYB6,D,230525,000000,107.13,107.67,106.08,107.1,886
RU000A10AYB6,D,260525,000000,107.59,109,106.36,106.36,2981
RU000A10AYB6,D,270525,000000,108.72,108.98,106.21,108,459
RU000A10AYB6,D,280525,000000,108.88,108.89,108.04,108.38,289
RU000A10AYB6,D,290525,000000,108.63,108.8,108,108.26,419
RU000A10AYB6,D,300525,000000,108.4,108.8,108.12,108.37,554
RU000A10AYB6,D,020625,000000,108.37,109,107.91,109,1844
RU000A10AYB6,D,030625,000000,108.63,109.27,108.47,108.8,659
RU000A10AYB6,D,040625,000000,109.14,109.18,108.16,108.99,324
RU000A10AYB6,D,050625,000000,109.36,109.92,108.82,108.92,828
RU000A10AYB6,D,060625,000000,108.95,111,108.83,109.89,1021
RU000A10AYB6,D,090625,000000,109.94,111.29,109.52,110.25,727
RU000A10AYB6,D,100625,000000,110.1,110.77,108.99,109.98,499
RU000A10AYB6,D,110625,000000,109.83,110.95,109.83,110.59,586
RU000A10AYB6,D,130625,000000,110.96,111,109.04,109.49,672
RU000A10AYB6,D,160625,000000,110.95,110.99,109.5,109.9,686
RU000A10AYB6,D,170625,000000,109.1,109.82,106.2,107.91,4492
RU000A10AYB6,D,180625,000000,107.91,108.49,105.95,107.87,2679
RU000A10AYB6,D,190625,000000,107.03,108.5,106.26,108.5,1086
RU000A10AYB6,D,200625,000000,108.49,108.5,107.05,108.5,1397
RU000A10AYB6,D,230625,000000,109.49,110,107.43,107.99,999
RU000A10AYB6,D,240625,000000,107.47,109,107.47,108.19,385
RU000A10AYB6,D,250625,000000,108.33,108.33,107.56,108.06,397
RU000A10AYB6,D,260625,000000,108.06,108.37,107.52,108.33,515
RU000A10AYB6,D,270625,000000,108.86,108.86,107.41,107.99,787
RU000A10AYB6,D,300625,000000,108.82,110.85,108,110,4865
RU000A10AYB6,D,010725,000000,110,111.5,110,110.75,1938
RU000A10AYB6,D,020725,000000,110.76,117,110.01,112.25,5887
RU000A10AYB6,D,030725,000000,111.66,116.95,111.65,115,1954
RU000A10AYB6,D,040725,000000,116.48,116.95,111.06,113.78,4313
RU000A10AYB6,D,070725,000000,113.8,115.04,112.87,113.85,1190
RU000A10AYB6,D,080725,000000,113.62,113.62,110,110.75,1132
RU000A10AYB6,D,090725,000000,110.75,113.35,110.75,113.19,650
RU000A10AYB6,D,100725,000000,114.84,114.84,111.54,112.76,240
RU000A10AYB6,D,110725,000000,115.41,115.44,112.16,113,614
RU000A10AYB6,D,140725,000000,113,114.5,111.34,113,1027
RU000A10AYB6,D,150725,000000,114.6,114.6,112.01,112.95,1159
RU000A10AYB6,D,160725,000000,113.38,113.5,112.89,113.5,1250
RU000A10AYB6,D,170725,000000,113.49,113.49,112.51,112.89,629
RU000A10AYB6,D,180725,000000,112.79,113.39,109.15,113.38,1643
RU000A10AYB6,D,210725,000000,113.36,113.5,113.2,113.5,2897
RU000A10AYB6,D,220725,000000,113.5,113.84,112.77,113.37,1461
RU000A10AYB6,D,230725,000000,114.21,114.66,112.06,112.94,621
RU000A10AYB6,D,240725,000000,112.72,113.37,112.44,112.85,791
RU000A10AYB6,D,250725,000000,113.2,113.2,110.53,111.5,1432
RU000A10AYB6,D,280725,000000,111.5,113.19,110.51,111.51,1518
RU000A10AYB6,D,290725,000000,111.04,111.98,110,110.5,1586
RU000A10AYB6,D,300725,000000,110.37,110.7,99.51,108.64,5961
