<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B0U0,D,060325,000000,102,102,101,101.79,177711
RU000A10B0U0,D,070325,000000,101.8,103.3,101.79,102.5,33277
RU000A10B0U0,D,100325,000000,102.53,103.8,101.25,102.46,393653
RU000A10B0U0,D,110325,000000,102.46,102.5,101.58,102.37,23417
RU000A10B0U0,D,120325,000000,102.37,102.82,101.9,102.65,19465
RU000A10B0U0,D,130325,000000,102.65,102.93,102.3,102.6,16502
RU000A10B0U0,D,140325,000000,102.6,103.5,102.1,103.35,20695
RU000A10B0U0,D,170325,000000,103.35,104,102.73,103.79,17123
RU000A10B0U0,D,180325,000000,103.44,104.1,103,103.97,73545
RU000A10B0U0,D,190325,000000,103.97,104,103,103.76,28398
RU000A10B0U0,D,200325,000000,104.42,104.95,102.72,104.91,37685
RU000A10B0U0,D,210325,000000,104.91,108,103.71,105,8961
RU000A10B0U0,D,240325,000000,105,106.89,104.72,106.5,6635
RU000A10B0U0,D,250325,000000,106.89,106.89,104.94,105.8,3198
RU000A10B0U0,D,260325,000000,105.94,106,104.78,105.75,10767
RU000A10B0U0,D,270325,000000,105.75,105.75,104,104.03,7003
RU000A10B0U0,D,280325,000000,105.8,105.8,104,104.69,6256
RU000A10B0U0,D,310325,000000,104.97,104.97,103.5,104.7,13862
RU000A10B0U0,D,010425,000000,104.7,106,104.65,104.76,7001
RU000A10B0U0,D,020425,000000,105,105,104,104.61,6538
RU000A10B0U0,D,030425,000000,104.95,104.95,104.1,104.8,9114
RU000A10B0U0,D,040425,000000,104.86,104.86,103,104.1,15451
RU000A10B0U0,D,070425,000000,103.7,103.7,101.64,102.33,44544
RU000A10B0U0,D,080425,000000,102.51,103.82,102.51,103.65,4751
RU000A10B0U0,D,090425,000000,103.64,104.33,102.08,103.15,6900
RU000A10B0U0,D,100425,000000,103.85,104.35,103.17,103.91,15486
RU000A10B0U0,D,110425,000000,104.33,104.35,103.95,104.09,14572
RU000A10B0U0,D,140425,000000,104.09,104.29,103.81,104.11,7540
RU000A10B0U0,D,150425,000000,104.26,104.28,103.8,104.03,6437
RU000A10B0U0,D,160425,000000,104.15,104.84,103.49,104.83,25203
RU000A10B0U0,D,170425,000000,104.82,104.83,103.44,104.83,3163
RU000A10B0U0,D,180425,000000,104.85,105.72,104.79,105.62,3961
RU000A10B0U0,D,210425,000000,104.83,105.64,104.21,105.38,1974
RU000A10B0U0,D,220425,000000,105.51,105.61,105.38,105.56,10267
RU000A10B0U0,D,230425,000000,105.61,106,105.55,105.95,1953
RU000A10B0U0,D,240425,000000,105.57,106.9,105,105.87,2955
RU000A10B0U0,D,250425,000000,106.03,106.05,105.03,105.99,1895
RU000A10B0U0,D,280425,000000,106.1,108,105,105.46,5154
RU000A10B0U0,D,290425,000000,105.55,106.94,105.05,106.4,4890
RU000A10B0U0,D,300425,000000,106.38,106.5,106.05,106.4,8170
RU000A10B0U0,D,020525,000000,106.49,106.5,106.07,106.14,1988
RU000A10B0U0,D,050525,000000,106.47,106.5,105.51,106.23,13242
RU000A10B0U0,D,060525,000000,106.42,106.49,105.02,106.35,2511
RU000A10B0U0,D,070525,000000,106.35,106.99,106.2,106.9,2542
RU000A10B0U0,D,080525,000000,106.9,107.15,105.5,106.5,2046
RU000A10B0U0,D,120525,000000,106.77,106.93,106.12,106.39,8300
RU000A10B0U0,D,130525,000000,106.4,106.98,106,106.38,51646
RU000A10B0U0,D,140525,000000,106.97,106.97,106.21,106.4,2666
RU000A10B0U0,D,150525,000000,107.39,107.39,105.06,106.4,13175
RU000A10B0U0,D,160525,000000,106.79,106.8,105.21,106.39,4118
RU000A10B0U0,D,190525,000000,106.39,106.39,105.27,106.26,3734
RU000A10B0U0,D,200525,000000,105.5,106.4,105.5,106.38,6137
RU000A10B0U0,D,210525,000000,106.41,106.43,105.89,106.33,3063
RU000A10B0U0,D,220525,000000,106.32,106.32,105.85,106.19,2443
RU000A10B0U0,D,230525,000000,106.08,106.33,105.72,106,2537
RU000A10B0U0,D,260525,000000,105.73,106.29,105.72,106.19,5521
RU000A10B0U0,D,270525,000000,106.24,106.25,104.38,104.38,8209
RU000A10B0U0,D,280525,000000,105.19,106.4,104.72,106.32,13724
RU000A10B0U0,D,290525,000000,106.08,106.37,104.32,105.71,10815
RU000A10B0U0,D,300525,000000,105.77,106.29,105.04,106,3793
RU000A10B0U0,D,020625,000000,105.99,106,105.26,106,4663
RU000A10B0U0,D,030625,000000,106.03,107,105.85,106.99,9391
RU000A10B0U0,D,040625,000000,107,107.78,106.09,107.2,150011
RU000A10B0U0,D,050625,000000,109.85,109.85,106.1,109,2863
RU000A10B0U0,D,060625,000000,109,109,108.24,108.68,14331
RU000A10B0U0,D,090625,000000,108.68,109,107.07,109,15230
RU000A10B0U0,D,100625,000000,108.59,109,107.9,108.55,23666
RU000A10B0U0,D,110625,000000,108.56,108.98,107.62,108.29,3186
RU000A10B0U0,D,130625,000000,108.46,108.65,107.5,107.53,616
RU000A10B0U0,D,160625,000000,107.4,108.5,106.57,108,2874
RU000A10B0U0,D,170625,000000,108.97,108.97,106.15,107.52,1847
RU000A10B0U0,D,180625,000000,108.4,108.5,106.08,108.42,7101
RU000A10B0U0,D,190625,000000,108.42,108.42,107.5,107.57,2902
RU000A10B0U0,D,200625,000000,108.38,108.38,107.1,107.75,4359
RU000A10B0U0,D,230625,000000,108.25,108.25,106.41,107.7,1469
RU000A10B0U0,D,240625,000000,107.7,108.49,107.36,108.24,1988
RU000A10B0U0,D,250625,000000,107.91,108.12,107.6,108.11,1035
RU000A10B0U0,D,260625,000000,108.41,108.49,108.1,108.4,6948
RU000A10B0U0,D,270625,000000,108.5,108.8,107.34,108.42,6250
RU000A10B0U0,D,300625,000000,107.81,108.8,107.81,108.67,3420
RU000A10B0U0,D,010725,000000,108.67,108.8,108.4,108.75,9679
RU000A10B0U0,D,020725,000000,108.97,108.98,108.4,108.51,7652
RU000A10B0U0,D,030725,000000,108.8,109.46,108.4,108.99,9715
RU000A10B0U0,D,040725,000000,108.99,109.79,108.4,109,13068
RU000A10B0U0,D,070725,000000,109,109.84,108.4,108.45,4904
RU000A10B0U0,D,080725,000000,108.4,108.98,108.4,108.68,2866
RU000A10B0U0,D,090725,000000,108.53,108.8,108.4,108.6,2017
RU000A10B0U0,D,100725,000000,109.8,109.8,108.4,108.85,2257
RU000A10B0U0,D,110725,000000,109.75,109.75,108.4,109,42409
RU000A10B0U0,D,140725,000000,109,109,108.4,108.66,2989
RU000A10B0U0,D,150725,000000,109.77,110.99,108.54,109,1884
RU000A10B0U0,D,160725,000000,108.59,109,108.4,108.92,1971
RU000A10B0U0,D,170725,000000,108.92,109,108.43,108.63,5084
RU000A10B0U0,D,180725,000000,108.63,109,108.14,109,3150
RU000A10B0U0,D,210725,000000,108.99,109.5,108.87,109,44544
RU000A10B0U0,D,220725,000000,109,110,108.8,109.61,4060
RU000A10B0U0,D,230725,000000,110.48,110.48,109.03,109.95,8230
RU000A10B0U0,D,240725,000000,110.48,110.48,109.04,110,7328
RU000A10B0U0,D,250725,000000,110,110.4,109.08,110,15571
RU000A10B0U0,D,280725,000000,110.5,110.5,109.31,109.65,8339
RU000A10B0U0,D,290725,000000,110.49,110.49,109.07,109.5,26317
RU000A10B0U0,D,300725,000000,110.14,110.17,108.9,109.83,36509
RU000A10B0U0,D,310725,000000,109.5,109.81,109.01,109.34,909
