<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B2P6,D,140325,000000,100.99,101.94,100.4,101.5,121017
RU000A10B2P6,D,170325,000000,101.8,102.8,100.51,101.15,51283
RU000A10B2P6,D,180325,000000,101.5,101.5,100.7,101.17,18006
RU000A10B2P6,D,190325,000000,101.17,102,100.56,101.39,22720
RU000A10B2P6,D,200325,000000,101.45,101.9,100.6,101.19,14333
RU000A10B2P6,D,210325,000000,101.4,101.6,100.61,101.41,11929
RU000A10B2P6,D,240325,000000,101.5,101.9,101.04,101.35,17474
RU000A10B2P6,D,250325,000000,101.73,101.78,101.21,101.4,4588
RU000A10B2P6,D,260325,000000,101.47,101.75,101.05,101.16,7100
RU000A10B2P6,D,270325,000000,101.46,101.5,100.68,100.8,8307
RU000A10B2P6,D,280325,000000,100.74,100.97,100.26,100.55,18111
RU000A10B2P6,D,310325,000000,100.6,100.97,100.25,100.35,9889
RU000A10B2P6,D,010425,000000,100.3,100.87,100.2,100.33,7654
RU000A10B2P6,D,020425,000000,100.36,100.5,100,100.49,17651
RU000A10B2P6,D,030425,000000,100.55,100.55,100.15,100.21,5585
RU000A10B2P6,D,040425,000000,100.5,100.5,99.95,100.11,18293
RU000A10B2P6,D,070425,000000,99.9,99.9,99,99.74,15971
RU000A10B2P6,D,080425,000000,100.01,100.15,99.8,99.97,10755
RU000A10B2P6,D,090425,000000,99.99,99.99,99.08,99.47,12351
RU000A10B2P6,D,100425,000000,99.85,99.94,99.5,99.9,5498
RU000A10B2P6,D,110425,000000,99.9,100.1,99.82,99.93,12136
RU000A10B2P6,D,140425,000000,99.87,99.93,99.25,99.9,18621
RU000A10B2P6,D,150425,000000,99.9,99.97,99.8,99.91,12417
RU000A10B2P6,D,160425,000000,99.99,100,99.75,99.92,8704
RU000A10B2P6,D,170425,000000,100,100.09,99.89,100.02,7995
RU000A10B2P6,D,180425,000000,100.06,100.06,99.96,99.99,7584
RU000A10B2P6,D,210425,000000,99.98,100.4,99.96,100.4,23213
RU000A10B2P6,D,220425,000000,100.4,100.4,100.01,100.2,7470
RU000A10B2P6,D,230425,000000,100.33,100.33,100.13,100.24,4183
RU000A10B2P6,D,240425,000000,100.38,100.48,100.23,100.3,4581
RU000A10B2P6,D,250425,000000,100.31,100.97,100.31,100.96,5713
RU000A10B2P6,D,280425,000000,100.96,101.39,100.94,101.33,3374
RU000A10B2P6,D,290425,000000,101.39,101.39,100.96,101.32,4391
RU000A10B2P6,D,300425,000000,101.39,101.39,100.6,101.28,13519
RU000A10B2P6,D,020525,000000,101.29,101.65,100.85,101.59,3548
RU000A10B2P6,D,050525,000000,101.63,101.69,101.05,101.56,8239
RU000A10B2P6,D,060525,000000,101.49,101.81,101.35,101.63,11443
RU000A10B2P6,D,070525,000000,101.64,102.46,101.64,102.28,3792
RU000A10B2P6,D,080525,000000,102.2,102.89,102.01,102.87,1856
RU000A10B2P6,D,120525,000000,102.92,103.87,102.92,103.73,7311
RU000A10B2P6,D,130525,000000,103.77,103.92,103.62,103.91,3258
RU000A10B2P6,D,140525,000000,103.92,103.98,103.36,103.8,3773
RU000A10B2P6,D,150525,000000,103.8,103.9,102.77,103.56,1443
RU000A10B2P6,D,160525,000000,103.74,103.75,103.19,103.47,3004
RU000A10B2P6,D,190525,000000,102.58,103.64,102.1,102.66,5639
RU000A10B2P6,D,200525,000000,102.67,102.98,102.32,102.6,3245
RU000A10B2P6,D,210525,000000,102.69,102.83,102.4,102.6,2095
RU000A10B2P6,D,220525,000000,102.88,102.88,101.35,102.42,4776
RU000A10B2P6,D,230525,000000,102.6,102.6,101.34,101.81,4523
RU000A10B2P6,D,260525,000000,101.38,102.85,101.14,102.24,4944
RU000A10B2P6,D,270525,000000,102.21,103.6,101.61,103,4620
RU000A10B2P6,D,280525,000000,102.56,104.05,102,102.98,3091
RU000A10B2P6,D,290525,000000,102.7,103.39,102.04,103.11,5792
