<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B7H2,D,010425,000000,100.8,100.8,99.51,99.65,22365
RU000A10B7H2,D,020425,000000,99.68,99.75,99.3,99.73,32757
RU000A10B7H2,D,030425,000000,99.74,99.94,99.55,99.71,23619
RU000A10B7H2,D,040425,000000,99.71,99.75,99.31,99.5,11144
RU000A10B7H2,D,070425,000000,99.8,99.87,99.15,99.34,14319
RU000A10B7H2,D,080425,000000,99.49,99.74,98.49,99.6,5648
RU000A10B7H2,D,090425,000000,99.65,99.9,99.12,99.45,20189
RU000A10B7H2,D,100425,000000,99.45,99.48,99.2,99.31,1719
RU000A10B7H2,D,110425,000000,99.47,99.47,99.15,99.43,4632
RU000A10B7H2,D,140425,000000,99.43,99.47,99.31,99.47,7005
RU000A10B7H2,D,150425,000000,99.47,99.48,99.37,99.39,9543
RU000A10B7H2,D,160425,000000,99.71,99.83,99.27,99.65,8362
RU000A10B7H2,D,170425,000000,99.65,100,99.3,99.48,7757
RU000A10B7H2,D,180425,000000,99.48,99.58,99.2,99.53,15544
RU000A10B7H2,D,210425,000000,99.48,99.48,99.3,99.35,4237
RU000A10B7H2,D,220425,000000,99.36,99.36,99.2,99.31,19038
RU000A10B7H2,D,230425,000000,99.31,99.46,99.25,99.45,13405
RU000A10B7H2,D,240425,000000,99.45,99.45,99.25,99.45,11199
RU000A10B7H2,D,250425,000000,99.45,99.9,99.3,99.86,9185
RU000A10B7H2,D,280425,000000,99.89,100.7,99.3,99.9,11349
RU000A10B7H2,D,290425,000000,99.9,100.79,99.88,100.5,19340
RU000A10B7H2,D,300425,000000,100.75,100.84,100.6,100.83,4758
RU000A10B7H2,D,020525,000000,100.85,100.85,100.5,100.81,3049
RU000A10B7H2,D,050525,000000,100.7,100.84,100.52,100.75,7259
RU000A10B7H2,D,060525,000000,100.85,101.28,100.75,100.8,8181
RU000A10B7H2,D,070525,000000,100.99,101.3,100.7,101.15,4295
RU000A10B7H2,D,080525,000000,101.23,101.24,101.03,101.12,2557
RU000A10B7H2,D,120525,000000,101.12,101.3,100.9,100.93,6387
RU000A10B7H2,D,130525,000000,100.98,101.3,100.7,100.9,2687
RU000A10B7H2,D,140525,000000,101.1,101.27,100.71,101.07,7351
RU000A10B7H2,D,150525,000000,101.21,101.21,100.51,100.55,7148
RU000A10B7H2,D,160525,000000,100.55,101.28,100.55,100.85,1501
RU000A10B7H2,D,190525,000000,100.85,100.99,100.04,100.22,11158
RU000A10B7H2,D,200525,000000,100.56,100.8,100.02,100.42,11110
RU000A10B7H2,D,210525,000000,100.3,100.79,99.99,100,13960
RU000A10B7H2,D,220525,000000,100.27,100.27,100,100,9028
RU000A10B7H2,D,230525,000000,100,100.24,99.86,100.08,6851
RU000A10B7H2,D,260525,000000,100.08,100.39,99.11,99.99,16881
RU000A10B7H2,D,270525,000000,100.08,100.08,99.97,100,20311
RU000A10B7H2,D,280525,000000,100.05,100.4,99.98,100.03,40655
RU000A10B7H2,D,290525,000000,100.19,100.19,99.98,100.04,6856
RU000A10B7H2,D,300525,000000,100.08,100.4,99.99,100.05,13987
RU000A10B7H2,D,020625,000000,100.05,100.8,100,100.69,11494
RU000A10B7H2,D,030625,000000,100.98,101.05,100.65,100.86,3839
RU000A10B7H2,D,040625,000000,101,101.2,101,101.18,5086
RU000A10B7H2,D,050625,000000,101.22,101.65,100.11,101.65,4263
RU000A10B7H2,D,060625,000000,101.65,101.99,100.65,101.9,3590
RU000A10B7H2,D,090625,000000,102.11,102.11,101.89,102.05,2196
RU000A10B7H2,D,100625,000000,102.05,103,101.45,102.7,2771
RU000A10B7H2,D,110625,000000,102.7,102.97,102.56,102.73,1042
RU000A10B7H2,D,130625,000000,102.59,103,102.1,102.9,668
RU000A10B7H2,D,160625,000000,102.89,103,101.97,102.95,2125
RU000A10B7H2,D,170625,000000,102.9,102.97,102,102.63,2475
RU000A10B7H2,D,180625,000000,102,103,102,102.9,3554
RU000A10B7H2,D,190625,000000,102.9,103.03,102.63,102.78,2636
RU000A10B7H2,D,200625,000000,103,103,102.01,102.8,5508
RU000A10B7H2,D,230625,000000,102.89,103,101.5,102.96,6733
RU000A10B7H2,D,240625,000000,102.96,103.1,102.5,103.07,3729
RU000A10B7H2,D,250625,000000,103.08,103.09,102.55,103.05,1753
RU000A10B7H2,D,260625,000000,103.09,103.7,103.05,103.1,2827
RU000A10B7H2,D,270625,000000,103.44,103.97,103.44,103.85,3453
RU000A10B7H2,D,300625,000000,103.96,104,103.46,103.89,3759
RU000A10B7H2,D,010725,000000,103.93,104.5,103.84,104.49,2010
RU000A10B7H2,D,020725,000000,104.49,104.49,103.5,104.36,1462
RU000A10B7H2,D,030725,000000,104.36,104.49,102.83,104.06,1571
RU000A10B7H2,D,040725,000000,103.38,104.17,102.58,103.99,609
RU000A10B7H2,D,070725,000000,103.99,104.47,103.7,104.25,809
RU000A10B7H2,D,080725,000000,104.47,104.8,103.81,103.85,2543
RU000A10B7H2,D,090725,000000,104.05,104.89,103.75,103.88,1510
RU000A10B7H2,D,100725,000000,104.01,104.83,103.8,104.06,454
RU000A10B7H2,D,110725,000000,104.34,104.48,103.8,104.09,1255
RU000A10B7H2,D,140725,000000,103.84,104.97,103.84,104.9,1856
RU000A10B7H2,D,150725,000000,104.9,105,104.72,105,1427
RU000A10B7H2,D,160725,000000,104.32,106.36,104.32,105.24,1297
RU000A10B7H2,D,170725,000000,105.95,105.98,105.21,105.81,1381
RU000A10B7H2,D,180725,000000,105.61,108.8,105.59,106.35,2654
RU000A10B7H2,D,210725,000000,106.39,106.39,105.17,105.21,2493
RU000A10B7H2,D,220725,000000,105.95,106.19,105.56,105.58,2208
RU000A10B7H2,D,230725,000000,105.58,106.4,105.58,105.67,1892
RU000A10B7H2,D,240725,000000,106.04,106.9,105.5,106.55,3577
RU000A10B7H2,D,250725,000000,106.89,106.89,105.51,106.16,1920
RU000A10B7H2,D,280725,000000,106.16,106.9,105.3,106.11,2406
RU000A10B7H2,D,290725,000000,106.79,106.9,105.55,106.5,1845
RU000A10B7H2,D,300725,000000,106.79,106.9,106,106.5,1710
RU000A10B7H2,D,310725,000000,106.48,106.9,106.47,106.55,1823
