<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BFG2,D,170425,000000,105,105,100.1,100.44,2398522
RU000A10BFG2,D,180425,000000,100.5,100.5,100.05,100.34,941365
RU000A10BFG2,D,210425,000000,100.35,100.99,100.3,100.75,376683
RU000A10BFG2,D,220425,000000,100.8,100.99,100.7,100.98,669115
RU000A10BFG2,D,230425,000000,101,101.85,100.77,100.94,42402
RU000A10BFG2,D,240425,000000,100.95,101.41,100.71,101,112436
RU000A10BFG2,D,250425,000000,101.48,101.48,100.71,101.14,79512
RU000A10BFG2,D,280425,000000,101.41,101.49,100.95,101.14,358699
RU000A10BFG2,D,290425,000000,101.38,101.5,101,101.25,71900
RU000A10BFG2,D,300425,000000,101.25,101.35,101.05,101.29,44408
RU000A10BFG2,D,020525,000000,101.39,101.98,101.11,101.29,7243
RU000A10BFG2,D,050525,000000,101.58,101.58,100.75,100.9,122779
RU000A10BFG2,D,060525,000000,101.28,101.28,100.8,100.88,46319
RU000A10BFG2,D,070525,000000,100.89,101.17,100.81,100.95,35860
RU000A10BFG2,D,080525,000000,100.98,101.58,100.98,101.1,21612
RU000A10BFG2,D,120525,000000,101.7,102.3,101.42,101.59,81643
RU000A10BFG2,D,130525,000000,101.67,101.7,101.15,101.3,345864
RU000A10BFG2,D,140525,000000,101.59,101.89,101.2,101.43,30218
RU000A10BFG2,D,150525,000000,101.66,101.66,101.4,101.5,164492
RU000A10BFG2,D,160525,000000,101.5,101.58,101.4,101.5,29126
RU000A10BFG2,D,190525,000000,101.55,101.65,101.43,101.64,69710
RU000A10BFG2,D,200525,000000,101.65,101.7,101.47,101.5,96399
RU000A10BFG2,D,210525,000000,101.49,102.29,101.34,101.69,184240
RU000A10BFG2,D,220525,000000,101.7,101.8,101.33,101.65,65485
RU000A10BFG2,D,230525,000000,101.88,102.19,101.49,101.94,144943
RU000A10BFG2,D,260525,000000,102.18,102.39,101.8,101.95,47014
RU000A10BFG2,D,270525,000000,102.3,102.3,101.75,102.2,58257
RU000A10BFG2,D,280525,000000,102.19,103.5,102.01,102.15,78709
RU000A10BFG2,D,290525,000000,102.95,102.95,102.15,102.7,60428
RU000A10BFG2,D,300525,000000,103,104.15,102.7,104.15,161947
RU000A10BFG2,D,020625,000000,104.89,105.14,104.47,104.9,61352
RU000A10BFG2,D,030625,000000,105.26,107.99,105.01,105.25,60309
RU000A10BFG2,D,040625,000000,106.99,106.99,105.27,105.43,37476
RU000A10BFG2,D,050625,000000,105.55,107,105.47,105.73,35348
RU000A10BFG2,D,060625,000000,106,107.5,104.52,104.9,348776
RU000A10BFG2,D,090625,000000,105,106,104.54,105.5,44727
RU000A10BFG2,D,100625,000000,105.89,106.2,105.8,105.85,16077
RU000A10BFG2,D,110625,000000,106.28,107.49,105.8,106,35316
RU000A10BFG2,D,130625,000000,106.2,107.2,105.89,106.95,6676
RU000A10BFG2,D,160625,000000,106.1,106.7,106.03,106.49,38934
RU000A10BFG2,D,170625,000000,106.5,106.7,106.15,106.45,21535
RU000A10BFG2,D,180625,000000,106.73,107.8,106.39,106.62,82467
RU000A10BFG2,D,190625,000000,106.95,106.99,106.42,106.9,44688
RU000A10BFG2,D,200625,000000,107,107.4,106.78,107.24,36025
RU000A10BFG2,D,230625,000000,107.24,107.8,105.89,105.95,10721
RU000A10BFG2,D,240625,000000,106.56,107,105.96,106.75,66638
RU000A10BFG2,D,250625,000000,106.99,107.4,106.22,107.38,18749
RU000A10BFG2,D,260625,000000,107.8,108,107.2,107.49,31002
RU000A10BFG2,D,270625,000000,107.77,108.49,107.49,107.6,43184
RU000A10BFG2,D,300625,000000,107.6,108.5,107.02,108.19,49945
RU000A10BFG2,D,010725,000000,108,109,107.81,108.02,42317
RU000A10BFG2,D,020725,000000,108.89,109.5,108,108.68,40764
RU000A10BFG2,D,030725,000000,108.7,109.43,108,108.8,46181
RU000A10BFG2,D,040725,000000,108.71,109.43,108.1,108.9,97915
RU000A10BFG2,D,070725,000000,109.39,109.39,108.2,109.05,64753
RU000A10BFG2,D,080725,000000,109.05,109.5,108.51,108.96,55483
RU000A10BFG2,D,090725,000000,110,116.66,109,109.33,46661
RU000A10BFG2,D,100725,000000,109.3,109.9,109.26,109.7,30861
RU000A10BFG2,D,110725,000000,109.7,112,109.2,109.28,45053
RU000A10BFG2,D,140725,000000,109.99,110,109.08,109.56,29461
RU000A10BFG2,D,150725,000000,109.99,110,109.73,109.9,34367
RU000A10BFG2,D,160725,000000,110.09,110.9,109.91,110.7,23307
RU000A10BFG2,D,170725,000000,110.98,112.94,110.2,111,96275
RU000A10BFG2,D,180725,000000,111.9,111.9,110.4,110.8,140836
RU000A10BFG2,D,210725,000000,110.8,111,110.4,110.9,90970
RU000A10BFG2,D,220725,000000,110.9,111,110.7,111,83501
RU000A10BFG2,D,230725,000000,111,111,110.4,110.95,102113
RU000A10BFG2,D,240725,000000,110.95,111.9,109.92,110.97,40304
RU000A10BFG2,D,250725,000000,110.99,111.47,110.8,111.25,46853
RU000A10BFG2,D,280725,000000,111.46,111.48,110.5,111.16,12426
RU000A10BFG2,D,290725,000000,111.37,111.5,109.9,110.99,60406
RU000A10BFG2,D,300725,000000,111.13,111.41,109.98,110.93,241440
RU000A10BFG2,D,310725,000000,110.96,111.11,110.4,111.11,24454
