<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B3S8,D,210325,000000,100.9,101.3,100.2,100.75,78505
RU000A10B3S8,D,240325,000000,100.75,101.85,100.69,101.65,27621
RU000A10B3S8,D,250325,000000,101.65,101.78,100.9,101.67,19841
RU000A10B3S8,D,260325,000000,101.79,101.8,100.99,101,18293
RU000A10B3S8,D,270325,000000,101.11,101.35,100.3,100.83,29183
RU000A10B3S8,D,280325,000000,100.51,100.8,100.12,100.2,22901
RU000A10B3S8,D,310325,000000,100.48,100.78,100.2,100.37,18527
RU000A10B3S8,D,010425,000000,100.3,100.37,100.13,100.29,9210
RU000A10B3S8,D,020425,000000,100.27,100.69,100.05,100.4,10375
RU000A10B3S8,D,030425,000000,100.4,100.4,100.1,100.3,14524
RU000A10B3S8,D,040425,000000,100.34,100.34,99.5,100,23145
RU000A10B3S8,D,070425,000000,99.91,99.92,99,99.5,23907
RU000A10B3S8,D,080425,000000,99.52,100.29,99.4,100.17,10987
RU000A10B3S8,D,090425,000000,100.01,100.25,99.63,99.85,5107
RU000A10B3S8,D,100425,000000,100,100.29,99.8,100,9733
RU000A10B3S8,D,110425,000000,100.2,100.4,100,100.25,8673
RU000A10B3S8,D,140425,000000,100.25,100.3,100.11,100.29,4220
RU000A10B3S8,D,150425,000000,100.3,100.3,100,100.1,5790
RU000A10B3S8,D,160425,000000,100.29,101.5,100.06,100.6,6788
RU000A10B3S8,D,170425,000000,100.6,101.15,100.39,101.14,4398
RU000A10B3S8,D,180425,000000,101.14,101.78,100.39,101.21,8325
RU000A10B3S8,D,210425,000000,101.41,101.95,100.53,100.98,2991
RU000A10B3S8,D,220425,000000,100.99,101,100.8,100.88,4162
RU000A10B3S8,D,230425,000000,100.88,101.44,100.63,101.21,6796
RU000A10B3S8,D,240425,000000,101.45,101.55,101.11,101.2,1700
RU000A10B3S8,D,250425,000000,101.3,101.48,101.1,101.44,2582
RU000A10B3S8,D,280425,000000,101.44,101.45,101.08,101.3,3685
RU000A10B3S8,D,290425,000000,101.3,101.7,101.3,101.31,4601
RU000A10B3S8,D,300425,000000,101.67,102.58,101,102.06,3157
RU000A10B3S8,D,020525,000000,102.38,102.9,101.85,102.74,3701
RU000A10B3S8,D,050525,000000,102.74,102.74,101.34,101.62,5048
RU000A10B3S8,D,060525,000000,102.2,102.63,101.62,102.6,2287
RU000A10B3S8,D,070525,000000,102,102.97,101.76,102.95,1814
RU000A10B3S8,D,080525,000000,102.98,103.49,102.98,103.14,558
RU000A10B3S8,D,120525,000000,103.3,103.46,101.9,102.88,3726
RU000A10B3S8,D,130525,000000,102.88,103.47,102,102.52,4949
RU000A10B3S8,D,140525,000000,103.44,103.44,102.18,102.54,2658
RU000A10B3S8,D,150525,000000,102.83,102.98,102.01,102.9,1691
RU000A10B3S8,D,160525,000000,102.53,103.48,102.2,103.15,2037
RU000A10B3S8,D,190525,000000,103.34,103.34,102.07,102.53,5001
RU000A10B3S8,D,200525,000000,103.08,104,102.61,103,2603
RU000A10B3S8,D,210525,000000,103.1,103.48,102.61,102.93,2936
RU000A10B3S8,D,220525,000000,102.93,103.03,102.15,102.6,2503
RU000A10B3S8,D,230525,000000,102.23,102.58,102.1,102.49,2207
RU000A10B3S8,D,260525,000000,102.49,102.52,101.7,102.3,2306
RU000A10B3S8,D,270525,000000,102.07,102.5,101.8,102.39,1927
RU000A10B3S8,D,280525,000000,102.4,102.51,101.7,102.05,7152
RU000A10B3S8,D,290525,000000,102.46,102.46,101.02,101.57,6480
RU000A10B3S8,D,300525,000000,101.56,102.23,101.23,102.1,2867
RU000A10B3S8,D,020625,000000,102.1,103,101.13,102.98,7478
RU000A10B3S8,D,030625,000000,102.99,103.8,102.52,103.3,4537
RU000A10B3S8,D,040625,000000,103.35,103.87,102.7,103.63,9686
RU000A10B3S8,D,050625,000000,103.64,103.98,103.01,103.64,4516
RU000A10B3S8,D,060625,000000,103.65,104.9,103.55,104.69,5424
RU000A10B3S8,D,090625,000000,104.88,104.88,103.8,104.6,1938
RU000A10B3S8,D,100625,000000,104.6,104.84,103.83,104.57,8792
RU000A10B3S8,D,110625,000000,104.75,105.49,103.85,105,3445
RU000A10B3S8,D,130625,000000,104.46,105.98,104.46,104.46,997
RU000A10B3S8,D,160625,000000,104.8,105.9,104.8,105.5,5984
RU000A10B3S8,D,170625,000000,105.78,105.78,104.47,105.15,1293
RU000A10B3S8,D,180625,000000,105.32,105.32,102.56,103.99,2672
RU000A10B3S8,D,190625,000000,103.99,105.59,103.69,105.5,2078
RU000A10B3S8,D,200625,000000,105,105.83,104.29,105.49,2037
RU000A10B3S8,D,230625,000000,105.19,105.66,104,104.44,5093
RU000A10B3S8,D,240625,000000,105.33,105.33,104.23,104.23,745
RU000A10B3S8,D,250625,000000,104.75,105,104.23,104.9,727
RU000A10B3S8,D,260625,000000,105.14,105.49,104.08,105.43,2293
RU000A10B3S8,D,270625,000000,104.67,105.99,104.5,105,2103
RU000A10B3S8,D,300625,000000,105.47,105.94,104.32,105.76,2427
RU000A10B3S8,D,010725,000000,105.86,106.57,105.09,105.94,1948
RU000A10B3S8,D,020725,000000,106.99,106.99,105,106.39,4581
RU000A10B3S8,D,030725,000000,106.07,106.39,103.5,104.5,16257
RU000A10B3S8,D,040725,000000,104.4,105.93,104.4,105.93,2842
RU000A10B3S8,D,070725,000000,105.93,105.97,105.5,105.85,4640
RU000A10B3S8,D,080725,000000,105.85,105.95,105.51,105.86,3343
RU000A10B3S8,D,090725,000000,105.86,106.19,105.49,105.79,109917
RU000A10B3S8,D,100725,000000,105.99,106,105.61,106,9543
RU000A10B3S8,D,110725,000000,106,106,105.73,106,14166
RU000A10B3S8,D,140725,000000,106,106,105.73,106,4392
RU000A10B3S8,D,150725,000000,105.87,106,105.79,106,10674
RU000A10B3S8,D,160725,000000,106,106.84,105.8,106.8,8176
RU000A10B3S8,D,170725,000000,106.84,106.84,106.4,106.81,2633
RU000A10B3S8,D,180725,000000,106.84,107.3,106.84,107.3,2923
RU000A10B3S8,D,210725,000000,107.3,108.49,106.87,107.18,1660
RU000A10B3S8,D,220725,000000,108.43,109.1,107.21,107.88,4125
RU000A10B3S8,D,230725,000000,108.48,108.48,106.8,107.99,8589
RU000A10B3S8,D,240725,000000,108,108.48,107.5,108.38,11538
RU000A10B3S8,D,250725,000000,108.47,108.47,107.61,108,4779
RU000A10B3S8,D,280725,000000,107.8,108.8,107.78,107.99,3863
RU000A10B3S8,D,290725,000000,108.05,108.52,107.5,108.07,5106
RU000A10B3S8,D,300725,000000,108.07,108.59,107.41,107.98,899
RU000A10B3S8,D,310725,000000,108.74,108.75,107.1,108.27,1596
