<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B2M3,D,130325,000000,100.3,101,99.96,100.11,2554
RU000A10B2M3,D,140325,000000,100.15,100.25,100,100.11,7694
RU000A10B2M3,D,170325,000000,100.11,100.11,100,100,2164
RU000A10B2M3,D,180325,000000,100.03,100.07,100,100.06,7082
RU000A10B2M3,D,190325,000000,100.08,100.17,100,100.13,6168
RU000A10B2M3,D,200325,000000,100.09,100.13,100.02,100.12,2552
RU000A10B2M3,D,210325,000000,100.12,100.2,100.02,100.09,4188
RU000A10B2M3,D,240325,000000,100.1,100.11,100.01,100.05,2595
RU000A10B2M3,D,250325,000000,100.05,100.1,100.04,100.09,3789
RU000A10B2M3,D,260325,000000,100.02,100.05,100,100.05,1858
RU000A10B2M3,D,270325,000000,100.03,100.07,100.02,100.05,2228
RU000A10B2M3,D,280325,000000,100.01,100.04,100.01,100.03,1895
RU000A10B2M3,D,310325,000000,100.02,100.05,100,100.03,3007
RU000A10B2M3,D,010425,000000,100.01,100.09,100,100.05,4957
RU000A10B2M3,D,020425,000000,100.04,100.09,100,100.05,2145
RU000A10B2M3,D,030425,000000,100.05,100.09,100,100.05,2541
RU000A10B2M3,D,040425,000000,100.05,100.11,100,100.03,3617
RU000A10B2M3,D,070425,000000,100,100.1,99.9,99.99,7606
RU000A10B2M3,D,080425,000000,100.02,100.03,99.98,99.99,1379
RU000A10B2M3,D,090425,000000,99.98,100.05,99.92,99.95,1894
RU000A10B2M3,D,100425,000000,100.02,100.06,99.99,100.05,1078
RU000A10B2M3,D,110425,000000,100.1,100.12,100,100.09,3762
RU000A10B2M3,D,140425,000000,100.07,100.1,100.01,100.04,3099
RU000A10B2M3,D,150425,000000,100.05,100.1,100.02,100.07,3364
RU000A10B2M3,D,160425,000000,100.05,100.08,100.03,100.04,2177
RU000A10B2M3,D,170425,000000,100.04,100.09,100.02,100.05,2023
RU000A10B2M3,D,180425,000000,100.04,100.08,100.03,100.05,1252
RU000A10B2M3,D,210425,000000,100.05,100.08,100.03,100.06,4508
RU000A10B2M3,D,220425,000000,100.05,100.06,100.03,100.04,4137
RU000A10B2M3,D,230425,000000,100.02,100.06,100.02,100.05,3544
RU000A10B2M3,D,240425,000000,100.03,100.05,100.02,100.04,4843
RU000A10B2M3,D,250425,000000,100.02,100.1,100.02,100.06,4581
RU000A10B2M3,D,280425,000000,100.04,100.09,100.03,100.06,5196
RU000A10B2M3,D,290425,000000,100.07,100.45,100.05,100.45,3198
RU000A10B2M3,D,300425,000000,100.45,100.69,100.41,100.63,2322
RU000A10B2M3,D,020525,000000,100.63,100.65,100.45,100.61,1450
RU000A10B2M3,D,050525,000000,100.64,100.74,100.32,100.5,2963
RU000A10B2M3,D,060525,000000,100.5,100.8,100.45,100.65,772
RU000A10B2M3,D,070525,000000,100.7,101,100.58,100.75,2966
RU000A10B2M3,D,080525,000000,100.8,101.55,100.66,101.12,1623
RU000A10B2M3,D,120525,000000,101.05,101.05,100.35,100.88,2920
RU000A10B2M3,D,130525,000000,100.85,101.5,100.81,101.35,3758
RU000A10B2M3,D,140525,000000,101.3,101.35,101.23,101.29,1244
RU000A10B2M3,D,150525,000000,101.2,101.37,101.2,101.31,288
RU000A10B2M3,D,160525,000000,101.3,101.6,101.3,101.45,913
RU000A10B2M3,D,190525,000000,101.5,101.77,101.1,101.31,1839
RU000A10B2M3,D,200525,000000,101.35,101.49,100.81,101,1286
RU000A10B2M3,D,210525,000000,101.05,101.25,100.8,100.86,1444
RU000A10B2M3,D,220525,000000,100.85,101.55,100.8,101.05,2440
