<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B5A1,D,250325,000000,100.32,100.39,99.7,99.85,4194
RU000A10B5A1,D,260325,000000,99.97,99.99,98.34,98.98,5296
RU000A10B5A1,D,270325,000000,98.98,99,98.27,98.3,4700
RU000A10B5A1,D,280325,000000,98.91,99,98.5,99,1780
RU000A10B5A1,D,310325,000000,98.97,99.96,98.45,99.75,2165
RU000A10B5A1,D,010425,000000,99.72,99.73,99.37,99.7,1021
RU000A10B5A1,D,020425,000000,99.76,99.99,99.33,99.99,1364
RU000A10B5A1,D,030425,000000,99.98,99.98,99.55,99.75,934
RU000A10B5A1,D,040425,000000,99.95,99.95,98.02,99.17,1552
RU000A10B5A1,D,070425,000000,99.49,99.5,97.01,99.23,1162
RU000A10B5A1,D,080425,000000,99.28,99.8,98,99,2662
RU000A10B5A1,D,090425,000000,99.01,99.68,98,98.15,1128
RU000A10B5A1,D,100425,000000,99.5,101.27,98.25,98.3,4406
RU000A10B5A1,D,110425,000000,99.6,99.6,96.56,98.21,2321
RU000A10B5A1,D,140425,000000,98.04,100.1,98.04,98.75,1827
RU000A10B5A1,D,150425,000000,99,99,98.2,98.7,711
RU000A10B5A1,D,160425,000000,98.9,99.4,98.7,99.39,601
RU000A10B5A1,D,170425,000000,99.41,99.59,98.4,98.8,2023
RU000A10B5A1,D,180425,000000,99.29,99.6,98.43,98.75,1910
RU000A10B5A1,D,210425,000000,99.5,99.5,98.13,98.6,1278
RU000A10B5A1,D,220425,000000,98.63,98.89,98.46,98.81,751
RU000A10B5A1,D,230425,000000,98.5,99.4,98.5,98.92,2037
RU000A10B5A1,D,240425,000000,98.98,99.47,98.14,98.5,2978
RU000A10B5A1,D,250425,000000,98.96,98.96,98.49,98.69,1952
RU000A10B5A1,D,280425,000000,98.89,98.9,98.07,98.32,2986
RU000A10B5A1,D,290425,000000,98.8,98.91,98.34,98.78,2112
RU000A10B5A1,D,300425,000000,98.78,98.9,98.48,98.7,3661
RU000A10B5A1,D,020525,000000,98.75,98.75,97.99,98,4225
RU000A10B5A1,D,050525,000000,98.48,98.55,98.29,98.4,6301
RU000A10B5A1,D,060525,000000,98.49,98.49,98.29,98.29,5538
RU000A10B5A1,D,070525,000000,98.45,98.78,98.35,98.6,6124
RU000A10B5A1,D,080525,000000,98.74,98.85,98.1,98.69,11947
RU000A10B5A1,D,120525,000000,98.69,98.7,98.4,98.7,17050
