<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AQD8,D,270125,000000,100.3,100.3,100.06,100.16,94
RU000A10AQD8,D,280125,000000,100.17,100.17,100.1,100.14,208
RU000A10AQD8,D,290125,000000,100.14,100.14,99.98,100,672
RU000A10AQD8,D,300125,000000,100,100.06,99.99,99.99,226
RU000A10AQD8,D,310125,000000,100,100,99.96,100,200
RU000A10AQD8,D,030225,000000,100.02,100.02,99.9,100,298
RU000A10AQD8,D,040225,000000,99.99,100,99.98,100,378
RU000A10AQD8,D,050225,000000,100,100,99.99,100,354
RU000A10AQD8,D,060225,000000,99.99,100,99.95,99.99,386
RU000A10AQD8,D,070225,000000,99.94,100,99.94,100,301
RU000A10AQD8,D,100225,000000,99.99,100.02,99.93,100,185
RU000A10AQD8,D,110225,000000,100.04,100.04,100.03,100.04,72
RU000A10AQD8,D,120225,000000,100.05,100.08,100.04,100.04,203
RU000A10AQD8,D,130225,000000,100.08,101.01,100.04,100.1,1441
RU000A10AQD8,D,140225,000000,100.09,100.23,100.09,100.19,80
RU000A10AQD8,D,170225,000000,100.19,100.21,100.02,100.19,210
RU000A10AQD8,D,180225,000000,100.18,100.25,100.02,100.06,208
RU000A10AQD8,D,190225,000000,100.07,100.19,100,100.03,196
RU000A10AQD8,D,200225,000000,100.17,100.22,100,100.22,398
RU000A10AQD8,D,210225,000000,100.26,100.75,99.9,100.2,536
RU000A10AQD8,D,240225,000000,100.2,100.2,100,100.09,407
RU000A10AQD8,D,250225,000000,100.1,100.17,99.91,100.13,298
RU000A10AQD8,D,260225,000000,100.2,100.2,100,100.1,119
RU000A10AQD8,D,270225,000000,100.21,100.21,100,100,141
RU000A10AQD8,D,280225,000000,100.19,100.19,99.99,99.99,518
RU000A10AQD8,D,030325,000000,99.99,100.21,99.98,100.02,432
RU000A10AQD8,D,040325,000000,100.02,100.02,99.98,99.98,412
RU000A10AQD8,D,050325,000000,100.17,100.17,99.99,100.09,214
RU000A10AQD8,D,060325,000000,100.1,100.17,99.99,100.12,174
RU000A10AQD8,D,070325,000000,100.12,100.18,99.99,100.15,248
RU000A10AQD8,D,100325,000000,100.15,100.18,99.99,100.13,266
RU000A10AQD8,D,110325,000000,100.1,100.15,99.99,100.05,235
RU000A10AQD8,D,120325,000000,100.05,100.06,99.98,100,315
RU000A10AQD8,D,130325,000000,99.99,100.15,99.9,100.14,276
RU000A10AQD8,D,140325,000000,99.97,100.3,99.91,100.3,345
RU000A10AQD8,D,170325,000000,100.08,100.3,100.08,100.11,142
RU000A10AQD8,D,180325,000000,100.16,100.3,99.96,99.97,241
RU000A10AQD8,D,190325,000000,100.16,100.16,99.98,100.14,136
RU000A10AQD8,D,200325,000000,100.25,100.25,100,100.18,168
RU000A10AQD8,D,210325,000000,99.97,100.2,99.91,100.19,58
RU000A10AQD8,D,240325,000000,100.15,100.15,99.92,100,79
RU000A10AQD8,D,250325,000000,100.27,100.27,99.91,100.1,206
RU000A10AQD8,D,260325,000000,99.91,100.28,99.91,100.23,301
RU000A10AQD8,D,270325,000000,99.98,100.23,99.98,100.16,51
RU000A10AQD8,D,280325,000000,100.16,100.2,100,100.13,393
RU000A10AQD8,D,310325,000000,100.13,100.14,99.91,100.11,203
RU000A10AQD8,D,010425,000000,100.12,100.12,100,100.01,117
RU000A10AQD8,D,020425,000000,100.11,100.11,99.97,100,160
RU000A10AQD8,D,030425,000000,100,100.15,100,100.15,276
RU000A10AQD8,D,040425,000000,100,100.2,99.9,100.17,498
RU000A10AQD8,D,070425,000000,99.71,100.29,99.71,99.95,145
RU000A10AQD8,D,080425,000000,100.24,100.24,99.86,100.18,239
RU000A10AQD8,D,090425,000000,100.25,100.25,99.55,100,178
RU000A10AQD8,D,100425,000000,99.56,100.18,99.56,100,88
RU000A10AQD8,D,110425,000000,100.24,100.25,99.93,100.14,154
RU000A10AQD8,D,140425,000000,99.83,100.24,99.83,100.15,150
RU000A10AQD8,D,150425,000000,100.15,100.18,100.15,100.17,344
RU000A10AQD8,D,160425,000000,100.15,100.15,99.96,100.1,43
RU000A10AQD8,D,170425,000000,100.14,100.16,99.98,100,154
RU000A10AQD8,D,180425,000000,100.09,100.09,99.98,100.04,143
RU000A10AQD8,D,210425,000000,100.11,100.19,100,100,135
RU000A10AQD8,D,220425,000000,100.11,100.11,99.91,100.1,44
RU000A10AQD8,D,230425,000000,100.12,100.12,100,100.11,121
RU000A10AQD8,D,240425,000000,100,100.25,99.93,99.97,217
RU000A10AQD8,D,250425,000000,100.15,100.2,99.91,99.93,253
RU000A10AQD8,D,280425,000000,100.15,100.2,99.96,100.19,617
RU000A10AQD8,D,290425,000000,100.12,100.16,100,100.12,140
RU000A10AQD8,D,300425,000000,100.15,100.15,100,100.11,211
RU000A10AQD8,D,020525,000000,100.1,100.15,100.1,100.15,24
RU000A10AQD8,D,050525,000000,100,100.15,99.86,99.93,137
RU000A10AQD8,D,060525,000000,100.15,100.15,100.01,100.11,226
RU000A10AQD8,D,070525,000000,99.88,100.15,99.88,100.1,74
RU000A10AQD8,D,080525,000000,100.05,100.14,100.05,100.1,86
RU000A10AQD8,D,120525,000000,100.1,100.16,100,100.16,365
RU000A10AQD8,D,130525,000000,100.1,100.16,100.1,100.1,46
RU000A10AQD8,D,140525,000000,100.13,100.15,100.08,100.11,309
RU000A10AQD8,D,150525,000000,100.15,100.15,100.07,100.11,132
RU000A10AQD8,D,160525,000000,100.12,100.12,99.99,100.1,383
RU000A10AQD8,D,190525,000000,100.01,100.1,99.9,100.1,718
RU000A10AQD8,D,200525,000000,100,100.21,100,100.21,682
RU000A10AQD8,D,210525,000000,100.21,100.24,100,100.2,49
RU000A10AQD8,D,220525,000000,100.19,100.19,100.01,100.01,11
RU000A10AQD8,D,230525,000000,100.19,100.19,99.7,100,149
RU000A10AQD8,D,260525,000000,100.07,100.22,99.95,100.15,118
RU000A10AQD8,D,270525,000000,100.21,100.21,99.74,100.2,144
RU000A10AQD8,D,280525,000000,100.1,100.21,99.81,100.02,104
RU000A10AQD8,D,290525,000000,100.2,100.21,100,100.2,78
RU000A10AQD8,D,300525,000000,100,100.2,99.96,100.09,76
RU000A10AQD8,D,020625,000000,100.09,100.21,99.9,100.18,217
RU000A10AQD8,D,030625,000000,100.18,100.23,100.1,100.19,93
RU000A10AQD8,D,040625,000000,100.17,100.24,100.15,100.24,401
RU000A10AQD8,D,050625,000000,99.94,100.25,99.94,100.25,209
RU000A10AQD8,D,060625,000000,100.25,100.38,100.15,100.38,132
RU000A10AQD8,D,090625,000000,100.49,101,99.99,101,765
RU000A10AQD8,D,100625,000000,101,101.99,100.45,101.96,83
RU000A10AQD8,D,110625,000000,100.69,102.6,100,101.05,347
RU000A10AQD8,D,130625,000000,101.99,102,100.79,100.79,103
RU000A10AQD8,D,160625,000000,100.51,101,100.51,100.51,161
RU000A10AQD8,D,170625,000000,100.99,101,100,100.33,356
RU000A10AQD8,D,180625,000000,100.52,100.52,99.7,99.92,234
RU000A10AQD8,D,190625,000000,100,100.22,99.72,99.78,277
RU000A10AQD8,D,200625,000000,99.82,100.27,99.82,100.27,96
RU000A10AQD8,D,230625,000000,99.82,100.5,99.76,100.34,208
RU000A10AQD8,D,240625,000000,99.9,101.49,99.9,100.45,730
RU000A10AQD8,D,250625,000000,100.1,101.43,100.05,100.82,39
RU000A10AQD8,D,260625,000000,99.77,101.43,99.77,100.4,134
RU000A10AQD8,D,270625,000000,100.96,100.96,100.06,100.1,307
RU000A10AQD8,D,300625,000000,100.01,100.64,99.86,100.08,112
RU000A10AQD8,D,010725,000000,100.07,100.57,99.84,100.38,123
RU000A10AQD8,D,020725,000000,100.01,100.65,99.98,100.44,114
RU000A10AQD8,D,030725,000000,100.93,101.5,100.85,100.92,119
RU000A10AQD8,D,040725,000000,101.11,101.5,100,100.3,538
RU000A10AQD8,D,070725,000000,100.06,101.75,100.06,101.29,183
RU000A10AQD8,D,080725,000000,100.02,102.8,100.02,102,500
RU000A10AQD8,D,090725,000000,102.09,102.1,101.01,101.01,44
