<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ATW2,D,280225,000000,101.85,101.99,99.44,99.61,298872
RU000A10ATW2,D,030325,000000,99.87,100,99.52,99.64,305945
RU000A10ATW2,D,040325,000000,99.86,99.9,99.45,99.6,157430
RU000A10ATW2,D,050325,000000,99.64,99.73,99.5,99.65,147870
RU000A10ATW2,D,060325,000000,99.69,99.79,99.58,99.78,117917
RU000A10ATW2,D,070325,000000,99.77,100.35,99.69,99.94,130400
RU000A10ATW2,D,100325,000000,100,100.14,99.9,99.98,144304
RU000A10ATW2,D,110325,000000,100,100.12,99.94,99.97,68851
RU000A10ATW2,D,120325,000000,100.04,100.04,99.76,99.8,81589
RU000A10ATW2,D,130325,000000,99.96,100.2,99.8,100.19,159987
RU000A10ATW2,D,140325,000000,100.24,100.29,100.1,100.25,70115
RU000A10ATW2,D,170325,000000,100.28,100.41,100.02,100.16,67081
RU000A10ATW2,D,180325,000000,100.16,100.9,100.02,100.89,70446
RU000A10ATW2,D,190325,000000,100.98,101,100.4,100.99,54769
RU000A10ATW2,D,200325,000000,101.1,101.75,100.99,101.52,106201
RU000A10ATW2,D,210325,000000,101.7,102,101.2,101.8,46182
RU000A10ATW2,D,240325,000000,101.8,102.1,101.17,102,55958
RU000A10ATW2,D,250325,000000,102,102,101.31,101.85,67519
RU000A10ATW2,D,260325,000000,101.93,101.94,100.8,101.89,15852
RU000A10ATW2,D,270325,000000,101.89,101.89,101.13,101.79,23593
RU000A10ATW2,D,280325,000000,101.79,101.89,101.4,101.57,33609
RU000A10ATW2,D,310325,000000,101.55,101.8,101.26,101.64,16556
RU000A10ATW2,D,010425,000000,101.66,101.77,101.32,101.7,22450
RU000A10ATW2,D,020425,000000,101.67,101.76,101.34,101.68,24090
RU000A10ATW2,D,030425,000000,101.69,101.69,101.35,101.52,19635
RU000A10ATW2,D,040425,000000,101.52,101.59,100.03,100.6,55917
RU000A10ATW2,D,070425,000000,100.5,100.5,99.67,100.03,61432
RU000A10ATW2,D,080425,000000,100.17,100.77,100.04,100.57,30171
RU000A10ATW2,D,090425,000000,100.57,100.87,99.71,100.1,35222
RU000A10ATW2,D,100425,000000,100.54,100.65,100.2,100.44,24675
RU000A10ATW2,D,110425,000000,100.31,100.81,100.25,100.75,22036
RU000A10ATW2,D,140425,000000,100.75,101.11,100.24,100.77,16962
RU000A10ATW2,D,150425,000000,101.09,101.09,100.7,100.9,17531
RU000A10ATW2,D,160425,000000,100.88,101.08,100.7,100.91,32705
RU000A10ATW2,D,170425,000000,100.98,101.47,100.81,101.3,15409
RU000A10ATW2,D,180425,000000,101.47,101.5,101.1,101.42,16767
RU000A10ATW2,D,210425,000000,101.4,101.4,100.75,101.35,88608
RU000A10ATW2,D,220425,000000,101.44,101.6,101.1,101.39,14800
RU000A10ATW2,D,230425,000000,101.39,101.6,100.99,101.6,22846
RU000A10ATW2,D,240425,000000,101.67,101.67,101.42,101.6,14647
RU000A10ATW2,D,250425,000000,101.6,101.7,101.5,101.69,15852
RU000A10ATW2,D,280425,000000,101.7,101.99,101,101.81,28172
RU000A10ATW2,D,290425,000000,101.89,102.57,101.21,102.27,30411
RU000A10ATW2,D,300425,000000,102.5,102.99,102.27,102.99,32216
RU000A10ATW2,D,020525,000000,102.99,103,101.78,102.68,6859
RU000A10ATW2,D,050525,000000,102.68,103.39,102,102.99,19151
RU000A10ATW2,D,060525,000000,103.4,103.4,102.68,103.29,21959
RU000A10ATW2,D,070525,000000,103.1,103.25,102.61,103.18,11298
RU000A10ATW2,D,080525,000000,103.25,103.71,103.2,103.68,4799
RU000A10ATW2,D,120525,000000,103.97,105.2,103.02,103.71,27030
RU000A10ATW2,D,130525,000000,103.9,103.92,103,103.4,57816
RU000A10ATW2,D,140525,000000,103.8,103.8,102.65,103.23,17623
RU000A10ATW2,D,150525,000000,103.22,103.23,102.01,102.94,24555
RU000A10ATW2,D,160525,000000,102.94,103.5,102.86,103.19,12338
RU000A10ATW2,D,190525,000000,103.43,103.43,102.25,102.8,19469
RU000A10ATW2,D,200525,000000,102.99,103.49,102.15,103.15,21464
RU000A10ATW2,D,210525,000000,103.19,103.25,102.02,103.23,22316
RU000A10ATW2,D,220525,000000,103.19,103.26,102.55,103.26,32990
RU000A10ATW2,D,230525,000000,103,103.23,102.85,103,54429
RU000A10ATW2,D,260525,000000,102.96,103.29,102.43,103.29,35570
RU000A10ATW2,D,270525,000000,103.3,103.38,102.71,103.29,25328
RU000A10ATW2,D,280525,000000,103.39,103.6,103.11,103.51,23493
RU000A10ATW2,D,290525,000000,103.45,103.45,102.55,103.1,38987
RU000A10ATW2,D,300525,000000,103.1,103.48,102.52,102.9,44964
RU000A10ATW2,D,020625,000000,102.91,103.99,102.9,103.47,33564
RU000A10ATW2,D,030625,000000,103.4,103.84,103.22,103.81,27680
RU000A10ATW2,D,040625,000000,103.8,104.95,103.58,104.61,29848
RU000A10ATW2,D,050625,000000,104.9,105.49,104.5,105.22,13798
RU000A10ATW2,D,060625,000000,105.2,105.5,104.81,105.31,28777
RU000A10ATW2,D,090625,000000,105.4,105.48,104.5,104.94,9841
RU000A10ATW2,D,100625,000000,105.05,105.68,104.64,105.5,10146
RU000A10ATW2,D,110625,000000,105.67,105.67,104.5,105.59,8016
RU000A10ATW2,D,130625,000000,105.59,106.18,105.03,106.09,7093
RU000A10ATW2,D,160625,000000,105.97,105.99,105.47,105.97,16661
RU000A10ATW2,D,170625,000000,105.95,105.97,105.1,105.21,7548
RU000A10ATW2,D,180625,000000,105.54,105.94,104.63,105.79,12066
RU000A10ATW2,D,190625,000000,105.93,105.93,105.13,105.21,6784
RU000A10ATW2,D,200625,000000,105.62,105.63,104.76,105,10803
RU000A10ATW2,D,230625,000000,105,105.12,104.06,104.96,9235
RU000A10ATW2,D,240625,000000,104.95,104.95,103.35,104.5,9488
RU000A10ATW2,D,250625,000000,104.78,105,104.43,104.99,4802
RU000A10ATW2,D,260625,000000,104.99,105.77,104.77,105.24,6506
RU000A10ATW2,D,270625,000000,105.24,105.85,104.58,105.66,10959
RU000A10ATW2,D,300625,000000,105.7,106,105,106,14880
RU000A10ATW2,D,010725,000000,105.71,106.18,105.23,105.97,12456
RU000A10ATW2,D,020725,000000,105.97,107.93,105.86,106.8,14082
