<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B3Q2,D,210325,000000,101.1,110,100.01,100.5,530959
RU000A10B3Q2,D,240325,000000,100.97,101,100.5,100.89,380084
RU000A10B3Q2,D,250325,000000,100.8,100.99,100.7,100.84,36027
RU000A10B3Q2,D,260325,000000,100.9,101.19,100.71,101.18,29455
RU000A10B3Q2,D,270325,000000,101.2,101.49,100.6,101.07,17104
RU000A10B3Q2,D,280325,000000,101.07,101.07,100.6,100.74,16317
RU000A10B3Q2,D,310325,000000,101.08,101.15,100.5,100.84,44783
RU000A10B3Q2,D,010425,000000,100.84,100.99,100.61,100.97,12725
RU000A10B3Q2,D,020425,000000,100.97,101,100.64,100.98,20173
RU000A10B3Q2,D,030425,000000,101.17,101.2,100.7,101.09,11697
RU000A10B3Q2,D,040425,000000,101.09,101.1,100.1,100.35,50427
RU000A10B3Q2,D,070425,000000,100.32,100.33,99.82,100,46252
RU000A10B3Q2,D,080425,000000,100.49,101.2,99.99,100.8,14288
RU000A10B3Q2,D,090425,000000,100.56,101,100,100.73,16451
RU000A10B3Q2,D,100425,000000,100.75,100.98,100.13,100.7,13958
RU000A10B3Q2,D,110425,000000,100.7,100.87,100.21,100.5,13786
RU000A10B3Q2,D,140425,000000,100.6,100.96,100.51,100.85,10471
RU000A10B3Q2,D,150425,000000,100.85,100.95,100.56,100.8,20847
RU000A10B3Q2,D,160425,000000,100.85,100.85,100.56,100.77,4792
RU000A10B3Q2,D,170425,000000,100.94,101,100.6,100.9,16806
RU000A10B3Q2,D,180425,000000,101.19,101.2,100.22,100.72,14068
RU000A10B3Q2,D,210425,000000,100.72,101.2,100.25,100.6,67250
RU000A10B3Q2,D,220425,000000,100.6,100.67,100.35,100.57,8113
RU000A10B3Q2,D,230425,000000,100.57,101.16,100.54,101,20154
RU000A10B3Q2,D,240425,000000,101,101.37,100.57,100.9,11668
RU000A10B3Q2,D,250425,000000,100.89,101,100.76,101,13058
RU000A10B3Q2,D,280425,000000,100.95,101.37,100.6,101.19,17740
RU000A10B3Q2,D,290425,000000,101.38,101.94,101,101.25,14021
RU000A10B3Q2,D,300425,000000,101.25,101.84,101.1,101.64,8558
RU000A10B3Q2,D,020525,000000,101.88,101.99,101.72,101.95,2183
RU000A10B3Q2,D,050525,000000,102,102.5,101.15,101.94,41062
RU000A10B3Q2,D,060525,000000,102,102.4,101.7,102.04,12743
RU000A10B3Q2,D,070525,000000,102.48,102.48,101.97,102.31,12301
RU000A10B3Q2,D,080525,000000,102.88,103.55,101.78,102.6,4739
RU000A10B3Q2,D,120525,000000,102.8,102.8,102.07,102.38,8974
RU000A10B3Q2,D,130525,000000,103.78,103.88,102.12,102.48,16561
RU000A10B3Q2,D,140525,000000,102.9,102.9,102.07,102.22,17275
RU000A10B3Q2,D,150525,000000,102.59,102.79,102.22,102.4,31722
RU000A10B3Q2,D,160525,000000,102.4,102.5,101.96,102.25,43317
RU000A10B3Q2,D,190525,000000,102.4,102.4,102,102.32,5224
RU000A10B3Q2,D,200525,000000,102.32,102.39,102.02,102.3,18650
RU000A10B3Q2,D,210525,000000,102.47,102.48,101.83,102.2,11617
RU000A10B3Q2,D,220525,000000,102.25,102.3,101.5,102.26,24758
RU000A10B3Q2,D,230525,000000,102.32,102.32,101.82,101.98,6091
RU000A10B3Q2,D,260525,000000,101.98,102.25,101.26,101.8,6395
RU000A10B3Q2,D,270525,000000,101.6,101.99,101.3,101.97,14837
RU000A10B3Q2,D,280525,000000,101.61,102.31,101.61,101.81,10084
RU000A10B3Q2,D,290525,000000,102,102,101.3,101.89,18460
RU000A10B3Q2,D,300525,000000,102.08,102.34,101.91,102.18,14222
RU000A10B3Q2,D,020625,000000,102.35,102.35,101.55,102.25,11541
RU000A10B3Q2,D,030625,000000,102.3,102.3,102.1,102.25,15009
RU000A10B3Q2,D,040625,000000,102.26,103.85,102,103.18,126445
RU000A10B3Q2,D,050625,000000,103.41,104.5,103.18,104,16632
RU000A10B3Q2,D,060625,000000,104.4,104.99,104.09,104.12,9421
RU000A10B3Q2,D,090625,000000,104.89,104.9,103.68,104.48,7295
RU000A10B3Q2,D,100625,000000,104.68,104.68,103.18,104.15,2776
RU000A10B3Q2,D,110625,000000,104.15,104.5,103.18,104.48,79185
RU000A10B3Q2,D,130625,000000,104.49,104.74,103.56,104.19,879
RU000A10B3Q2,D,160625,000000,104.19,104.5,104,104.2,8722
RU000A10B3Q2,D,170625,000000,104.47,104.49,103.18,104.3,3293
RU000A10B3Q2,D,180625,000000,104.5,104.5,103.96,104.38,4191
RU000A10B3Q2,D,190625,000000,103.96,104.48,103.6,104.4,4372
RU000A10B3Q2,D,200625,000000,104.4,104.49,103.4,104.46,9791
RU000A10B3Q2,D,230625,000000,104.45,104.9,103,103.8,15549
RU000A10B3Q2,D,240625,000000,104.5,104.5,103.5,103.81,7542
RU000A10B3Q2,D,250625,000000,104.49,104.49,103.03,104.3,3941
RU000A10B3Q2,D,260625,000000,104.47,104.49,103.13,104.3,8368
RU000A10B3Q2,D,270625,000000,104.3,104.3,103.7,104.17,9742
RU000A10B3Q2,D,300625,000000,104.93,104.93,103.06,104.5,8669
RU000A10B3Q2,D,010725,000000,104.5,104.9,103.9,104.9,47864
RU000A10B3Q2,D,020725,000000,104.94,105.22,104.65,104.88,12459
RU000A10B3Q2,D,030725,000000,104.24,105.49,104.24,105.2,24170
RU000A10B3Q2,D,040725,000000,105.2,105.2,104.86,105,23980
RU000A10B3Q2,D,070725,000000,105.97,107.98,105.1,105.35,3534
RU000A10B3Q2,D,080725,000000,105.26,105.5,104.85,105.39,40020
RU000A10B3Q2,D,090725,000000,105.39,105.48,104.85,105.29,19478
RU000A10B3Q2,D,100725,000000,105.59,105.97,104.85,104.9,10979
RU000A10B3Q2,D,110725,000000,105.47,105.49,104.74,105.32,13669
RU000A10B3Q2,D,140725,000000,105.39,105.39,104.89,105,3096
RU000A10B3Q2,D,150725,000000,105.37,105.37,105.08,105.2,4279
RU000A10B3Q2,D,160725,000000,105.34,105.4,105,105.4,2175
RU000A10B3Q2,D,170725,000000,105.4,105.99,104.93,105.25,11030
RU000A10B3Q2,D,180725,000000,105.25,106.95,105.2,106.38,18240
RU000A10B3Q2,D,210725,000000,106.38,107,105.5,106.95,8250
RU000A10B3Q2,D,220725,000000,107,107.9,105.52,106.28,10133
RU000A10B3Q2,D,230725,000000,106.38,106.99,105.5,106.89,7008
RU000A10B3Q2,D,240725,000000,107.9,107.9,106.27,106.98,26236
RU000A10B3Q2,D,250725,000000,107.97,107.97,106.26,106.96,6652
RU000A10B3Q2,D,280725,000000,106.98,107,106.05,106.65,5559
RU000A10B3Q2,D,290725,000000,107.51,107.51,106.39,106.7,13649
RU000A10B3Q2,D,300725,000000,106.61,106.94,106.6,106.8,3514
RU000A10B3Q2,D,310725,000000,106.99,106.99,106.56,106.87,7798
