<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B7N0,D,020425,000000,100.99,100.99,100.07,100.92,9700
RU000A10B7N0,D,030425,000000,100.97,101.78,100.76,101.6,6242
RU000A10B7N0,D,040425,000000,101.6,101.6,100.5,100.92,2349
RU000A10B7N0,D,070425,000000,100.92,101.25,99.99,101.23,7509
RU000A10B7N0,D,080425,000000,101.23,103,101,102.27,9784
RU000A10B7N0,D,090425,000000,100.5,102.3,100.45,101.94,531
RU000A10B7N0,D,100425,000000,101.93,102.37,101.9,102.37,624
RU000A10B7N0,D,110425,000000,102.35,102.94,102.22,102.88,394
RU000A10B7N0,D,140425,000000,102.8,102.92,101.04,102.27,1525
RU000A10B7N0,D,150425,000000,102.5,102.69,101.45,102.59,862
RU000A10B7N0,D,160425,000000,102.59,102.62,102.12,102.5,1035
RU000A10B7N0,D,170425,000000,102.5,102.5,102.21,102.39,943
RU000A10B7N0,D,180425,000000,102.49,102.49,101.44,102.42,824
RU000A10B7N0,D,210425,000000,102.43,102.48,102.31,102.44,501
RU000A10B7N0,D,220425,000000,102.44,102.83,102.22,102.77,691
RU000A10B7N0,D,230425,000000,102.77,102.77,102.4,102.53,403
RU000A10B7N0,D,240425,000000,102.75,102.75,102.32,102.54,571
RU000A10B7N0,D,250425,000000,102.75,102.75,102.03,102.48,612
RU000A10B7N0,D,280425,000000,102.76,102.79,102.45,102.48,1364
RU000A10B7N0,D,290425,000000,102.49,102.5,102.4,102.49,854
RU000A10B7N0,D,300425,000000,102.78,102.78,102,102.4,2472
RU000A10B7N0,D,020525,000000,102.4,102.79,102,102.79,1009
RU000A10B7N0,D,050525,000000,102.78,102.79,102,102.39,2057
RU000A10B7N0,D,060525,000000,102.76,102.78,102,102.76,1816
RU000A10B7N0,D,070525,000000,102.77,102.83,102,102.76,2801
RU000A10B7N0,D,080525,000000,102.78,102.83,102.5,102.5,1340
RU000A10B7N0,D,120525,000000,102.06,102.77,102,102.47,9048
RU000A10B7N0,D,130525,000000,102.5,102.64,102.5,102.58,2712
RU000A10B7N0,D,140525,000000,102.57,102.68,102.4,102.68,2410
RU000A10B7N0,D,150525,000000,102.68,103.97,102.64,103.9,1178
RU000A10B7N0,D,160525,000000,103.95,105.99,103.9,104.85,933
RU000A10B7N0,D,190525,000000,104.89,107.39,104.39,105.99,801
RU000A10B7N0,D,200525,000000,105.95,106.95,104.93,105.5,1256
RU000A10B7N0,D,210525,000000,106.57,106.59,105.46,106.32,395
RU000A10B7N0,D,220525,000000,106.1,106.18,105.5,105.9,368
RU000A10B7N0,D,230525,000000,105.89,106.31,105.63,106.13,325
RU000A10B7N0,D,260525,000000,106.23,106.23,105.02,105.92,734
RU000A10B7N0,D,270525,000000,106.23,106.5,104.65,106.03,496
RU000A10B7N0,D,280525,000000,106.17,106.48,105.81,105.81,236
RU000A10B7N0,D,290525,000000,106.03,106.39,104.05,105.98,555
RU000A10B7N0,D,300525,000000,105.99,106.37,104.5,106.37,1107
RU000A10B7N0,D,020625,000000,106.5,106.9,106.4,106.79,1670
RU000A10B7N0,D,030625,000000,106.79,106.79,105,106.65,1046
RU000A10B7N0,D,040625,000000,106.98,106.98,106.49,106.8,1387
RU000A10B7N0,D,050625,000000,106.97,106.98,106.56,106.93,881
RU000A10B7N0,D,060625,000000,106.99,107.9,106.51,107.86,1103
RU000A10B7N0,D,090625,000000,107.85,108.88,107,107.2,1478
RU000A10B7N0,D,100625,000000,108.27,108.27,107.02,107.59,413
RU000A10B7N0,D,110625,000000,108.49,108.5,108.1,108.5,654
RU000A10B7N0,D,130625,000000,106.85,109.02,106.85,108.66,306
RU000A10B7N0,D,160625,000000,109.19,109.38,108.41,109.01,1083
RU000A10B7N0,D,170625,000000,108.91,109.24,107,107.48,1689
RU000A10B7N0,D,180625,000000,107.05,107.05,103.5,106.24,1471
RU000A10B7N0,D,190625,000000,105.6,107.25,105.6,106.82,600
RU000A10B7N0,D,200625,000000,106.83,107.09,105.66,106.5,402
RU000A10B7N0,D,230625,000000,106.95,106.95,104.35,106.35,790
RU000A10B7N0,D,240625,000000,106.3,106.37,104.36,105,1071
RU000A10B7N0,D,250625,000000,104.98,105.98,104.21,105.97,1190
RU000A10B7N0,D,260625,000000,106.27,106.49,105.08,105.48,378
RU000A10B7N0,D,270625,000000,105.99,106,105.01,105.92,811
RU000A10B7N0,D,300625,000000,105.98,106.95,105.41,106.44,1270
RU000A10B7N0,D,010725,000000,106.44,106.48,102.15,105.96,10568
RU000A10B7N0,D,020725,000000,105.99,106.37,105.64,106.26,998
RU000A10B7N0,D,030725,000000,106.33,106.84,104.74,106.48,847
