<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B313,D,190325,000000,100.4,100.4,99.87,100.19,86825
RU000A10B313,D,200325,000000,100.2,100.34,99.96,100,306622
RU000A10B313,D,210325,000000,100.22,100.22,99.91,99.95,147717
RU000A10B313,D,240325,000000,100,100.19,99.94,99.94,66007
RU000A10B313,D,250325,000000,100,100.05,99.95,99.97,50233
RU000A10B313,D,260325,000000,99.99,100.1,99.91,99.99,36821
RU000A10B313,D,270325,000000,100.06,100.06,99.91,99.94,22308
RU000A10B313,D,280325,000000,99.97,100,99.84,99.92,30163
RU000A10B313,D,310325,000000,99.96,100,99.71,99.9,37267
RU000A10B313,D,010425,000000,99.96,99.99,99.81,99.85,44439
RU000A10B313,D,020425,000000,99.85,99.98,99.8,99.94,20057
RU000A10B313,D,030425,000000,99.94,99.98,99.6,99.75,17454
RU000A10B313,D,040425,000000,99.75,99.79,98.9,99.19,26901
RU000A10B313,D,070425,000000,99.15,99.19,90,98.33,18265
RU000A10B313,D,080425,000000,99,99.06,98.3,98.85,13348
RU000A10B313,D,090425,000000,98.85,99.18,97.8,98.4,14646
RU000A10B313,D,100425,000000,99.19,99.53,98,99.27,8145
RU000A10B313,D,110425,000000,99.3,99.64,99.17,99.43,10158
RU000A10B313,D,140425,000000,99.64,99.64,99.3,99.36,5236
RU000A10B313,D,150425,000000,99.4,99.56,98.42,99.1,11177
RU000A10B313,D,160425,000000,99.39,99.4,98.55,99.09,14553
RU000A10B313,D,170425,000000,99.4,99.55,99,99.39,13784
RU000A10B313,D,180425,000000,99.38,99.39,99.1,99.35,12448
RU000A10B313,D,210425,000000,99.36,99.84,98.93,99.29,18910
RU000A10B313,D,220425,000000,99.52,99.52,98.96,99,17591
RU000A10B313,D,230425,000000,99.02,99.22,98.91,99,21716
RU000A10B313,D,240425,000000,99.18,99.4,98.9,99,19186
RU000A10B313,D,250425,000000,99,99.32,98.91,99,21968
RU000A10B313,D,280425,000000,99.27,99.46,99,99.2,21321
RU000A10B313,D,290425,000000,99.2,99.85,99,99.84,22135
RU000A10B313,D,300425,000000,99.55,99.9,99.03,99.7,33834
RU000A10B313,D,020525,000000,99.83,100,99.7,99.99,13260
RU000A10B313,D,050525,000000,99.96,99.96,99.15,99.5,38092
RU000A10B313,D,060525,000000,99.52,99.94,99.52,99.94,17658
RU000A10B313,D,070525,000000,99.95,100,99.86,99.95,20715
RU000A10B313,D,080525,000000,99.98,100,99.88,99.99,19426
RU000A10B313,D,120525,000000,100.01,100.1,99.95,100.02,27043
RU000A10B313,D,130525,000000,100.15,100.25,100.02,100.13,22938
RU000A10B313,D,140525,000000,100.25,100.5,100.03,100.29,10944
RU000A10B313,D,150525,000000,100.49,100.49,100,100.18,25772
RU000A10B313,D,160525,000000,100.18,100.45,100.05,100.18,20095
RU000A10B313,D,190525,000000,100.2,100.4,99.99,100.17,29133
RU000A10B313,D,200525,000000,100.29,100.39,99.99,100.19,14032
RU000A10B313,D,210525,000000,100.1,100.19,99.72,99.97,15860
RU000A10B313,D,220525,000000,99.97,100.11,99.5,99.83,10011
RU000A10B313,D,230525,000000,99.84,100.15,99.4,99.86,17194
RU000A10B313,D,260525,000000,100.14,100.14,99.5,99.99,19017
RU000A10B313,D,270525,000000,100.1,100.2,99.95,99.98,11808
RU000A10B313,D,280525,000000,99.99,100.19,99.96,100.03,12745
RU000A10B313,D,290525,000000,100.04,100.04,99.7,99.84,17263
RU000A10B313,D,300525,000000,99.97,100.08,99.71,99.88,13248
RU000A10B313,D,020625,000000,99.99,100.21,99.7,100,23514
RU000A10B313,D,030625,000000,100.21,100.21,99.72,99.99,29406
RU000A10B313,D,040625,000000,100.08,100.09,99.83,99.89,29844
RU000A10B313,D,050625,000000,100.01,100.05,99.89,100.05,31915
RU000A10B313,D,060625,000000,100.21,100.27,99.99,100.14,40002
RU000A10B313,D,090625,000000,100.24,101.2,99.94,100.18,17530
RU000A10B313,D,100625,000000,100.2,100.28,100.11,100.18,22930
RU000A10B313,D,110625,000000,100.21,100.63,99.7,99.8,82369
RU000A10B313,D,130625,000000,99.89,100.2,99.73,99.8,27589
RU000A10B313,D,160625,000000,99.86,100,99.5,99.78,42581
RU000A10B313,D,170625,000000,99.99,100.14,99.77,99.95,33850
RU000A10B313,D,180625,000000,99.95,100.51,99.79,99.85,34127
RU000A10B313,D,190625,000000,99.89,100.45,99.51,99.7,26329
RU000A10B313,D,200625,000000,99.85,99.9,99.51,99.8,29857
RU000A10B313,D,230625,000000,99.99,99.99,99.5,99.82,28411
RU000A10B313,D,240625,000000,99.75,99.79,99.4,99.79,22779
RU000A10B313,D,250625,000000,99.87,99.98,99.71,99.98,18678
RU000A10B313,D,260625,000000,99.99,100,99.82,99.98,30734
RU000A10B313,D,270625,000000,99.98,100,99.7,100,29293
RU000A10B313,D,300625,000000,99.99,100,99.76,99.89,37317
RU000A10B313,D,010725,000000,99.96,100.19,99.84,100.18,57950
RU000A10B313,D,020725,000000,100.31,100.39,100,100.15,36267
RU000A10B313,D,030725,000000,100.06,100.3,100.06,100.24,39452
RU000A10B313,D,040725,000000,100.3,100.43,100.22,100.38,32016
RU000A10B313,D,070725,000000,100.44,100.7,100.35,100.67,32464
RU000A10B313,D,080725,000000,100.7,100.81,100.51,100.6,20428
RU000A10B313,D,090725,000000,100.79,100.81,100.12,100.66,25371
RU000A10B313,D,100725,000000,100.61,100.79,100,100.65,28385
RU000A10B313,D,110725,000000,100.65,101.11,100.64,101.11,25900
RU000A10B313,D,140725,000000,101.1,101.8,100.8,101.62,40776
RU000A10B313,D,150725,000000,102,103,101.7,102.32,27687
RU000A10B313,D,160725,000000,102.34,102.8,102,102.25,24125
RU000A10B313,D,170725,000000,102.5,103,102.28,103,31402
RU000A10B313,D,180725,000000,103,103,102.53,102.94,52405
RU000A10B313,D,210725,000000,103.01,104.85,103.01,104.39,28040
RU000A10B313,D,220725,000000,104.5,104.79,103.24,104.67,21515
RU000A10B313,D,230725,000000,110,110,103.72,104.47,23735
RU000A10B313,D,240725,000000,104.47,104.9,104.1,104.85,111844
RU000A10B313,D,250725,000000,104.55,106.99,104,105.5,103936
RU000A10B313,D,280725,000000,105.5,105.93,103.5,105.66,35133
RU000A10B313,D,290725,000000,105.5,106.22,105.01,105.77,13772
RU000A10B313,D,300725,000000,105.77,105.9,104.01,104.73,21252
RU000A10B313,D,310725,000000,104.95,104.95,103.68,104.17,17303
