<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B2T8,D,140325,000000,100.4,100.69,100,100.4,201521
RU000A10B2T8,D,170325,000000,100.55,100.69,99.97,100.09,125633
RU000A10B2T8,D,180325,000000,100.14,100.35,99.9,100.35,88357
RU000A10B2T8,D,190325,000000,100.39,100.6,100.05,100.58,43648
RU000A10B2T8,D,200325,000000,100.6,101,100.37,100.78,50695
RU000A10B2T8,D,210325,000000,101,101.99,100.35,101.9,25023
RU000A10B2T8,D,240325,000000,101.97,102.87,101.12,101.96,18519
RU000A10B2T8,D,250325,000000,101.99,102,101.25,101.83,13539
RU000A10B2T8,D,260325,000000,101.7,101.99,101.2,101.76,12524
RU000A10B2T8,D,270325,000000,101.83,101.98,101.26,101.57,8387
RU000A10B2T8,D,280325,000000,101.57,101.99,101.06,101.72,18690
RU000A10B2T8,D,310325,000000,101.72,102.24,101,101.3,17313
RU000A10B2T8,D,010425,000000,101.31,101.5,100,101.47,14968
RU000A10B2T8,D,020425,000000,101.21,101.78,101.01,101.58,13402
RU000A10B2T8,D,030425,000000,101.31,101.57,100.85,101.19,8920
RU000A10B2T8,D,040425,000000,101.19,101.28,100,100.32,28789
RU000A10B2T8,D,070425,000000,100.14,100.2,99,99.99,32439
RU000A10B2T8,D,080425,000000,100.36,100.36,99.95,100.15,14338
RU000A10B2T8,D,090425,000000,100.27,100.27,99.6,99.98,19587
RU000A10B2T8,D,100425,000000,99.99,100.88,99.82,100.24,11549
RU000A10B2T8,D,110425,000000,100.69,100.7,100.04,100.3,15494
RU000A10B2T8,D,140425,000000,100.3,100.68,99.99,100.1,26826
RU000A10B2T8,D,150425,000000,100.37,100.37,100,100.22,19137
RU000A10B2T8,D,160425,000000,100.37,100.73,100.03,100.6,13083
RU000A10B2T8,D,170425,000000,100.65,100.97,100.57,100.8,12591
RU000A10B2T8,D,180425,000000,100.9,101.3,100.63,101.1,11888
RU000A10B2T8,D,210425,000000,101.49,101.5,100.9,101.22,17384
RU000A10B2T8,D,220425,000000,101.48,101.5,100.6,101.1,16567
RU000A10B2T8,D,230425,000000,101.09,101.5,100.75,101.33,14584
RU000A10B2T8,D,240425,000000,101.52,101.89,101.31,101.69,10020
RU000A10B2T8,D,250425,000000,101.86,101.86,101.7,101.74,10737
RU000A10B2T8,D,280425,000000,101.9,103.64,101.81,103.6,13702
RU000A10B2T8,D,290425,000000,103.61,103.64,102.06,102.9,6566
RU000A10B2T8,D,300425,000000,103.29,103.99,102.52,103.37,7387
RU000A10B2T8,D,020525,000000,103.3,103.98,102.9,103.26,4410
RU000A10B2T8,D,050525,000000,102.55,104,102.31,103.39,7937
RU000A10B2T8,D,060525,000000,103.39,103.99,102.17,103.94,9562
RU000A10B2T8,D,070525,000000,103.85,103.93,102.63,103.77,9047
RU000A10B2T8,D,080525,000000,103.78,103.89,103.27,103.5,2563
RU000A10B2T8,D,120525,000000,103.95,104.7,103.7,104.68,5328
RU000A10B2T8,D,130525,000000,104.68,105,104.51,104.99,9912
RU000A10B2T8,D,140525,000000,104.98,105.41,103.99,104.8,8252
RU000A10B2T8,D,150525,000000,105,105.25,102.55,104.8,5466
RU000A10B2T8,D,160525,000000,105.18,105.2,103.5,104.21,9120
RU000A10B2T8,D,190525,000000,104.21,105.06,102.91,104.32,10090
RU000A10B2T8,D,200525,000000,104.32,104.88,103.21,103.97,6044
RU000A10B2T8,D,210525,000000,103.97,104.06,103.04,103.64,4846
RU000A10B2T8,D,220525,000000,103.67,103.67,102.05,103.18,5563
RU000A10B2T8,D,230525,000000,103.1,103.18,102.01,102.6,6803
RU000A10B2T8,D,260525,000000,102.8,103.38,101.5,102.02,16596
RU000A10B2T8,D,270525,000000,102.32,102.9,102.1,102.9,4997
RU000A10B2T8,D,280525,000000,102.95,103.18,102.6,102.8,5162
RU000A10B2T8,D,290525,000000,102.8,103.09,101.53,102.02,11399
RU000A10B2T8,D,300525,000000,102.09,104.16,102.07,103.34,10154
RU000A10B2T8,D,020625,000000,103.89,103.9,102.8,103.49,10073
RU000A10B2T8,D,030625,000000,103.98,104.56,103.8,104.53,9291
RU000A10B2T8,D,040625,000000,104.57,104.99,103.83,104.8,8995
RU000A10B2T8,D,050625,000000,104.79,105.21,103.85,105.14,8158
RU000A10B2T8,D,060625,000000,105.14,106.5,104.41,105.5,9616
RU000A10B2T8,D,090625,000000,105.49,105.5,104.06,104.95,4426
RU000A10B2T8,D,100625,000000,105.5,106.46,104.31,105.32,4480
RU000A10B2T8,D,110625,000000,105.73,106.07,105.13,105.89,3335
