<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B222,D,120325,000000,101,101,100,100.08,8278
RU000A10B222,D,130325,000000,100.18,100.18,100,100.04,17678
RU000A10B222,D,140325,000000,100.08,100.17,100,100.1,15400
RU000A10B222,D,170325,000000,100.16,100.49,100.05,100.1,7972
RU000A10B222,D,180325,000000,100.16,100.16,100,100.1,5505
RU000A10B222,D,190325,000000,100.1,100.18,100,100.13,6598
RU000A10B222,D,200325,000000,100.13,100.19,100.03,100.12,7779
RU000A10B222,D,210325,000000,100.15,100.16,100,100.05,9320
RU000A10B222,D,240325,000000,100.09,100.13,100,100.07,8108
RU000A10B222,D,250325,000000,100.1,100.82,100.05,100.59,5990
RU000A10B222,D,260325,000000,100.59,100.6,100.21,100.23,2874
RU000A10B222,D,270325,000000,100.46,100.63,100.19,100.36,3400
RU000A10B222,D,280325,000000,100.44,100.67,100.26,100.49,3097
RU000A10B222,D,310325,000000,100.5,100.5,100.14,100.34,2527
RU000A10B222,D,010425,000000,100.49,100.7,100.19,100.59,2075
RU000A10B222,D,020425,000000,100.53,100.73,100.23,100.59,2270
RU000A10B222,D,030425,000000,100.32,100.79,100.32,100.75,2195
RU000A10B222,D,040425,000000,100.74,100.75,100.15,100.65,2673
RU000A10B222,D,070425,000000,100.15,100.5,99,100.27,5271
RU000A10B222,D,080425,000000,100.41,100.45,100.03,100.32,2335
RU000A10B222,D,090425,000000,100.32,100.65,100,100.19,2193
RU000A10B222,D,100425,000000,100.45,100.69,100.2,100.6,1261
RU000A10B222,D,110425,000000,100.68,100.97,100.53,100.95,2330
RU000A10B222,D,140425,000000,100.94,101.69,100.54,101.23,1736
RU000A10B222,D,150425,000000,101.49,101.87,100.89,101.39,1052
RU000A10B222,D,160425,000000,101.39,101.5,100.1,101.46,933
RU000A10B222,D,170425,000000,101.46,101.75,100.83,101.73,918
RU000A10B222,D,180425,000000,101.45,101.95,101.45,101.9,1724
RU000A10B222,D,210425,000000,101.8,101.98,101.75,101.77,1846
RU000A10B222,D,220425,000000,101.94,101.94,101.6,101.7,891
RU000A10B222,D,230425,000000,101.88,101.88,101.63,101.85,1241
RU000A10B222,D,240425,000000,101.85,101.93,101.7,101.93,1525
RU000A10B222,D,250425,000000,101.93,103.72,101.8,102.78,713
RU000A10B222,D,280425,000000,102.77,104.29,101.83,102.95,1608
RU000A10B222,D,290425,000000,102.94,102.95,102.2,102.2,874
RU000A10B222,D,300425,000000,102.94,103.39,102.17,102.61,551
RU000A10B222,D,020525,000000,102.61,103.9,102.1,103.88,834
RU000A10B222,D,050525,000000,102.7,103.36,102.67,103.27,1058
RU000A10B222,D,060525,000000,103.84,103.84,102.78,103.25,986
RU000A10B222,D,070525,000000,103.19,103.4,102.79,103.4,1281
RU000A10B222,D,080525,000000,103.43,103.73,103.4,103.61,1190
RU000A10B222,D,120525,000000,103.74,103.99,103.01,103.8,3021
RU000A10B222,D,130525,000000,103.8,104.18,103.11,104.1,3616
RU000A10B222,D,140525,000000,104.09,104.2,103.97,104.18,1291
RU000A10B222,D,150525,000000,104.2,104.27,104,104.2,1267
RU000A10B222,D,160525,000000,104.2,105.59,104.2,104.63,838
RU000A10B222,D,190525,000000,104.51,105.32,103.84,104.03,741
RU000A10B222,D,200525,000000,103.96,106.01,103.9,104.67,1344
RU000A10B222,D,210525,000000,104.58,104.58,103.92,104.07,541
RU000A10B222,D,220525,000000,104.06,104.6,103.92,104.2,1379
RU000A10B222,D,230525,000000,104.21,104.31,103.57,103.8,1299
RU000A10B222,D,260525,000000,103.59,107,103.5,104.28,2372
RU000A10B222,D,270525,000000,104.98,105.32,104,104.65,767
RU000A10B222,D,280525,000000,105.17,105.6,103.52,104.67,1635
RU000A10B222,D,290525,000000,103.68,104.91,102.91,103.39,1454
RU000A10B222,D,300525,000000,103.34,103.98,102.5,103.21,2831
RU000A10B222,D,020625,000000,103.21,103.97,103.08,103.73,1622
RU000A10B222,D,030625,000000,103.8,104.97,103.75,104.9,1009
RU000A10B222,D,040625,000000,104.56,105.01,104.45,104.76,925
RU000A10B222,D,050625,000000,104.98,105.95,104.51,105.94,1112
RU000A10B222,D,060625,000000,106.88,107,106.05,106.31,1277
RU000A10B222,D,090625,000000,106.32,107.46,106.31,107.15,1887
RU000A10B222,D,100625,000000,106.46,106.96,105.12,106.47,939
RU000A10B222,D,110625,000000,106.46,106.89,106.06,106.3,1354
RU000A10B222,D,130625,000000,106.96,106.96,104,105,2037
RU000A10B222,D,160625,000000,105.47,105.47,104.35,104.8,2387
RU000A10B222,D,170625,000000,104.9,104.9,103.56,104.55,1582
RU000A10B222,D,180625,000000,104.3,104.81,101.92,104.26,4602
RU000A10B222,D,190625,000000,104.01,105,104,104.44,1455
RU000A10B222,D,200625,000000,104.4,104.9,104.26,104.88,2666
RU000A10B222,D,230625,000000,104.87,104.99,104.55,104.69,1354
RU000A10B222,D,240625,000000,104.59,104.67,103.55,104.46,1337
RU000A10B222,D,250625,000000,104.46,104.46,103.08,104.09,4281
RU000A10B222,D,260625,000000,103.75,104.37,103.5,104.37,2802
RU000A10B222,D,270625,000000,104.37,104.37,103.55,104.15,2098
RU000A10B222,D,300625,000000,104.37,104.94,103.58,104.94,1270
RU000A10B222,D,010725,000000,104.94,105.97,104.75,105.09,1093
RU000A10B222,D,020725,000000,105.04,105.38,105.03,105.06,1783
RU000A10B222,D,030725,000000,105.93,105.96,105.06,105.49,1004
RU000A10B222,D,040725,000000,105.97,106.95,105.53,106.38,1036
RU000A10B222,D,070725,000000,106.86,106.94,106,106.19,2356
RU000A10B222,D,080725,000000,106.69,106.91,106,106.61,1519
RU000A10B222,D,090725,000000,106.62,106.95,105.5,106.42,1298
RU000A10B222,D,100725,000000,105.52,106.9,105.52,106.77,614
RU000A10B222,D,110725,000000,106.01,106.93,106.01,106.76,1270
RU000A10B222,D,140725,000000,106.75,106.93,106.18,106.43,1268
RU000A10B222,D,150725,000000,106.23,106.9,106.23,106.55,1359
RU000A10B222,D,160725,000000,106.55,107.47,106.55,107.29,2167
RU000A10B222,D,170725,000000,107.99,107.99,107.05,107.68,1242
RU000A10B222,D,180725,000000,107.68,108,107.45,107.95,1595
RU000A10B222,D,210725,000000,107.9,107.9,107,107,1354
RU000A10B222,D,220725,000000,106.97,108.49,106.96,107.98,4692
RU000A10B222,D,230725,000000,107.98,108.48,107.7,108.48,1223
