<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AY61,D,200225,000000,118.97,118.97,118.97,118.97,10
RU000A10AY61,D,210225,000000,104.49,104.49,100.1,100.21,156
RU000A10AY61,D,240225,000000,100.6,100.6,100.1,100.1,162
RU000A10AY61,D,250225,000000,100.3,100.3,100.1,100.11,306
RU000A10AY61,D,260225,000000,100.1,100.14,100.08,100.1,319
RU000A10AY61,D,270225,000000,100.1,100.2,100.01,100.11,248
RU000A10AY61,D,280225,000000,100.11,100.17,100.08,100.13,574
RU000A10AY61,D,030325,000000,100.14,100.19,100.1,100.18,1102
RU000A10AY61,D,040325,000000,100.24,100.24,100.13,100.14,1476
RU000A10AY61,D,050325,000000,100.24,100.24,100.11,100.11,3320
RU000A10AY61,D,060325,000000,100.13,100.22,100.05,100.11,5929
RU000A10AY61,D,070325,000000,100.09,100.35,99.96,100.09,1963
RU000A10AY61,D,100325,000000,100.2,100.22,100,100,3348
RU000A10AY61,D,110325,000000,100.19,100.19,100.05,100.08,1227
RU000A10AY61,D,120325,000000,100.07,100.11,100.06,100.09,696
RU000A10AY61,D,130325,000000,100.09,100.11,100,100.05,543
RU000A10AY61,D,140325,000000,100.11,100.2,100.05,100.19,2805
RU000A10AY61,D,170325,000000,100.19,100.26,100.05,100.1,1637
RU000A10AY61,D,180325,000000,100.13,100.24,100.07,100.15,650
RU000A10AY61,D,190325,000000,100.14,100.15,100.06,100.1,2259
RU000A10AY61,D,200325,000000,100.14,100.18,100.06,100.09,2505
RU000A10AY61,D,210325,000000,100.16,100.19,100.07,100.12,1025
RU000A10AY61,D,240325,000000,100.18,100.24,100.06,100.19,2792
RU000A10AY61,D,250325,000000,100.18,100.23,100.06,100.06,3142
RU000A10AY61,D,260325,000000,100.08,100.13,100.06,100.1,1091
RU000A10AY61,D,270325,000000,100.06,100.16,100.06,100.14,7121
RU000A10AY61,D,280325,000000,100.11,100.13,100.05,100.09,1080
RU000A10AY61,D,310325,000000,100.09,100.13,100.06,100.1,1236
RU000A10AY61,D,010425,000000,100.04,100.06,100,100.06,333
RU000A10AY61,D,020425,000000,100.05,100.11,100.01,100.09,1428
RU000A10AY61,D,030425,000000,100.12,100.27,100.01,100.01,991
RU000A10AY61,D,040425,000000,100.14,100.26,100.01,100.19,1307
RU000A10AY61,D,070425,000000,100,100.18,99.22,99.95,2367
RU000A10AY61,D,080425,000000,100.17,100.17,99.91,99.93,257
RU000A10AY61,D,090425,000000,100.18,100.18,99.52,99.57,426
