<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AUY6,D,090425,000000,101.3,101.3,101.25,101.25,3
RU000A10AUY6,D,100425,000000,101.25,101.25,101.2,101.2,24
RU000A10AUY6,D,110425,000000,101.2,101.2,101.18,101.18,117
RU000A10AUY6,D,140425,000000,101.18,101.2,101.18,101.18,14
RU000A10AUY6,D,150425,000000,101.18,101.23,100.03,101.22,59
RU000A10AUY6,D,160425,000000,101.2,101.24,101.19,101.24,189
RU000A10AUY6,D,170425,000000,101.2,101.2,101.2,101.2,180
RU000A10AUY6,D,180425,000000,101.3,101.3,100.32,101.2,545
RU000A10AUY6,D,210425,000000,100.32,101.3,100.32,101.3,207
RU000A10AUY6,D,220425,000000,101.25,101.25,101.25,101.25,272
RU000A10AUY6,D,230425,000000,101.25,101.25,101.25,101.25,53
RU000A10AUY6,D,240425,000000,105,105,101.4,101.4,13
RU000A10AUY6,D,250425,000000,104.75,104.75,104.75,104.75,3
RU000A10AUY6,D,280425,000000,100.01,101.3,100.01,101.15,338
RU000A10AUY6,D,290425,000000,101.15,101.3,100.36,101.24,906
RU000A10AUY6,D,300425,000000,101.3,101.3,101.24,101.24,8
RU000A10AUY6,D,020525,000000,101.3,101.3,101.3,101.3,1
RU000A10AUY6,D,050525,000000,101.2,101.25,101.2,101.25,584
RU000A10AUY6,D,060525,000000,100.17,101.2,100.17,101.2,1055
RU000A10AUY6,D,070525,000000,101.2,101.2,101.2,101.2,147
RU000A10AUY6,D,080525,000000,101.2,101.2,101.2,101.2,2
RU000A10AUY6,D,120525,000000,104.99,104.99,100.51,101,280
RU000A10AUY6,D,130525,000000,105.46,105.46,101,101.2,1121
RU000A10AUY6,D,140525,000000,105.71,105.71,101.06,101.2,1510
RU000A10AUY6,D,150525,000000,101.2,101.2,101.15,101.2,288
RU000A10AUY6,D,160525,000000,101.2,101.2,101.2,101.2,23
RU000A10AUY6,D,190525,000000,101.19,101.2,101.1,101.2,272
RU000A10AUY6,D,200525,000000,101.2,101.2,101.2,101.2,74
RU000A10AUY6,D,210525,000000,101.2,101.2,101.15,101.15,25
RU000A10AUY6,D,220525,000000,101.17,101.17,101.17,101.17,49
RU000A10AUY6,D,230525,000000,101.19,101.19,101.12,101.19,42
RU000A10AUY6,D,260525,000000,101.18,101.18,101.18,101.18,257
RU000A10AUY6,D,270525,000000,101.11,101.18,101.11,101.18,271
RU000A10AUY6,D,280525,000000,101.18,101.2,101.13,101.2,35
RU000A10AUY6,D,290525,000000,101.2,101.29,100.55,101.29,223
RU000A10AUY6,D,300525,000000,101.3,101.3,101.27,101.27,99
RU000A10AUY6,D,020625,000000,101.26,101.26,101.21,101.21,1216
RU000A10AUY6,D,030625,000000,103.9,103.9,103.9,103.9,2
RU000A10AUY6,D,040625,000000,102,102.5,101.2,101.2,38
RU000A10AUY6,D,050625,000000,102.26,102.27,101.2,101.2,1202
RU000A10AUY6,D,060625,000000,101.35,101.55,101.2,101.55,1098
RU000A10AUY6,D,090625,000000,104.71,104.71,100.8,101.5,431
RU000A10AUY6,D,100625,000000,101.5,101.61,101.48,101.61,1770
RU000A10AUY6,D,110625,000000,102.96,102.96,100,101.8,270
RU000A10AUY6,D,160625,000000,101.64,101.64,101.06,101.55,217
RU000A10AUY6,D,170625,000000,101.8,102.03,101.49,101.5,68
RU000A10AUY6,D,180625,000000,102.31,102.32,101.35,101.5,26
RU000A10AUY6,D,190625,000000,102.3,102.3,101.5,101.5,248
RU000A10AUY6,D,200625,000000,101.55,101.55,101.5,101.53,304
RU000A10AUY6,D,230625,000000,101.03,101.6,100.16,101.41,1120
RU000A10AUY6,D,240625,000000,101.6,102.14,101.6,102.13,4667
RU000A10AUY6,D,250625,000000,101.85,101.88,101.75,101.75,466
RU000A10AUY6,D,260625,000000,101.6,101.88,101.6,101.88,32
RU000A10AUY6,D,270625,000000,101.88,101.88,101.7,101.7,14
RU000A10AUY6,D,300625,000000,101.87,101.87,101.79,101.79,17
RU000A10AUY6,D,010725,000000,101.75,101.75,101.75,101.75,33
RU000A10AUY6,D,020725,000000,101.78,101.78,101.11,101.78,12
RU000A10AUY6,D,030725,000000,101.78,101.78,101.7,101.7,130
RU000A10AUY6,D,040725,000000,100.38,101.7,100.02,101.12,873
RU000A10AUY6,D,070725,000000,101.74,101.8,101.54,101.74,883
RU000A10AUY6,D,080725,000000,101.74,101.75,101.74,101.75,500
RU000A10AUY6,D,090725,000000,101.77,101.77,101.76,101.77,14
RU000A10AUY6,D,100725,000000,101.81,101.81,101.7,101.7,13
RU000A10AUY6,D,110725,000000,101.71,101.71,101.7,101.71,535
