<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B3Y6,D,180325,000000,100.8,101.5,100.29,100.94,17683
RU000A10B3Y6,D,190325,000000,100.98,101.8,100.95,101.7,29969
RU000A10B3Y6,D,200325,000000,101.7,101.99,100.46,101.98,13128
RU000A10B3Y6,D,210325,000000,102.4,103.1,102.4,102.88,3035
RU000A10B3Y6,D,240325,000000,103,103,102.02,102.41,2371
RU000A10B3Y6,D,250325,000000,102.89,102.9,101.96,102.08,7282
RU000A10B3Y6,D,260325,000000,102.81,102.81,102,102.1,1161
RU000A10B3Y6,D,270325,000000,102.5,102.7,101.99,102,1008
RU000A10B3Y6,D,280325,000000,102.43,102.5,101.3,102.44,2866
RU000A10B3Y6,D,310325,000000,102.44,102.5,101.12,101.98,4740
RU000A10B3Y6,D,010425,000000,101.99,102.47,101.12,102.1,4832
RU000A10B3Y6,D,020425,000000,102.45,102.45,101.62,101.9,951
RU000A10B3Y6,D,030425,000000,102.34,102.34,101.17,101.99,1135
RU000A10B3Y6,D,040425,000000,101.99,101.99,101.11,101.23,2474
RU000A10B3Y6,D,070425,000000,101.69,101.69,99.99,100.93,12257
RU000A10B3Y6,D,080425,000000,100.92,100.99,100.5,100.7,572
RU000A10B3Y6,D,090425,000000,101.48,101.48,100,100.7,2236
RU000A10B3Y6,D,100425,000000,101.44,101.44,100.35,101.4,3145
RU000A10B3Y6,D,110425,000000,101.6,101.6,101,101,6245
RU000A10B3Y6,D,140425,000000,102,102,101.1,101.3,470
RU000A10B3Y6,D,150425,000000,101.54,101.54,101.17,101.22,465
RU000A10B3Y6,D,160425,000000,101.53,101.53,100.5,101.49,1711
RU000A10B3Y6,D,170425,000000,101.6,101.6,100.55,101.54,3389
RU000A10B3Y6,D,180425,000000,101.61,101.61,100.85,101.54,847
RU000A10B3Y6,D,210425,000000,101.6,101.61,101,101.5,1345
RU000A10B3Y6,D,220425,000000,102.35,102.35,101.55,101.61,364
RU000A10B3Y6,D,230425,000000,102.38,102.38,101.56,101.87,783
RU000A10B3Y6,D,240425,000000,102.39,103,101.5,101.84,887
RU000A10B3Y6,D,250425,000000,101.85,102.75,101.5,101.9,16362
RU000A10B3Y6,D,280425,000000,103,103,101.79,101.99,750
RU000A10B3Y6,D,290425,000000,102.47,102.47,101.8,102.05,1064
RU000A10B3Y6,D,300425,000000,102.01,103,101.88,102.68,1003
RU000A10B3Y6,D,020525,000000,102.68,102.9,101.86,102.79,286
RU000A10B3Y6,D,050525,000000,102.8,102.9,102.1,102.88,482
RU000A10B3Y6,D,060525,000000,102.89,102.89,102.32,102.77,2073
RU000A10B3Y6,D,070525,000000,102.98,103,102.42,102.55,792
RU000A10B3Y6,D,080525,000000,102.56,103.01,102.09,102.22,334
RU000A10B3Y6,D,120525,000000,103,103,102.31,102.98,1307
RU000A10B3Y6,D,130525,000000,102.73,103.23,102.73,103.1,541
RU000A10B3Y6,D,140525,000000,104.15,104.15,102.43,102.67,420
RU000A10B3Y6,D,150525,000000,108.57,108.57,102.95,103.4,967
RU000A10B3Y6,D,160525,000000,102.56,108.5,102.56,103.61,260
RU000A10B3Y6,D,190525,000000,103.63,105.65,101.06,103.39,1756
RU000A10B3Y6,D,200525,000000,103.62,105.2,102.5,103.9,486
RU000A10B3Y6,D,210525,000000,105.07,105.15,103.73,104.37,374
RU000A10B3Y6,D,220525,000000,104.38,104.43,103.7,104.1,516
RU000A10B3Y6,D,230525,000000,104.01,104.41,103.7,104.4,423
RU000A10B3Y6,D,260525,000000,104.97,105.07,101.78,103.05,789
RU000A10B3Y6,D,270525,000000,102.91,103,102.68,102.84,230
RU000A10B3Y6,D,280525,000000,102.84,103.84,102.71,103.84,159
RU000A10B3Y6,D,290525,000000,105.02,105.02,103.77,104.46,404
RU000A10B3Y6,D,300525,000000,104.45,105.99,103.45,103.85,176
RU000A10B3Y6,D,020625,000000,104.29,105.99,102.19,105.1,308
RU000A10B3Y6,D,030625,000000,105.1,105.1,104.01,104.01,1034
RU000A10B3Y6,D,040625,000000,105.48,105.9,104.45,105.46,597
RU000A10B3Y6,D,050625,000000,105.9,105.9,103.28,103.3,370
RU000A10B3Y6,D,060625,000000,105.43,105.45,103.48,104.67,120
RU000A10B3Y6,D,090625,000000,104.67,105.36,103.84,105.28,196
RU000A10B3Y6,D,100625,000000,104.01,105.37,104.01,105.1,151
RU000A10B3Y6,D,110625,000000,105.25,105.37,103.72,105.34,411
RU000A10B3Y6,D,130625,000000,105.37,107.7,105.37,107,265
RU000A10B3Y6,D,160625,000000,106.01,107.69,106.01,106.79,202
RU000A10B3Y6,D,170625,000000,106.07,107,105.97,107,196
RU000A10B3Y6,D,180625,000000,107.7,107.7,105.6,106.04,286
RU000A10B3Y6,D,190625,000000,108,108,103,103.92,1149
RU000A10B3Y6,D,200625,000000,106.39,106.5,101.51,105.1,3032
RU000A10B3Y6,D,230625,000000,103.06,106.5,102.75,104.22,1680
RU000A10B3Y6,D,240625,000000,104.25,105.13,103.87,104.48,340
RU000A10B3Y6,D,250625,000000,106.59,106.6,103.06,105.22,136
RU000A10B3Y6,D,260625,000000,107.99,108.56,104.9,105.16,95
RU000A10B3Y6,D,270625,000000,105.16,105.16,104.41,105,163
RU000A10B3Y6,D,300625,000000,104.91,107.42,104,106,446
RU000A10B3Y6,D,010725,000000,107.98,107.98,105.97,106.7,381
RU000A10B3Y6,D,020725,000000,107.43,107.43,103.66,106.04,158
RU000A10B3Y6,D,030725,000000,106.64,106.64,104,104.31,842
RU000A10B3Y6,D,040725,000000,106.26,106.26,104.69,105.7,142
RU000A10B3Y6,D,070725,000000,106.27,106.27,104.95,105,481
RU000A10B3Y6,D,080725,000000,104.92,105.8,103.59,104.84,335
RU000A10B3Y6,D,090725,000000,106.73,106.73,102.35,104.09,1565
RU000A10B3Y6,D,100725,000000,104.26,105.39,103.79,104.2,545
RU000A10B3Y6,D,110725,000000,105.08,105.4,105,105.4,414
RU000A10B3Y6,D,140725,000000,106.2,106.2,104.6,106.13,429
RU000A10B3Y6,D,150725,000000,107,107,104.93,106.1,466
RU000A10B3Y6,D,160725,000000,106.99,107,105.55,105.55,1118
RU000A10B3Y6,D,170725,000000,106.89,106.89,104.96,105.51,1152
RU000A10B3Y6,D,180725,000000,106.68,106.68,104.7,106.68,10870
RU000A10B3Y6,D,210725,000000,106.79,106.8,105.11,106.49,1219
RU000A10B3Y6,D,220725,000000,106.65,106.65,104.6,105.99,6440
RU000A10B3Y6,D,230725,000000,106,107,105.13,107,2047
RU000A10B3Y6,D,240725,000000,105.41,106.38,105.2,105.94,1945
RU000A10B3Y6,D,250725,000000,106.97,107.78,106.29,107.65,1008
RU000A10B3Y6,D,280725,000000,107.65,107.65,102,105.46,4153
RU000A10B3Y6,D,290725,000000,104.79,106.54,104.54,105.24,1186
RU000A10B3Y6,D,300725,000000,105.24,106.47,104.63,106.39,738
RU000A10B3Y6,D,310725,000000,106.01,106.58,106.01,106.5,481
