<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B9Q9,D,090425,000000,100,100,97.01,98.32,60564
RU000A10B9Q9,D,100425,000000,99.19,99.85,98.8,99.6,60471
RU000A10B9Q9,D,110425,000000,99.89,99.9,99.5,99.5,39473
RU000A10B9Q9,D,140425,000000,99.87,99.99,99.49,99.75,30210
RU000A10B9Q9,D,150425,000000,99.79,99.79,99.52,99.74,23155
RU000A10B9Q9,D,160425,000000,99.9,99.94,99.6,99.6,38435
RU000A10B9Q9,D,170425,000000,99.74,99.79,99.57,99.6,28327
RU000A10B9Q9,D,180425,000000,99.79,99.79,99.4,99.47,41572
RU000A10B9Q9,D,210425,000000,99.59,99.6,99,99.56,48066
RU000A10B9Q9,D,220425,000000,99.6,99.68,99.42,99.49,41762
RU000A10B9Q9,D,230425,000000,99.58,99.9,99.5,99.68,46960
RU000A10B9Q9,D,240425,000000,99.89,99.95,99.68,99.7,39121
RU000A10B9Q9,D,250425,000000,99.93,99.98,99.7,99.8,34633
RU000A10B9Q9,D,280425,000000,99.97,100.29,99.85,100.04,63348
RU000A10B9Q9,D,290425,000000,100.19,100.29,99.95,100,46242
RU000A10B9Q9,D,300425,000000,100.23,102,100,101.88,27691
RU000A10B9Q9,D,020525,000000,101.88,102.6,101.56,102.4,16863
RU000A10B9Q9,D,050525,000000,102.39,102.39,100.01,101.69,24334
RU000A10B9Q9,D,060525,000000,101.8,102,101.42,101.81,15922
RU000A10B9Q9,D,070525,000000,101.8,102.8,101.6,102.79,12807
RU000A10B9Q9,D,080525,000000,103,103.72,102.8,103.67,5629
RU000A10B9Q9,D,120525,000000,103.7,103.7,103,103.02,22327
RU000A10B9Q9,D,130525,000000,103.02,103.08,102,102.4,20939
RU000A10B9Q9,D,140525,000000,102.5,102.9,102,102.48,12483
RU000A10B9Q9,D,150525,000000,102.89,102.89,102.05,102.32,9332
RU000A10B9Q9,D,160525,000000,102.48,102.5,101.82,102.2,15333
RU000A10B9Q9,D,190525,000000,102.23,102.23,100.22,101,71557
RU000A10B9Q9,D,200525,000000,101.18,101.18,100.55,100.7,29396
RU000A10B9Q9,D,210525,000000,100.97,100.97,100.5,100.65,27006
RU000A10B9Q9,D,220525,000000,100.65,100.65,99.99,100,77267
RU000A10B9Q9,D,230525,000000,100.49,100.49,99.9,100.49,64396
RU000A10B9Q9,D,260525,000000,100.3,101.6,100,101.17,34520
RU000A10B9Q9,D,270525,000000,101.17,101.39,100.65,101.05,16026
RU000A10B9Q9,D,280525,000000,101.26,101.85,100.84,101.45,19581
RU000A10B9Q9,D,290525,000000,101.5,101.74,100.5,100.52,24909
RU000A10B9Q9,D,300525,000000,101,101.47,100.56,101.4,13609
RU000A10B9Q9,D,020625,000000,101.47,101.82,100.5,101.8,27030
RU000A10B9Q9,D,030625,000000,102,102.1,101.62,102.1,18155
RU000A10B9Q9,D,040625,000000,102.1,102.7,102.1,102.67,18274
RU000A10B9Q9,D,050625,000000,102.88,103.26,102.67,103.15,16627
RU000A10B9Q9,D,060625,000000,103.15,103.68,102.7,103.54,18959
RU000A10B9Q9,D,090625,000000,103.53,103.54,102.16,103.42,18361
RU000A10B9Q9,D,100625,000000,103.63,103.93,103,103.5,11769
RU000A10B9Q9,D,110625,000000,103.79,104.7,103.38,104.5,10599
RU000A10B9Q9,D,130625,000000,104.11,105,103.8,104.92,7484
RU000A10B9Q9,D,160625,000000,104.92,104.92,103.8,103.93,10672
RU000A10B9Q9,D,170625,000000,103.92,103.92,102.6,102.82,12809
RU000A10B9Q9,D,180625,000000,103.47,103.47,102.01,102.55,15044
RU000A10B9Q9,D,190625,000000,102.79,102.79,102.24,102.76,11008
RU000A10B9Q9,D,200625,000000,102.79,103.3,102.53,103.3,11308
RU000A10B9Q9,D,230625,000000,103.01,103.3,102.51,102.9,11002
RU000A10B9Q9,D,240625,000000,102.95,102.95,101.9,102.66,13822
RU000A10B9Q9,D,250625,000000,102.56,102.8,102,102.79,8521
RU000A10B9Q9,D,260625,000000,102.9,103.49,102.67,103.3,10936
RU000A10B9Q9,D,270625,000000,103.3,105,102.79,103.39,29185
RU000A10B9Q9,D,300625,000000,103.69,104.73,102.76,104.52,15411
RU000A10B9Q9,D,010725,000000,104.5,104.94,103.98,104.54,8083
RU000A10B9Q9,D,020725,000000,104.55,106,104.55,105.94,11816
RU000A10B9Q9,D,030725,000000,106,106.98,104.1,106.98,9364
RU000A10B9Q9,D,040725,000000,106.97,106.97,105.5,106.89,11577
RU000A10B9Q9,D,070725,000000,106.89,106.98,106.1,106.9,12554
RU000A10B9Q9,D,080725,000000,106.89,106.89,105.51,106.7,7500
RU000A10B9Q9,D,090725,000000,106.94,106.96,105.78,106.35,8412
RU000A10B9Q9,D,100725,000000,106.3,106.78,104.1,105.6,15181
RU000A10B9Q9,D,110725,000000,106.13,106.86,105.01,106.2,7350
RU000A10B9Q9,D,140725,000000,106.5,107.47,105.5,107.18,12918
RU000A10B9Q9,D,150725,000000,107.49,108.7,107.1,108.56,8301
RU000A10B9Q9,D,160725,000000,108.72,109.83,108.71,109.54,14790
RU000A10B9Q9,D,170725,000000,109.55,110.95,109.55,110.81,8607
RU000A10B9Q9,D,180725,000000,110.9,115.99,108.04,112.39,30710
RU000A10B9Q9,D,210725,000000,112.2,112.49,110.5,111.19,8821
RU000A10B9Q9,D,220725,000000,111.19,112.92,111.19,112.21,9434
RU000A10B9Q9,D,230725,000000,112.14,114.2,111.49,112.55,9119
RU000A10B9Q9,D,240725,000000,112.55,114.19,112.08,112.24,4730
RU000A10B9Q9,D,250725,000000,112.23,113.19,110.63,111.93,11022
RU000A10B9Q9,D,280725,000000,111.93,112.46,110.54,111.18,7335
RU000A10B9Q9,D,290725,000000,111.18,112.8,110.89,112.08,6494
RU000A10B9Q9,D,300725,000000,112.3,114.86,110.81,111.64,5621
RU000A10B9Q9,D,310725,000000,111.86,112.25,111.15,111.76,3720
