<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AU73,D,100225,000000,100.2,101.49,99.9,99.96,323.792
RU000A10AU73,D,110225,000000,100,100.08,99.71,99.96,482.756
RU000A10AU73,D,120225,000000,99.93,100.03,99.89,99.98,284.547
RU000A10AU73,D,130225,000000,100,100.56,99.93,99.99,1.228.431
RU000A10AU73,D,140225,000000,100,100.08,99.93,100,680.739
RU000A10AU73,D,170225,000000,100.03,100.03,99.91,99.99,649.585
RU000A10AU73,D,180225,000000,99.99,100.1,99.95,99.99,817.231
RU000A10AU73,D,190225,000000,100,100.01,99.93,99.99,409.330
RU000A10AU73,D,200225,000000,100,100,99.92,99.98,388.190
RU000A10AU73,D,210225,000000,99.97,100,99.85,99.98,607.515
RU000A10AU73,D,240225,000000,99.97,100.48,99.87,100,823.136
RU000A10AU73,D,250225,000000,100.12,100.12,99.98,99.99,590.967
RU000A10AU73,D,260225,000000,100.02,100.05,99.88,99.99,465.091
RU000A10AU73,D,270225,000000,99.98,99.99,99.86,99.99,818.976
RU000A10AU73,D,280225,000000,100,100.09,99.9,99.97,369.582
RU000A10AU73,D,030325,000000,100.04,100.17,99.9,99.99,357.793
RU000A10AU73,D,040325,000000,100.06,100.07,99.94,99.99,484.072
RU000A10AU73,D,050325,000000,99.99,100.1,99.95,100.08,330.839
RU000A10AU73,D,060325,000000,100.1,100.18,99.97,100.09,555.958
RU000A10AU73,D,070325,000000,100.09,101,100.07,100.88,651.107
RU000A10AU73,D,100325,000000,100.98,101.5,100.88,101.42,372.013
RU000A10AU73,D,110325,000000,101.46,101.6,101.06,101.27,334.926
RU000A10AU73,D,120325,000000,101.4,101.5,100.75,101.27,405.171
RU000A10AU73,D,130325,000000,101.29,101.99,101.27,101.73,131.687
RU000A10AU73,D,140325,000000,101.9,102.65,101.73,102.35,93.666
RU000A10AU73,D,170325,000000,102.4,102.7,101.97,102.59,154.183
RU000A10AU73,D,180325,000000,102.59,103.55,102.55,103.39,83.162
RU000A10AU73,D,190325,000000,103.38,103.6,103.05,103.6,78.991
RU000A10AU73,D,200325,000000,103.62,103.8,102.41,103.14,124.829
RU000A10AU73,D,210325,000000,103.11,103.49,102.57,103.34,69.092
RU000A10AU73,D,240325,000000,103.32,104.08,102.81,103.9,75.063
RU000A10AU73,D,250325,000000,103.93,103.99,103.23,103.52,57.395
RU000A10AU73,D,260325,000000,103.55,103.9,103.12,103.57,65.535
