<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B8X7,D,080425,000000,100,100.27,98.5,99.4,23311
RU000A10B8X7,D,090425,000000,99.8,99.8,98.76,99,16053
RU000A10B8X7,D,100425,000000,99.31,99.5,99,99.49,16323
RU000A10B8X7,D,110425,000000,99.5,99.84,99,99.45,7247
RU000A10B8X7,D,140425,000000,99.6,99.6,99.37,99.41,5378
RU000A10B8X7,D,150425,000000,99.52,99.52,99.2,99.25,6844
RU000A10B8X7,D,160425,000000,99.48,99.53,99.19,99.3,10855
RU000A10B8X7,D,170425,000000,99.26,99.49,99.07,99.39,3993
RU000A10B8X7,D,180425,000000,99.42,99.47,99.29,99.44,7888
RU000A10B8X7,D,210425,000000,99.57,100.05,99.45,99.61,6524
RU000A10B8X7,D,220425,000000,99.79,99.79,99.35,99.49,4258
RU000A10B8X7,D,230425,000000,99.6,99.69,99.3,99.44,5313
RU000A10B8X7,D,240425,000000,99.74,99.74,99.03,99.03,6482
RU000A10B8X7,D,250425,000000,99.72,99.72,99.22,99.6,2665
RU000A10B8X7,D,280425,000000,99.61,99.89,99.6,99.89,8084
RU000A10B8X7,D,290425,000000,99.89,100.24,99.86,99.93,6767
RU000A10B8X7,D,300425,000000,100.19,100.94,100,100.94,4628
RU000A10B8X7,D,020525,000000,100.94,100.99,100.31,100.94,1006
RU000A10B8X7,D,050525,000000,100.8,100.8,100.12,100.21,3635
RU000A10B8X7,D,060525,000000,100.97,100.97,100.12,100.2,4351
RU000A10B8X7,D,070525,000000,100.19,101.06,100.19,100.93,3796
RU000A10B8X7,D,080525,000000,101.36,114.97,100.5,101.6,1785
RU000A10B8X7,D,120525,000000,101.7,101.7,100.49,100.64,6835
RU000A10B8X7,D,130525,000000,100.7,100.7,100.4,100.55,8604
RU000A10B8X7,D,140525,000000,100.7,100.7,99.5,100.15,10653
RU000A10B8X7,D,150525,000000,100.28,100.29,99.99,100.03,11152
RU000A10B8X7,D,160525,000000,100.2,100.7,99.99,100,9364
RU000A10B8X7,D,190525,000000,100.2,100.2,99.95,100,6986
RU000A10B8X7,D,200525,000000,100,100,99.89,99.95,7211
RU000A10B8X7,D,210525,000000,99.95,100.09,99.85,99.94,24266
RU000A10B8X7,D,220525,000000,99.99,100.01,99.96,99.99,7168
RU000A10B8X7,D,230525,000000,99.97,99.99,99.8,99.9,7797
RU000A10B8X7,D,260525,000000,99.89,100,99.32,99.83,14200
