<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B4L1,D,210325,000000,101,104.97,100.5,103.89,11451
RU000A10B4L1,D,240325,000000,104.95,104.96,102.06,103.25,7201
RU000A10B4L1,D,250325,000000,103.29,103.5,102,103.33,7817
RU000A10B4L1,D,260325,000000,103.64,103.64,102.09,102.09,3244
RU000A10B4L1,D,270325,000000,102.33,102.33,101.42,101.58,2870
RU000A10B4L1,D,280325,000000,102,102.15,101.21,101.71,4441
RU000A10B4L1,D,310325,000000,101.99,102,99.99,100.86,8614
RU000A10B4L1,D,010425,000000,100.94,101.24,100.85,101.2,3721
RU000A10B4L1,D,020425,000000,101.05,101.49,100.95,101.49,2346
RU000A10B4L1,D,030425,000000,101.43,101.45,101,101.28,1440
RU000A10B4L1,D,040425,000000,101.44,101.49,100.81,101.19,2826
RU000A10B4L1,D,070425,000000,101,101.14,99.9,100.5,6645
RU000A10B4L1,D,080425,000000,100.5,101,100.17,100.9,2608
RU000A10B4L1,D,090425,000000,100.94,100.94,100.26,100.44,1063
RU000A10B4L1,D,100425,000000,100.88,101,100.35,100.83,2957
RU000A10B4L1,D,110425,000000,101.34,101.36,100.27,100.3,4785
RU000A10B4L1,D,140425,000000,100.88,100.88,100.15,100.3,4093
RU000A10B4L1,D,150425,000000,100.31,101.44,100.31,101.4,2027
RU000A10B4L1,D,160425,000000,101.43,102.6,101.43,102.12,1685
RU000A10B4L1,D,170425,000000,102.18,102.93,101.92,102.57,963
RU000A10B4L1,D,180425,000000,102.5,102.5,101.64,102.3,1782
RU000A10B4L1,D,210425,000000,102.42,102.42,101.57,101.93,2279
RU000A10B4L1,D,220425,000000,101.94,101.95,101.3,101.66,1851
RU000A10B4L1,D,230425,000000,101.4,102.83,101.37,101.79,1887
RU000A10B4L1,D,240425,000000,102.41,102.46,101.65,101.7,1360
RU000A10B4L1,D,250425,000000,102.06,102.94,101.5,102.34,1001
RU000A10B4L1,D,280425,000000,102.87,102.87,102.1,102.57,563
RU000A10B4L1,D,290425,000000,102.93,102.93,102.63,102.9,442
RU000A10B4L1,D,300425,000000,102.9,102.93,102.58,102.85,1340
RU000A10B4L1,D,020525,000000,102.87,102.87,102.65,102.85,775
RU000A10B4L1,D,050525,000000,102.94,103.49,102.85,102.85,2005
RU000A10B4L1,D,060525,000000,103.45,103.45,102.89,103.3,1249
RU000A10B4L1,D,070525,000000,103.42,103.72,103.3,103.7,1349
RU000A10B4L1,D,080525,000000,103.64,103.95,103.5,103.92,287
RU000A10B4L1,D,120525,000000,103.93,104.68,103.71,104.33,798
RU000A10B4L1,D,130525,000000,104.34,104.36,103,103.82,1101
RU000A10B4L1,D,140525,000000,104.19,104.89,104,104.76,1199
RU000A10B4L1,D,150525,000000,104.75,106,104.7,106,834
RU000A10B4L1,D,160525,000000,106.03,106.03,105.12,105.12,553
RU000A10B4L1,D,190525,000000,105.58,106.97,105,105.75,1963
RU000A10B4L1,D,200525,000000,104.8,105.82,103.87,104.3,2313
RU000A10B4L1,D,210525,000000,105.27,105.27,103.91,104.01,2557
RU000A10B4L1,D,220525,000000,104.97,104.98,103.95,104.21,997
RU000A10B4L1,D,230525,000000,104.2,104.59,103.41,104.55,752
RU000A10B4L1,D,260525,000000,104.54,105,103.05,104.89,2719
RU000A10B4L1,D,270525,000000,104.87,104.87,104.11,104.5,1227
RU000A10B4L1,D,280525,000000,104.97,104.99,104.2,104.2,1176
RU000A10B4L1,D,290525,000000,104.45,104.93,104,104.53,1260
RU000A10B4L1,D,300525,000000,104.76,104.96,104.31,104.57,857
RU000A10B4L1,D,020625,000000,104.58,105.96,104.05,105.96,1918
RU000A10B4L1,D,030625,000000,105.95,105.95,105.11,105.9,787
RU000A10B4L1,D,040625,000000,105.97,106,105.73,106,719
RU000A10B4L1,D,050625,000000,105.99,107.94,105.85,107.8,1199
RU000A10B4L1,D,060625,000000,107.8,108,106.75,107.41,741
RU000A10B4L1,D,090625,000000,108.39,108.39,106.4,107.8,947
RU000A10B4L1,D,100625,000000,107.31,107.94,106,107.4,279
RU000A10B4L1,D,110625,000000,107.4,107.99,107,107.5,639
RU000A10B4L1,D,130625,000000,107.97,107.98,107.5,107.51,390
RU000A10B4L1,D,160625,000000,106.12,107.88,101.15,104.62,1500
RU000A10B4L1,D,170625,000000,104.68,106.14,103.63,104.35,1506
RU000A10B4L1,D,180625,000000,104.02,105.2,104,105.1,1118
RU000A10B4L1,D,190625,000000,105,106.46,104.39,105.64,1248
