<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B0J3,D,060325,000000,100.44,100.48,99.9,100.45,63779
RU000A10B0J3,D,070325,000000,100.48,101.47,100.3,101.47,92106
RU000A10B0J3,D,100325,000000,101.88,102,100.9,100.96,65346
RU000A10B0J3,D,110325,000000,101.44,101.45,100.34,100.5,50888
RU000A10B0J3,D,120325,000000,100.72,100.95,99.96,100.6,98618
RU000A10B0J3,D,130325,000000,100.69,101.33,100.41,100.96,30386
RU000A10B0J3,D,140325,000000,101.15,101.4,100.41,101,13985
RU000A10B0J3,D,170325,000000,101,101.2,100.5,100.96,30958
RU000A10B0J3,D,180325,000000,100.96,101.2,100.61,101.09,60889
RU000A10B0J3,D,190325,000000,101.25,101.25,101,101.19,11969
RU000A10B0J3,D,200325,000000,101.23,101.48,101.15,101.35,24295
RU000A10B0J3,D,210325,000000,101.45,101.95,101.11,101.38,21659
RU000A10B0J3,D,240325,000000,101.45,101.94,101.3,101.79,28838
RU000A10B0J3,D,250325,000000,101.79,101.79,101.32,101.6,11665
RU000A10B0J3,D,260325,000000,101.89,101.89,101.07,101.65,8424
RU000A10B0J3,D,270325,000000,101.65,101.65,101.18,101.47,8747
RU000A10B0J3,D,280325,000000,101.3,101.48,100.97,101.31,12984
RU000A10B0J3,D,310325,000000,101.15,101.4,100.91,101.37,10602
RU000A10B0J3,D,010425,000000,101.37,101.47,100.93,101.36,13435
RU000A10B0J3,D,020425,000000,101.43,101.44,101,101.23,9425
RU000A10B0J3,D,030425,000000,101.25,101.3,100.82,101.18,14080
RU000A10B0J3,D,040425,000000,101.18,101.21,100.45,100.7,26935
RU000A10B0J3,D,070425,000000,100.5,100.8,99.98,100.61,28819
RU000A10B0J3,D,080425,000000,100.89,101.45,100.61,101.17,10742
RU000A10B0J3,D,090425,000000,101.17,101.35,100.4,100.57,11009
RU000A10B0J3,D,100425,000000,100.62,101.3,100.55,101.3,6601
RU000A10B0J3,D,110425,000000,101.31,101.31,100.91,101.11,9474
RU000A10B0J3,D,140425,000000,101.31,101.69,101.12,101.45,8914
RU000A10B0J3,D,150425,000000,101.64,101.72,101.48,101.65,8254
RU000A10B0J3,D,160425,000000,101.65,101.75,101.5,101.72,4577
RU000A10B0J3,D,170425,000000,101.8,101.96,101.34,101.9,7448
RU000A10B0J3,D,180425,000000,101.96,102.45,101.13,101.81,6086
RU000A10B0J3,D,210425,000000,102.45,102.45,101.29,102.2,9939
RU000A10B0J3,D,220425,000000,102.2,102.54,101.5,102.48,5411
