<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B487,D,200325,000000,100,100.54,100,100.25,976249
RU000A10B487,D,210325,000000,100.5,100.5,100.2,100.29,285487
RU000A10B487,D,240325,000000,100.29,100.96,100.12,100.41,307664
RU000A10B487,D,250325,000000,100.41,100.94,100.1,100.35,161719
RU000A10B487,D,260325,000000,100.35,100.39,99.99,100.15,209084
RU000A10B487,D,270325,000000,100.1,100.2,99.95,100.01,124120
RU000A10B487,D,280325,000000,100.04,100.15,99.94,100.08,24124
RU000A10B487,D,310325,000000,100.09,100.09,99.75,99.96,39556
RU000A10B487,D,010425,000000,99.96,100.15,99.8,99.98,67330
RU000A10B487,D,020425,000000,100.08,100.2,99.79,99.99,384038
RU000A10B487,D,030425,000000,99.99,100.34,99.84,100.3,35796
RU000A10B487,D,040425,000000,100.3,100.3,99.86,100,6572
RU000A10B487,D,070425,000000,99.99,100.28,99.4,99.5,22877
RU000A10B487,D,080425,000000,100.04,100.05,99.5,100.04,111249
RU000A10B487,D,090425,000000,100.05,100.05,99.55,99.9,8059
RU000A10B487,D,100425,000000,99.9,100.3,99.8,100.17,217260
RU000A10B487,D,110425,000000,100.3,100.5,100.05,100.29,10489
RU000A10B487,D,140425,000000,100.29,100.69,100,100.65,4709
RU000A10B487,D,150425,000000,100.75,100.75,100.15,100.55,7833
RU000A10B487,D,160425,000000,100.75,100.75,100.3,100.65,19795
RU000A10B487,D,170425,000000,100.75,100.75,100.21,100.69,7499
RU000A10B487,D,180425,000000,100.97,100.97,100.31,100.34,14343
RU000A10B487,D,210425,000000,100.86,100.86,100.21,100.69,43810
RU000A10B487,D,220425,000000,100.87,100.96,100.3,100.78,27034
RU000A10B487,D,230425,000000,100.97,100.97,100.3,100.75,21629
RU000A10B487,D,240425,000000,100.8,100.8,100.57,100.78,11605
RU000A10B487,D,250425,000000,100.8,100.88,100.5,100.85,35076
RU000A10B487,D,280425,000000,100.87,100.97,100.71,100.95,16478
RU000A10B487,D,290425,000000,100.9,101.3,100.52,101,35381
RU000A10B487,D,300425,000000,100.67,101.28,100.67,101.25,8614
RU000A10B487,D,020525,000000,105,105,101.15,101.15,1884
RU000A10B487,D,050525,000000,101.15,101.8,100.78,100.94,10593
RU000A10B487,D,060525,000000,101.22,101.22,100.52,101.08,20133
RU000A10B487,D,070525,000000,101.21,101.73,100.9,101,5331
RU000A10B487,D,080525,000000,101.08,101.49,100.99,100.99,2149
RU000A10B487,D,120525,000000,101.73,101.73,100.9,101.47,17706
RU000A10B487,D,130525,000000,101.75,101.75,101.21,101.66,213372
RU000A10B487,D,140525,000000,101.75,101.75,101.25,101.35,2987
RU000A10B487,D,150525,000000,101.79,102.7,101.24,101.66,64341
RU000A10B487,D,160525,000000,102,102,101.18,101.4,18165
RU000A10B487,D,190525,000000,101.49,102.3,101,101.95,14662
RU000A10B487,D,200525,000000,101.38,101.72,101.14,101.27,17409
RU000A10B487,D,210525,000000,101.27,101.6,101.2,101.4,10733
RU000A10B487,D,220525,000000,101.9,101.9,101.1,101.41,4833
RU000A10B487,D,230525,000000,101.41,101.5,101.39,101.39,5207
RU000A10B487,D,260525,000000,101.9,101.9,101.22,101.43,21647
RU000A10B487,D,270525,000000,101.66,101.67,101.12,101.66,63249
RU000A10B487,D,280525,000000,101.66,101.96,101.25,101.94,40124
RU000A10B487,D,290525,000000,101.88,102.71,101.2,102.38,22584
RU000A10B487,D,300525,000000,101.67,102.8,101.51,102.5,22147
RU000A10B487,D,020625,000000,102.63,102.63,101.75,101.91,86400
RU000A10B487,D,030625,000000,102.63,102.9,101.52,102.5,72471
RU000A10B487,D,040625,000000,102.69,102.74,101.9,102.5,30640
RU000A10B487,D,050625,000000,102.8,102.8,102,102.75,119212
RU000A10B487,D,060625,000000,102.89,103.5,101.94,103.48,7363
RU000A10B487,D,090625,000000,103.82,103.82,102,103,8692
RU000A10B487,D,100625,000000,103.3,103.5,102.45,103.3,8088
RU000A10B487,D,110625,000000,105,105,102.7,103.3,5751
RU000A10B487,D,130625,000000,104.86,104.86,102.49,103,1366
RU000A10B487,D,160625,000000,103.01,103.3,103,103.3,4334
RU000A10B487,D,170625,000000,103.39,103.7,103.02,103.4,12584
RU000A10B487,D,180625,000000,105,105,103,103.55,10141
RU000A10B487,D,190625,000000,103.55,103.6,103.1,103.55,9310
RU000A10B487,D,200625,000000,103.4,103.6,103.15,103.58,78950
RU000A10B487,D,230625,000000,103.58,103.58,102.76,103,10329
RU000A10B487,D,240625,000000,103.62,103.62,102.8,103.5,8361
RU000A10B487,D,250625,000000,103.49,103.6,103.11,103.5,32203
RU000A10B487,D,260625,000000,103.6,103.6,102.8,103.39,13581
RU000A10B487,D,270625,000000,103.53,103.54,102.79,103.29,20571
RU000A10B487,D,300625,000000,103.55,103.56,102.65,103.51,2434
RU000A10B487,D,010725,000000,103.54,103.6,103,103.21,25140
RU000A10B487,D,020725,000000,103.62,103.88,103.25,103.88,71034
RU000A10B487,D,030725,000000,103.8,103.81,103.26,103.79,13849
RU000A10B487,D,040725,000000,103.71,104,103.35,103.98,3602
RU000A10B487,D,070725,000000,104,104,103.29,103.55,7297
RU000A10B487,D,080725,000000,103.41,104,103.41,103.99,16325
RU000A10B487,D,090725,000000,104.25,104.25,103.45,103.6,10415
RU000A10B487,D,100725,000000,104.25,105,103.62,104.42,24537
RU000A10B487,D,110725,000000,104.42,105,103.81,104.39,7386
RU000A10B487,D,140725,000000,104.99,105,103.47,104.7,3633
RU000A10B487,D,150725,000000,104.99,105,103.81,104.98,3133
