<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B1Q6,D,100325,000000,101.55,102,100.01,100.8,42650
RU000A10B1Q6,D,110325,000000,100.98,101,100.4,100.55,44969
RU000A10B1Q6,D,120325,000000,100.94,100.95,100.3,100.55,19444
RU000A10B1Q6,D,130325,000000,100.54,100.55,100.3,100.38,15098
RU000A10B1Q6,D,140325,000000,100.4,100.4,99.99,100.1,85113
RU000A10B1Q6,D,170325,000000,100.1,100.28,100,100.25,70067
RU000A10B1Q6,D,180325,000000,100.3,100.79,100.09,100.75,49014
RU000A10B1Q6,D,190325,000000,100.79,101.5,100.36,101.49,24215
RU000A10B1Q6,D,200325,000000,101.49,102.9,101.25,102.53,17232
RU000A10B1Q6,D,210325,000000,102.82,104.39,102.53,103.35,21980
RU000A10B1Q6,D,240325,000000,103.32,104.38,103.32,103.95,16161
RU000A10B1Q6,D,250325,000000,103.95,104,103.65,103.7,9819
RU000A10B1Q6,D,260325,000000,103.65,103.99,103.25,103.86,13689
RU000A10B1Q6,D,270325,000000,103.98,103.98,103.4,103.4,4904
RU000A10B1Q6,D,280325,000000,103.55,103.81,103,103.59,5192
RU000A10B1Q6,D,310325,000000,103.59,103.6,100.11,102.74,10835
RU000A10B1Q6,D,010425,000000,102.96,103.6,102.45,103.59,8269
RU000A10B1Q6,D,020425,000000,103.3,103.5,102,103.3,8220
RU000A10B1Q6,D,030425,000000,103.57,103.65,102.25,103,4757
RU000A10B1Q6,D,040425,000000,103.29,103.29,101.5,102,11846
RU000A10B1Q6,D,070425,000000,101.5,101.5,100,100.74,25640
RU000A10B1Q6,D,080425,000000,101,102.8,100.75,102.34,6590
RU000A10B1Q6,D,090425,000000,102.34,102.36,100.51,101.44,8659
RU000A10B1Q6,D,100425,000000,101.96,102.25,101.88,102.18,5130
RU000A10B1Q6,D,110425,000000,102.35,102.35,101.55,101.9,6869
RU000A10B1Q6,D,140425,000000,101.81,102.24,101.3,102.14,4350
