<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ANH6,D,220125,000000,100.48,100.6,99.84,99.98,1021694
RU000A10ANH6,D,230125,000000,99.99,100.25,99.96,100.2,321491
RU000A10ANH6,D,240125,000000,100.2,100.4,100.08,100.4,566919
RU000A10ANH6,D,270125,000000,100.55,100.55,100.17,100.35,5682
RU000A10ANH6,D,280125,000000,100.42,100.5,100.16,100.2,27029
RU000A10ANH6,D,290125,000000,100.56,100.56,100.02,100.29,107671
RU000A10ANH6,D,300125,000000,100.57,100.57,100.2,100.35,41143
RU000A10ANH6,D,310125,000000,100.35,100.4,100.1,100.3,11980
RU000A10ANH6,D,030225,000000,100.3,100.4,100.2,100.35,45623
RU000A10ANH6,D,040225,000000,100.39,100.39,100.22,100.29,12112
RU000A10ANH6,D,050225,000000,100.29,100.34,100.1,100.28,28994
RU000A10ANH6,D,060225,000000,100.24,100.34,100.1,100.3,37255
RU000A10ANH6,D,070225,000000,100.34,100.5,100.15,100.5,35665
RU000A10ANH6,D,100225,000000,100.5,100.89,100.21,100.79,39852
RU000A10ANH6,D,110225,000000,100.88,100.9,100.5,100.84,25589
RU000A10ANH6,D,120225,000000,100.54,101,100.5,100.9,29979
RU000A10ANH6,D,130225,000000,101.35,101.5,100.51,101.5,147109
RU000A10ANH6,D,140225,000000,101.83,101.99,100.63,101.69,21815
RU000A10ANH6,D,170225,000000,101.69,101.7,101.37,101.7,11018
RU000A10ANH6,D,180225,000000,101.48,101.84,100.69,101.73,8213
RU000A10ANH6,D,190225,000000,100.9,101.73,100.9,101.43,2296
RU000A10ANH6,D,200225,000000,101.98,101.99,101,101.16,12990
RU000A10ANH6,D,210225,000000,101.15,102.64,101,101.9,60510
RU000A10ANH6,D,240225,000000,102.61,102.69,101.25,102.1,1235
RU000A10ANH6,D,250225,000000,102.44,102.44,101.26,101.66,19435
RU000A10ANH6,D,260225,000000,102.38,102.47,101.2,101.72,3972
RU000A10ANH6,D,270225,000000,102.16,102.2,101.25,102.1,2297
RU000A10ANH6,D,280225,000000,102.1,102.4,101.29,102.4,4697
RU000A10ANH6,D,030325,000000,102.38,102.38,101.02,102.06,11773
RU000A10ANH6,D,040325,000000,102.06,102.06,101.13,101.61,11721
RU000A10ANH6,D,050325,000000,101.95,102.25,101.6,102.24,1565
RU000A10ANH6,D,060325,000000,102.24,102.69,102,102.6,3596
RU000A10ANH6,D,070325,000000,102.59,102.7,102.35,102.36,7827
RU000A10ANH6,D,100325,000000,102.96,102.96,102.39,102.7,3328
RU000A10ANH6,D,110325,000000,102.37,103.5,102.35,102.39,1407
RU000A10ANH6,D,120325,000000,102.39,102.69,101.81,102.55,1747
RU000A10ANH6,D,130325,000000,102.45,102.7,101.89,102.11,6167
RU000A10ANH6,D,140325,000000,102.11,103.44,102.11,102.7,18977
RU000A10ANH6,D,170325,000000,102.7,102.7,102.21,102.27,6001
RU000A10ANH6,D,180325,000000,102.21,102.7,101.63,102.69,26196
RU000A10ANH6,D,190325,000000,103.43,103.43,102.3,102.59,4282
RU000A10ANH6,D,200325,000000,103.39,103.39,102.01,102.5,1221
RU000A10ANH6,D,210325,000000,102.5,102.7,101.82,102.31,3732
RU000A10ANH6,D,240325,000000,101.99,102.15,101.65,101.68,19040
RU000A10ANH6,D,250325,000000,101.9,102.57,101.65,102.57,13095
RU000A10ANH6,D,260325,000000,102.57,103.39,101.65,102.05,38174
RU000A10ANH6,D,270325,000000,102.65,102.65,101.47,101.7,38107
RU000A10ANH6,D,280325,000000,101.94,102,101.45,101.79,9362
RU000A10ANH6,D,310325,000000,101.28,102.94,101.01,102.02,461
RU000A10ANH6,D,010425,000000,102.56,102.58,101.2,101.52,5951
RU000A10ANH6,D,020425,000000,101.01,101.54,99.99,101.34,10567
RU000A10ANH6,D,030425,000000,101.3,101.67,101,101.22,9765
RU000A10ANH6,D,040425,000000,101.49,101.75,101.25,101.25,358
