<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ATS0,D,070225,000000,101,101,100.04,100.09,79467
RU000A10ATS0,D,100225,000000,100.1,100.27,100,100.06,136260
RU000A10ATS0,D,110225,000000,100.07,100.3,100.06,100.3,99569
RU000A10ATS0,D,120225,000000,100.36,100.84,100.2,100.66,69375
RU000A10ATS0,D,130225,000000,101.04,101.75,100.9,101.35,58112
RU000A10ATS0,D,140225,000000,101.55,101.8,101.29,101.5,73099
RU000A10ATS0,D,170225,000000,101.49,101.5,100.64,101.42,80923
RU000A10ATS0,D,180225,000000,101.76,101.76,101.03,101.74,34440
RU000A10ATS0,D,190225,000000,101.74,101.98,101.15,101.68,22569
RU000A10ATS0,D,200225,000000,101.6,101.99,101.5,101.88,32792
RU000A10ATS0,D,210225,000000,101.8,102.69,101.76,102.69,45688
RU000A10ATS0,D,240225,000000,102.71,103.45,102.69,103.4,34063
RU000A10ATS0,D,250225,000000,103.44,104.28,102.94,104.16,27226
RU000A10ATS0,D,260225,000000,104.2,105.84,103.9,104.85,19377
RU000A10ATS0,D,270225,000000,105.17,105.39,104.52,105.35,14361
RU000A10ATS0,D,280225,000000,105.37,106.08,104.8,106.06,19315
RU000A10ATS0,D,030325,000000,106.6,109.97,106.08,106.99,18120
RU000A10ATS0,D,040325,000000,107.3,108.52,106.99,108.13,14173
RU000A10ATS0,D,050325,000000,108.28,108.8,107.41,108.75,15577
RU000A10ATS0,D,060325,000000,108.75,109.69,108.1,109.6,10808
RU000A10ATS0,D,070325,000000,109.64,109.87,108.5,109.49,10396
RU000A10ATS0,D,100325,000000,109.76,117.79,109.2,111.12,17944
RU000A10ATS0,D,110325,000000,111.5,111.99,108.8,110.69,10506
RU000A10ATS0,D,120325,000000,109.92,111.5,108.86,110,12484
RU000A10ATS0,D,130325,000000,110,110.66,108.82,109.29,8555
RU000A10ATS0,D,140325,000000,109.94,110.85,109.32,110.79,11255
RU000A10ATS0,D,170325,000000,111.29,112.37,110,112.37,29567
RU000A10ATS0,D,180325,000000,112.39,113.99,111.41,111.95,16166
RU000A10ATS0,D,190325,000000,112.88,112.88,111.51,112.3,18334
RU000A10ATS0,D,200325,000000,112.38,112.94,112.07,112.94,13047
RU000A10ATS0,D,210325,000000,113.96,116.15,112.53,115.15,19590
RU000A10ATS0,D,240325,000000,115,115,112.32,114.55,4920
RU000A10ATS0,D,250325,000000,114.79,115.89,113.53,115.33,44356
RU000A10ATS0,D,260325,000000,115.34,115.9,113.2,114.5,4440
RU000A10ATS0,D,270325,000000,114.47,114.5,110.8,112.07,6020
RU000A10ATS0,D,280325,000000,112,112.82,111.5,112.58,6699
RU000A10ATS0,D,310325,000000,114.32,114.32,111.81,113.52,6855
RU000A10ATS0,D,010425,000000,113.51,113.93,112.22,113,5279
RU000A10ATS0,D,020425,000000,113,113.98,112.42,113.6,8867
RU000A10ATS0,D,030425,000000,113.9,114.99,113,113.22,9613
RU000A10ATS0,D,040425,000000,113.22,113.72,112.71,113.27,18693
RU000A10ATS0,D,070425,000000,113,113.27,107.79,108.9,19116
RU000A10ATS0,D,080425,000000,109.02,112.24,108.9,110.49,8021
RU000A10ATS0,D,090425,000000,109.2,110,107.34,108.44,9790
RU000A10ATS0,D,100425,000000,108.53,109.95,108.15,109.4,3478
RU000A10ATS0,D,110425,000000,109.4,110.95,108.54,109.93,4618
RU000A10ATS0,D,140425,000000,109.93,109.99,107.41,109,5245
RU000A10ATS0,D,150425,000000,109.01,110.98,108.68,110.75,4635
RU000A10ATS0,D,160425,000000,110.97,110.98,108.11,110.18,4823
RU000A10ATS0,D,170425,000000,110.16,111,108.64,110.36,4620
RU000A10ATS0,D,180425,000000,110.96,111.08,109.2,111.08,2055
RU000A10ATS0,D,210425,000000,110.01,111.78,109.2,110.73,2381
RU000A10ATS0,D,220425,000000,111.4,111.4,110.79,111.1,1896
RU000A10ATS0,D,230425,000000,110.83,111.53,109.7,110.58,3659
RU000A10ATS0,D,240425,000000,111.09,111.98,110.61,111.51,1982
RU000A10ATS0,D,250425,000000,111.61,111.67,111.2,111.6,2706
RU000A10ATS0,D,280425,000000,111.6,112.5,111.02,112.14,4910
RU000A10ATS0,D,290425,000000,112.11,112.17,110.9,111.83,3416
RU000A10ATS0,D,300425,000000,111.82,112.82,111.26,111.94,1964
RU000A10ATS0,D,020525,000000,111.95,112.94,111.5,111.95,2649
RU000A10ATS0,D,050525,000000,112.5,112.5,111.01,111.98,4730
RU000A10ATS0,D,060525,000000,112.79,112.79,111.37,111.6,1841
RU000A10ATS0,D,070525,000000,111.37,113.26,111.37,112.68,3865
RU000A10ATS0,D,080525,000000,112.68,113.18,111.56,112.86,4802
RU000A10ATS0,D,120525,000000,113.16,113.16,110.71,111.85,10011
RU000A10ATS0,D,130525,000000,111.84,112.45,110.95,112.44,8469
RU000A10ATS0,D,140525,000000,112.45,112.98,111.09,112.89,2274
RU000A10ATS0,D,150525,000000,112.97,112.97,111.99,112.95,1904
RU000A10ATS0,D,160525,000000,112.95,112.95,111.76,111.97,3849
RU000A10ATS0,D,190525,000000,112,112,111.25,111.85,6241
RU000A10ATS0,D,200525,000000,111.97,111.98,111.06,111.12,5333
RU000A10ATS0,D,210525,000000,111.15,111.86,110.87,111,4383
RU000A10ATS0,D,220525,000000,111.01,111.77,110,110.8,1640
RU000A10ATS0,D,230525,000000,110.69,111.86,109.73,111.83,2618
RU000A10ATS0,D,260525,000000,111.87,111.97,110.65,111.5,6269
RU000A10ATS0,D,270525,000000,111.49,111.75,110.61,111.4,3015
RU000A10ATS0,D,280525,000000,111.74,111.98,110.52,111.5,5006
RU000A10ATS0,D,290525,000000,111.51,111.92,108.1,109.8,5756
RU000A10ATS0,D,300525,000000,111.32,111.32,109.3,110.8,4731
RU000A10ATS0,D,020625,000000,110.99,112,110.55,111.66,27912
