<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AP21,D,270125,000000,100.1,100.1,99.9,99.95,1392293
RU000A10AP21,D,280125,000000,100,100,99.89,99.95,524890
RU000A10AP21,D,290125,000000,99.95,100.05,99.95,100.05,67720
RU000A10AP21,D,300125,000000,99.99,100.88,99.9,100.5,163649
RU000A10AP21,D,310125,000000,100.7,101.51,100.3,100.4,50269
RU000A10AP21,D,030225,000000,100.4,101.24,100.29,100.3,29261
RU000A10AP21,D,040225,000000,100.4,101.1,100.25,100.3,37330
RU000A10AP21,D,050225,000000,100.9,100.9,100,100.1,198400
RU000A10AP21,D,060225,000000,100.3,100.3,100.1,100.2,28994
RU000A10AP21,D,070225,000000,100.18,100.62,100.12,100.62,153737
RU000A10AP21,D,100225,000000,100.88,101.25,100.25,100.7,26283
RU000A10AP21,D,110225,000000,100.7,101.24,100.3,100.9,167014
RU000A10AP21,D,120225,000000,101.25,102.2,100.5,101.35,8378
RU000A10AP21,D,130225,000000,101.35,101.98,101.27,101.94,40676
RU000A10AP21,D,140225,000000,101.94,102.49,100.74,101.57,66962
RU000A10AP21,D,170225,000000,102,102.48,100.8,101.01,13597
RU000A10AP21,D,180225,000000,101.59,102.47,100.9,101.48,20362
RU000A10AP21,D,190225,000000,101.57,101.98,100.9,101.17,13174
RU000A10AP21,D,200225,000000,101.35,101.93,100.51,101.21,74354
RU000A10AP21,D,210225,000000,101.58,101.58,101.17,101.4,254761
RU000A10AP21,D,240225,000000,101.55,102.1,101.4,101.55,17637
RU000A10AP21,D,250225,000000,101.58,101.78,101.51,101.59,40293
RU000A10AP21,D,260225,000000,101.59,101.77,101.5,101.73,25646
RU000A10AP21,D,270225,000000,101.73,101.98,101.35,101.6,26665
RU000A10AP21,D,280225,000000,101.7,102.41,101.42,101.99,12152
RU000A10AP21,D,030325,000000,102.9,102.9,101.62,102.01,15871
RU000A10AP21,D,040325,000000,102.43,102.43,101.61,101.96,854
RU000A10AP21,D,050325,000000,101.96,102.75,101.65,102.57,42967
RU000A10AP21,D,060325,000000,102.55,102.65,101.7,102.05,5796
RU000A10AP21,D,070325,000000,102.06,102.89,101.59,102.14,47838
RU000A10AP21,D,100325,000000,102.14,104.62,101.7,102.08,123344
RU000A10AP21,D,110325,000000,102.1,104,102,102.2,5086
RU000A10AP21,D,120325,000000,102.8,102.95,101.99,102.2,13470
RU000A10AP21,D,130325,000000,102.49,102.54,102.1,102.1,772
RU000A10AP21,D,140325,000000,103.99,103.99,101.81,102.02,24145
RU000A10AP21,D,170325,000000,102.02,103.99,101.61,103.29,3663
RU000A10AP21,D,180325,000000,103.34,103.34,102,102.24,181440
RU000A10AP21,D,190325,000000,103,103,102.03,102.44,1499
RU000A10AP21,D,200325,000000,102.82,103.98,102.01,102.47,21735
RU000A10AP21,D,210325,000000,102.47,102.98,102.02,102.6,22086
RU000A10AP21,D,240325,000000,102.6,104.48,102.03,102.68,20749
RU000A10AP21,D,250325,000000,102.75,102.9,102.4,102.65,3987
RU000A10AP21,D,260325,000000,102.74,103.49,102.22,102.5,15286
RU000A10AP21,D,270325,000000,102.73,103.25,102.15,102.5,11694
RU000A10AP21,D,280325,000000,102.5,102.75,102,102.1,73027
RU000A10AP21,D,310325,000000,102.4,102.9,102,102.36,2470
RU000A10AP21,D,010425,000000,102.91,102.91,102.01,102.4,25961
RU000A10AP21,D,020425,000000,102.4,102.78,102.25,102.44,2783
RU000A10AP21,D,030425,000000,102.7,102.73,102.29,102.43,3566
RU000A10AP21,D,040425,000000,102.6,102.87,101.9,102.31,3613
RU000A10AP21,D,070425,000000,102.31,102.31,100.1,100.64,8222
RU000A10AP21,D,080425,000000,102.39,102.39,100.67,101.92,658
RU000A10AP21,D,090425,000000,102.25,102.25,100.18,100.73,1510
RU000A10AP21,D,100425,000000,102.85,102.85,100.74,101.99,1219
RU000A10AP21,D,110425,000000,101.99,102.89,101,102.42,1289
