<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AT27,D,280225,000000,101,101,100.1,100.5,100556
RU000A10AT27,D,030325,000000,102,102,100.48,100.48,6997
RU000A10AT27,D,040325,000000,102,104,100.65,100.86,4260
RU000A10AT27,D,050325,000000,101,101,100.55,100.69,191541
RU000A10AT27,D,060325,000000,101,102,100.5,102,159293
RU000A10AT27,D,070325,000000,102,102.5,101.54,102.5,5312
RU000A10AT27,D,100325,000000,102.5,102.5,101.6,102.5,4055
RU000A10AT27,D,110325,000000,102.5,104,101.98,103,1981
RU000A10AT27,D,120325,000000,103,105.05,102.71,103.83,814
RU000A10AT27,D,130325,000000,103.99,103.99,102.65,102.7,555
RU000A10AT27,D,140325,000000,103.84,103.84,102.45,103,693
RU000A10AT27,D,170325,000000,103,104.99,101.96,104.68,143372
RU000A10AT27,D,180325,000000,105,105,103,104.1,28409
RU000A10AT27,D,190325,000000,104.98,104.99,102.85,104.01,4890
RU000A10AT27,D,200325,000000,104.01,104.6,103.03,104.49,12346
RU000A10AT27,D,210325,000000,106,106,103.75,104,6014
RU000A10AT27,D,240325,000000,104,104.4,103.75,104,8111
RU000A10AT27,D,250325,000000,104.3,104.64,103.89,103.89,16861
RU000A10AT27,D,260325,000000,103.75,104.5,103.75,104,84589
RU000A10AT27,D,270325,000000,103.87,104,103.17,103.99,8725
RU000A10AT27,D,280325,000000,104.39,104.39,103.2,103.84,1611
RU000A10AT27,D,310325,000000,104.95,104.95,103.84,103.98,334
RU000A10AT27,D,010425,000000,104.85,104.85,103.5,103.85,969
RU000A10AT27,D,020425,000000,104.39,104.39,103.5,103.97,1101
RU000A10AT27,D,030425,000000,104.28,104.28,103.5,104.06,431
RU000A10AT27,D,040425,000000,104.3,104.3,103.31,103.32,3694
RU000A10AT27,D,070425,000000,104.3,104.3,102.02,102.72,8770
RU000A10AT27,D,080425,000000,104.3,104.3,102.9,103.08,3205
RU000A10AT27,D,090425,000000,104.94,104.94,102.45,103.5,3939
RU000A10AT27,D,100425,000000,103.67,104,102.4,103.5,400139
RU000A10AT27,D,110425,000000,104,104,102.6,103.79,2295
RU000A10AT27,D,140425,000000,104.25,104.25,103,103,489
RU000A10AT27,D,150425,000000,103,104.2,103,104,98967
RU000A10AT27,D,160425,000000,104.25,105,102.01,103.9,3536
RU000A10AT27,D,170425,000000,103.11,104.9,103.1,104,660
RU000A10AT27,D,180425,000000,104.9,104.9,103.14,103.5,3148
RU000A10AT27,D,210425,000000,103.12,104.9,103.11,103.9,1630
RU000A10AT27,D,220425,000000,104.96,104.96,103.21,103.85,13537
RU000A10AT27,D,230425,000000,104.96,104.96,103.2,103.99,1593
RU000A10AT27,D,240425,000000,104.5,104.89,103.2,103.99,1384
RU000A10AT27,D,250425,000000,104.84,104.84,103.65,104.25,23373
RU000A10AT27,D,280425,000000,104.25,104.88,104.03,104.5,88
RU000A10AT27,D,290425,000000,104.69,104.88,103.5,104.2,292
RU000A10AT27,D,300425,000000,104.89,104.99,104.08,104.99,1617
RU000A10AT27,D,020525,000000,104.99,105,104.1,104.99,25
RU000A10AT27,D,050525,000000,105,105,103.51,103.51,314
RU000A10AT27,D,060525,000000,105,105,103.59,103.59,1055
RU000A10AT27,D,070525,000000,104.98,104.98,103.75,104.8,914
RU000A10AT27,D,080525,000000,104.79,105,103.74,104.97,242
RU000A10AT27,D,120525,000000,104.97,104.97,104,104,10043
RU000A10AT27,D,130525,000000,104.25,104.96,103.77,104.15,370
RU000A10AT27,D,140525,000000,104.15,104.98,103.5,104,2480
RU000A10AT27,D,150525,000000,103.99,104.96,103.61,104.15,2022
RU000A10AT27,D,160525,000000,104,104.91,103.51,104.91,287
RU000A10AT27,D,190525,000000,104.99,105,103.81,103.93,2063
RU000A10AT27,D,200525,000000,103.73,104.99,103.5,103.98,5902
RU000A10AT27,D,210525,000000,103.72,104.4,103.72,104.35,28228
RU000A10AT27,D,220525,000000,104.35,104.5,103.91,104.3,31
RU000A10AT27,D,230525,000000,104.4,104.5,103.91,104.48,380
RU000A10AT27,D,260525,000000,104.01,104.47,104,104.25,762
RU000A10AT27,D,270525,000000,104.89,104.89,104,104.29,10278
RU000A10AT27,D,280525,000000,104.49,104.5,104,104.11,1395
RU000A10AT27,D,290525,000000,104.49,104.5,103.92,104.43,469
RU000A10AT27,D,300525,000000,104.49,104.49,103.13,104.49,709
RU000A10AT27,D,020625,000000,103.13,105,103.13,105,1626
RU000A10AT27,D,030625,000000,105,105,104.6,105,1221
RU000A10AT27,D,040625,000000,105,105,104.71,104.99,1377
RU000A10AT27,D,050625,000000,104.99,106.98,104.81,106.8,2781
RU000A10AT27,D,060625,000000,106.6,106.79,105.58,106,25334
RU000A10AT27,D,090625,000000,106,107,104.83,106.87,348
RU000A10AT27,D,100625,000000,106.8,106.8,105.34,106.49,597
RU000A10AT27,D,110625,000000,105.31,106.6,104.82,106.48,260
RU000A10AT27,D,130625,000000,106.01,107.01,104.82,107.01,155
RU000A10AT27,D,160625,000000,107.01,108,104.81,107,110
RU000A10AT27,D,170625,000000,107,112.05,106.02,108.77,332
RU000A10AT27,D,180625,000000,112,112,106.04,106.44,9786
