<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B8R9,D,070425,000000,99.7,100,97,99.68,22019
RU000A10B8R9,D,080425,000000,99.66,100.3,99.66,99.96,79721
RU000A10B8R9,D,090425,000000,100.13,100.13,99.5,99.5,27240
RU000A10B8R9,D,100425,000000,99.8,99.85,99.55,99.79,20906
RU000A10B8R9,D,110425,000000,99.7,99.85,99.6,99.7,15807
RU000A10B8R9,D,140425,000000,99.84,99.85,99.7,99.8,29290
RU000A10B8R9,D,150425,000000,99.85,99.99,99.7,99.98,4661
RU000A10B8R9,D,160425,000000,100,100.99,99.9,100.98,6302
RU000A10B8R9,D,170425,000000,101.6,101.6,100.01,100.47,2463
RU000A10B8R9,D,180425,000000,100.47,101.39,100.4,100.68,209687
RU000A10B8R9,D,210425,000000,100.6,100.6,100.38,100.44,4643
RU000A10B8R9,D,220425,000000,100.4,100.5,100.01,100.49,13428
RU000A10B8R9,D,230425,000000,100.64,101.97,100.3,101,129217
RU000A10B8R9,D,240425,000000,100.95,100.95,100.3,100.9,5774
RU000A10B8R9,D,250425,000000,100.36,105,100.36,102.79,9307
RU000A10B8R9,D,280425,000000,103,103,100.99,101.32,8319
RU000A10B8R9,D,290425,000000,102.14,102.78,101.2,102.78,42098
RU000A10B8R9,D,300425,000000,102.78,102.78,100.9,102.4,3698
RU000A10B8R9,D,020525,000000,102.79,102.79,102.01,102.61,376
RU000A10B8R9,D,050525,000000,102.53,102.6,101.17,102.19,1427
RU000A10B8R9,D,060525,000000,102.2,102.2,101.11,102.19,3648
RU000A10B8R9,D,070525,000000,102.34,102.35,101.9,102,2107
RU000A10B8R9,D,080525,000000,102.34,102.34,101.35,102.15,876
RU000A10B8R9,D,120525,000000,102.1,102.89,102.1,102.4,1622
RU000A10B8R9,D,130525,000000,102.89,102.89,102.3,102.39,1207
RU000A10B8R9,D,140525,000000,102.2,102.85,101.03,102.78,3860
RU000A10B8R9,D,150525,000000,102.8,102.8,102.1,102.58,534
RU000A10B8R9,D,160525,000000,102.78,102.79,101.6,102.5,2395
RU000A10B8R9,D,190525,000000,102.72,102.76,102,102.5,2692
RU000A10B8R9,D,200525,000000,102.75,102.75,102.22,102.38,2654
RU000A10B8R9,D,210525,000000,102.36,102.45,102,102.42,2697
RU000A10B8R9,D,220525,000000,102.44,102.44,101.18,102.32,2743
RU000A10B8R9,D,230525,000000,102.32,102.45,102.03,102.3,3220
RU000A10B8R9,D,260525,000000,102.29,102.3,101.9,102.11,1755
RU000A10B8R9,D,270525,000000,102.11,102.29,101.6,102.19,2899
RU000A10B8R9,D,280525,000000,102.1,102.28,102.09,102.28,2925
RU000A10B8R9,D,290525,000000,102.28,102.3,102.1,102.29,2826
RU000A10B8R9,D,300525,000000,102.3,102.49,102.1,102.48,6337
RU000A10B8R9,D,020625,000000,102.49,107,101.9,103.9,3434
RU000A10B8R9,D,030625,000000,103.91,103.91,102.53,103.91,6430
RU000A10B8R9,D,040625,000000,103.9,103.91,103.07,103.91,2573
RU000A10B8R9,D,050625,000000,103.89,103.91,103.2,103.91,4189
RU000A10B8R9,D,060625,000000,103.91,103.91,103.25,103.8,5079
RU000A10B8R9,D,090625,000000,103.8,103.8,103.5,103.8,1475
RU000A10B8R9,D,100625,000000,103.8,103.8,103,103.64,1411
RU000A10B8R9,D,110625,000000,103.64,103.65,103.01,103.65,5372
RU000A10B8R9,D,130625,000000,103.65,103.65,103.01,103.63,1894
RU000A10B8R9,D,160625,000000,103.61,103.65,103.01,103.17,1615
RU000A10B8R9,D,170625,000000,103.2,103.2,103.1,103.2,6904
RU000A10B8R9,D,180625,000000,103.2,103.2,102.63,103.1,3540
RU000A10B8R9,D,190625,000000,103.19,103.2,103.13,103.2,1796
RU000A10B8R9,D,200625,000000,103.13,103.21,103,103.21,5702
RU000A10B8R9,D,230625,000000,103.21,103.21,103.1,103.19,1590
RU000A10B8R9,D,240625,000000,103.21,103.21,102.02,103.11,4009
RU000A10B8R9,D,250625,000000,103.21,103.61,102.8,103.35,10922
RU000A10B8R9,D,260625,000000,103.39,103.61,103.39,103.61,9096
RU000A10B8R9,D,270625,000000,103.61,103.85,103,103.85,10078
RU000A10B8R9,D,300625,000000,103.85,103.93,103.76,103.9,8115
RU000A10B8R9,D,010725,000000,103.93,103.93,103.71,103.93,9056
RU000A10B8R9,D,020725,000000,103.93,103.93,103.73,103.93,8003
RU000A10B8R9,D,030725,000000,103.93,105.49,103.92,105.28,20341
RU000A10B8R9,D,040725,000000,105.28,105.5,104.5,105.5,2768
RU000A10B8R9,D,070725,000000,105.5,110.5,104.5,106.99,5284
RU000A10B8R9,D,080725,000000,106.99,110,104.19,109.9,3675
RU000A10B8R9,D,090725,000000,106.88,111.11,106.87,109.32,12976
RU000A10B8R9,D,100725,000000,109.31,109.6,107.48,107.87,6994
RU000A10B8R9,D,110725,000000,107.49,108.25,107.49,108.25,13434
RU000A10B8R9,D,140725,000000,107.1,108.26,106.81,107.46,3087
RU000A10B8R9,D,150725,000000,107.48,107.5,107.14,107.5,1646
RU000A10B8R9,D,160725,000000,107.41,107.5,107.41,107.5,6423
RU000A10B8R9,D,170725,000000,107.4,108.5,107.4,108.5,2045
RU000A10B8R9,D,180725,000000,108.49,109,107.2,108.79,2766
RU000A10B8R9,D,210725,000000,108.8,109.7,106.39,108.83,9038
RU000A10B8R9,D,220725,000000,109.69,109.69,108.28,109.5,1514
RU000A10B8R9,D,230725,000000,108.31,109.99,108.31,109.43,3089
RU000A10B8R9,D,240725,000000,110.97,113,108.58,113,1930
RU000A10B8R9,D,250725,000000,112.99,112.99,108.52,108.52,2721
RU000A10B8R9,D,280725,000000,112.86,112.86,108.04,108.36,4742
RU000A10B8R9,D,290725,000000,110.52,110.52,107.5,108.12,3068
RU000A10B8R9,D,300725,000000,108.1,108.57,106.72,108,11626
RU000A10B8R9,D,310725,000000,108.07,108.07,106.32,107.51,1389
