<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B4A4,D,200325,000000,100.5,101.1,100.16,101.06,148782
RU000A10B4A4,D,210325,000000,101.48,101.89,100.85,101.81,97692
RU000A10B4A4,D,240325,000000,101.75,101.9,101.32,101.85,54241
RU000A10B4A4,D,250325,000000,101.88,101.97,101.41,101.8,77955
RU000A10B4A4,D,260325,000000,101.8,101.84,101.44,101.58,25523
RU000A10B4A4,D,270325,000000,101.6,101.65,101,101.45,56085
RU000A10B4A4,D,280325,000000,101.45,101.5,101.2,101.33,40104
RU000A10B4A4,D,310325,000000,101.36,101.45,100.4,100.99,40311
RU000A10B4A4,D,010425,000000,100.99,101.29,100.46,100.82,29808
RU000A10B4A4,D,020425,000000,101.04,101.19,100.57,100.85,19398
RU000A10B4A4,D,030425,000000,100.99,100.99,100.51,100.51,16522
RU000A10B4A4,D,040425,000000,100.68,100.72,98.7,100.45,64204
RU000A10B4A4,D,070425,000000,100,100.04,98.9,100.01,54878
RU000A10B4A4,D,080425,000000,100.18,100.88,100.01,100.12,26420
RU000A10B4A4,D,090425,000000,100.09,100.09,99.19,99.85,37251
RU000A10B4A4,D,100425,000000,100,100.19,99.8,100.15,20840
RU000A10B4A4,D,110425,000000,100.45,100.46,99.99,100.4,19191
RU000A10B4A4,D,140425,000000,100.4,100.43,100.01,100.28,11199
RU000A10B4A4,D,150425,000000,100.38,100.45,100,100.38,13342
RU000A10B4A4,D,160425,000000,100.38,100.4,100,100.27,11597
RU000A10B4A4,D,170425,000000,100.29,100.3,100.03,100.05,12944
RU000A10B4A4,D,180425,000000,100.25,100.32,99.99,100.1,20455
RU000A10B4A4,D,210425,000000,100.15,100.15,99.9,100.07,27472
RU000A10B4A4,D,220425,000000,100.09,100.12,100.01,100.08,16827
RU000A10B4A4,D,230425,000000,100.09,100.09,99.9,100.01,31081
RU000A10B4A4,D,240425,000000,100.18,100.38,100.03,100.19,14911
RU000A10B4A4,D,250425,000000,100.17,100.42,100.11,100.32,9439
RU000A10B4A4,D,280425,000000,100.34,100.57,100.13,100.45,17553
RU000A10B4A4,D,290425,000000,100.53,100.95,100.42,100.95,14537
RU000A10B4A4,D,300425,000000,100.99,101.25,100.8,101.06,11382
RU000A10B4A4,D,020525,000000,101.1,101.3,100.7,100.82,7655
RU000A10B4A4,D,050525,000000,100.9,101.43,100.71,101.23,14152
RU000A10B4A4,D,060525,000000,101.42,101.44,101.22,101.4,9129
RU000A10B4A4,D,070525,000000,101.47,101.79,101.11,101.74,10943
RU000A10B4A4,D,080525,000000,101.7,102.12,101.45,102.12,13108
RU000A10B4A4,D,120525,000000,102.12,102.32,101.83,101.98,7868
RU000A10B4A4,D,130525,000000,102,102.33,101.74,102.19,7429
RU000A10B4A4,D,140525,000000,102.31,102.79,101.86,102.3,4851
RU000A10B4A4,D,150525,000000,102.51,102.51,101.76,102.25,3652
RU000A10B4A4,D,160525,000000,102.22,102.3,101.74,101.86,6608
RU000A10B4A4,D,190525,000000,102.12,102.29,101.5,101.65,12311
RU000A10B4A4,D,200525,000000,101.99,101.99,101.38,101.57,12571
RU000A10B4A4,D,210525,000000,101.57,101.7,101.16,101.67,6699
RU000A10B4A4,D,220525,000000,101.41,101.98,101,101.57,16530
RU000A10B4A4,D,230525,000000,101.53,101.53,100.99,101.15,7649
RU000A10B4A4,D,260525,000000,101.02,101.39,100.31,101.2,17440
RU000A10B4A4,D,270525,000000,101.21,101.43,100.9,101.3,11871
RU000A10B4A4,D,280525,000000,101.31,101.42,101,101.33,6696
