<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ATB6,D,050225,000000,100.19,100.19,100,100,2758
RU000A10ATB6,D,060225,000000,99.99,100.15,99.99,100.13,16623
RU000A10ATB6,D,070225,000000,100.14,100.14,99.99,100,21850
RU000A10ATB6,D,100225,000000,100,100,99.98,100,15660
RU000A10ATB6,D,110225,000000,100,100,99.99,100,22461
RU000A10ATB6,D,120225,000000,100,100,99.99,100,19278
RU000A10ATB6,D,130225,000000,100,100,99.99,100,18433
RU000A10ATB6,D,140225,000000,100,100,99.98,100,53282
RU000A10ATB6,D,170225,000000,99.99,100,99.99,100,25735
RU000A10ATB6,D,180225,000000,100,100,99.98,100,27046
RU000A10ATB6,D,190225,000000,100,100.14,99.99,100,85049
RU000A10ATB6,D,200225,000000,100,100.17,99.99,100.08,44143
RU000A10ATB6,D,210225,000000,100.1,100.17,99.99,100.14,19445
RU000A10ATB6,D,240225,000000,100.11,100.25,100.04,100.2,9551
RU000A10ATB6,D,250225,000000,100.2,100.25,100.1,100.15,6902
RU000A10ATB6,D,260225,000000,100.22,100.23,100.01,100.18,7477
RU000A10ATB6,D,270225,000000,100.19,100.19,100.02,100.15,4737
RU000A10ATB6,D,280225,000000,100.15,100.22,100.05,100.22,8592
RU000A10ATB6,D,030325,000000,100.22,100.22,100.1,100.19,6823
RU000A10ATB6,D,040325,000000,100.2,100.24,100.12,100.21,6600
RU000A10ATB6,D,050325,000000,100.2,100.23,100.17,100.23,5277
RU000A10ATB6,D,060325,000000,100.25,100.65,100.25,100.34,7538
RU000A10ATB6,D,070325,000000,100.45,100.45,100.03,100.25,8705
RU000A10ATB6,D,100325,000000,100.3,100.43,100.15,100.36,5320
RU000A10ATB6,D,110325,000000,100.35,100.35,100.2,100.29,7261
RU000A10ATB6,D,120325,000000,100.31,100.31,100.2,100.27,9303
RU000A10ATB6,D,130325,000000,100.27,100.27,100.13,100.24,7695
RU000A10ATB6,D,140325,000000,100.21,100.35,100.08,100.16,12341
RU000A10ATB6,D,170325,000000,100.18,100.18,100.02,100.02,16029
RU000A10ATB6,D,180325,000000,100.03,100.05,99.98,100.03,11595
RU000A10ATB6,D,190325,000000,100.03,100.17,100,100.13,6753
RU000A10ATB6,D,200325,000000,100.14,100.14,99.99,100.06,7349
