<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AZG2,D,270225,000000,100,101.5,99.15,100.2,16293
RU000A10AZG2,D,280225,000000,100.25,101.47,100.24,101.17,24523
RU000A10AZG2,D,030325,000000,101.16,101.16,100.22,100.58,16177
RU000A10AZG2,D,040325,000000,100.94,100.96,100.25,100.25,11483
RU000A10AZG2,D,050325,000000,100.25,100.32,99.99,100.02,19095
RU000A10AZG2,D,060325,000000,100.02,100.39,100.01,100.05,7819
RU000A10AZG2,D,070325,000000,100.15,100.15,100,100.15,13205
RU000A10AZG2,D,100325,000000,100.27,100.45,100.17,100.25,16017
RU000A10AZG2,D,110325,000000,100.31,100.7,100.24,100.59,17646
RU000A10AZG2,D,120325,000000,100.68,100.7,100.54,100.57,5832
RU000A10AZG2,D,130325,000000,100.75,100.79,100.28,100.49,9142
RU000A10AZG2,D,140325,000000,100.73,100.85,100.01,100.35,8819
RU000A10AZG2,D,170325,000000,100.34,100.35,100.04,100.1,7160
RU000A10AZG2,D,180325,000000,100.13,100.14,100.04,100.07,9501
RU000A10AZG2,D,190325,000000,100.34,101,100.11,100.8,8185
RU000A10AZG2,D,200325,000000,101,101.5,100.8,101.46,8714
RU000A10AZG2,D,210325,000000,101.48,102.99,101.1,102.6,4762
RU000A10AZG2,D,240325,000000,102.6,102.92,101.51,102,3703
RU000A10AZG2,D,250325,000000,102.28,102.75,100,101.59,9109
RU000A10AZG2,D,260325,000000,101.01,101.19,98,100.86,12144
RU000A10AZG2,D,270325,000000,100.99,101.38,100.03,100.78,2435
RU000A10AZG2,D,280325,000000,100.99,101,100.11,100.59,4349
RU000A10AZG2,D,310325,000000,100.61,100.92,100.1,100.62,3669
RU000A10AZG2,D,010425,000000,100.6,100.78,100.09,100.61,2970
RU000A10AZG2,D,020425,000000,100.77,101,100.55,100.99,2212
RU000A10AZG2,D,030425,000000,100.97,101,100.55,100.83,3244
RU000A10AZG2,D,040425,000000,100.86,100.91,99.98,100.56,5352
RU000A10AZG2,D,070425,000000,100,100.49,99.51,100.35,7897
RU000A10AZG2,D,080425,000000,100.49,100.64,99.85,100.48,3943
RU000A10AZG2,D,090425,000000,100.47,100.47,98.61,99.97,3767
RU000A10AZG2,D,100425,000000,100,100.49,100,100.39,2170
RU000A10AZG2,D,110425,000000,100.39,100.6,100,100.52,2369
RU000A10AZG2,D,140425,000000,100.53,100.89,100.52,100.69,1477
