<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B0R6,D,060325,000000,99.2,100.18,99.2,99.65,45460
RU000A10B0R6,D,070325,000000,99.77,99.92,99.26,99.74,61880
RU000A10B0R6,D,100325,000000,99.89,99.99,99.73,99.85,39392
RU000A10B0R6,D,110325,000000,99.89,99.9,99.5,99.5,31199
RU000A10B0R6,D,120325,000000,99.82,99.89,99.4,99.5,51024
RU000A10B0R6,D,130325,000000,99.59,99.85,99.5,99.84,17031
RU000A10B0R6,D,140325,000000,99.85,100,99.83,99.99,25130
RU000A10B0R6,D,170325,000000,100,100.11,99.98,100.05,25088
RU000A10B0R6,D,180325,000000,100.07,100.12,99.97,100.07,23934
RU000A10B0R6,D,190325,000000,100.07,100.3,99.92,100.2,24443
RU000A10B0R6,D,200325,000000,100.27,100.6,100.1,100.55,24262
RU000A10B0R6,D,210325,000000,100.55,100.81,100.4,100.75,16687
RU000A10B0R6,D,240325,000000,100.79,101.38,100.56,100.85,11625
RU000A10B0R6,D,250325,000000,101,101.99,100.57,100.8,24064
RU000A10B0R6,D,260325,000000,101.37,101.4,100.6,100.9,10437
RU000A10B0R6,D,270325,000000,100.9,100.95,99.99,100.66,20398
RU000A10B0R6,D,280325,000000,100.67,101.54,100.3,100.82,23406
RU000A10B0R6,D,310325,000000,100.82,100.86,100.1,100.65,5689
RU000A10B0R6,D,010425,000000,101,101.12,100.4,100.5,11241
RU000A10B0R6,D,020425,000000,100.5,100.98,100.31,100.58,9383
RU000A10B0R6,D,030425,000000,100.3,100.5,99.5,100.07,18819
RU000A10B0R6,D,040425,000000,100.1,100.38,99.91,100.21,12008
RU000A10B0R6,D,070425,000000,100,100.05,99.51,99.95,15240
RU000A10B0R6,D,080425,000000,99.95,100.48,99.91,99.97,13738
RU000A10B0R6,D,090425,000000,100.1,100.1,99.6,99.88,9701
RU000A10B0R6,D,100425,000000,100,101.9,99.71,100,7106
RU000A10B0R6,D,110425,000000,100.49,100.49,100,100.12,5920
RU000A10B0R6,D,140425,000000,100.12,100.25,99.96,100.25,7930
RU000A10B0R6,D,150425,000000,100.3,100.48,99.98,100.31,4831
RU000A10B0R6,D,160425,000000,100.47,101.14,100.32,100.61,10704
RU000A10B0R6,D,170425,000000,100.7,101.48,100.65,100.72,5768
RU000A10B0R6,D,180425,000000,101.23,101.23,100.4,100.7,4781
RU000A10B0R6,D,210425,000000,100.7,101.33,100.6,101.19,41301
RU000A10B0R6,D,220425,000000,101.02,101.19,100.49,101.17,3717
RU000A10B0R6,D,230425,000000,101.35,101.5,100.8,101.45,6580
RU000A10B0R6,D,240425,000000,101.5,101.79,101.01,101.2,4571
RU000A10B0R6,D,250425,000000,101.2,101.74,101.03,101.72,2832
RU000A10B0R6,D,280425,000000,101.74,102,101.06,101.81,13923
RU000A10B0R6,D,290425,000000,101.8,102.74,101.13,102.1,71231
RU000A10B0R6,D,300425,000000,102.39,102.74,101.5,102.25,3988
RU000A10B0R6,D,020525,000000,102.25,103.72,102.11,102.42,4092
RU000A10B0R6,D,050525,000000,102.43,102.97,101.25,102.44,9418
RU000A10B0R6,D,060525,000000,102.44,103.99,102.29,103.02,9580
RU000A10B0R6,D,070525,000000,103.02,104.5,103.01,103.7,7046
RU000A10B0R6,D,080525,000000,103.71,103.75,102.56,103.45,1813
RU000A10B0R6,D,120525,000000,103.8,105.67,103.45,103.81,6302
RU000A10B0R6,D,130525,000000,103.99,104.2,103.01,103.49,2803
RU000A10B0R6,D,140525,000000,103.59,104.41,102.28,104.03,7569
RU000A10B0R6,D,150525,000000,103.48,103.91,103.09,103.59,2031
RU000A10B0R6,D,160525,000000,103.14,108,103.14,104.29,5009
RU000A10B0R6,D,190525,000000,104,104,103.21,103.76,2305
RU000A10B0R6,D,200525,000000,103.76,104.08,102.51,103.52,3087
RU000A10B0R6,D,210525,000000,103.76,103.76,102.51,102.65,2272
RU000A10B0R6,D,220525,000000,102.66,102.75,101.66,102.2,3543
RU000A10B0R6,D,230525,000000,102.2,102.34,100.76,101.01,4202
RU000A10B0R6,D,260525,000000,101.31,101.99,100.01,101.69,5643
RU000A10B0R6,D,270525,000000,101.69,102,100.77,101.22,5911
RU000A10B0R6,D,280525,000000,101.81,102.26,101,101.64,6131
RU000A10B0R6,D,290525,000000,101.99,101.99,100.25,101.26,4762
RU000A10B0R6,D,300525,000000,101.27,103.63,100.59,101.86,3769
RU000A10B0R6,D,020625,000000,102.71,102.71,101.07,101.73,3433
RU000A10B0R6,D,030625,000000,101.74,102.5,101.05,102.49,13353
RU000A10B0R6,D,040625,000000,102.52,102.75,102.3,102.75,4670
RU000A10B0R6,D,050625,000000,102.77,103,102.08,102.96,2668
RU000A10B0R6,D,060625,000000,102.96,103.8,101.5,102.79,7445
RU000A10B0R6,D,090625,000000,102.85,102.93,101.45,101.8,7287
RU000A10B0R6,D,100625,000000,102.21,102.74,101.83,102.62,3575
RU000A10B0R6,D,110625,000000,102.58,102.58,102,102.05,4816
RU000A10B0R6,D,130625,000000,102.07,102.41,101.73,102.2,1969
RU000A10B0R6,D,160625,000000,102.46,102.49,101.26,101.87,5034
RU000A10B0R6,D,170625,000000,102.01,102.78,101.5,101.84,5185
RU000A10B0R6,D,180625,000000,101.84,102.98,101.84,102.8,2923
RU000A10B0R6,D,190625,000000,102.93,103.23,102,102.16,4063
RU000A10B0R6,D,200625,000000,102.16,102.95,102.11,102.63,2222
RU000A10B0R6,D,230625,000000,102.51,102.88,102.11,102.67,6917
RU000A10B0R6,D,240625,000000,102.67,102.96,102.62,102.62,5925
RU000A10B0R6,D,250625,000000,102.63,103.5,102.62,103.25,1968
RU000A10B0R6,D,260625,000000,103.48,103.85,102.96,103.4,2702
RU000A10B0R6,D,270625,000000,103.39,103.39,102.1,102.51,7743
RU000A10B0R6,D,300625,000000,102.52,103.5,102.52,103.5,3142
RU000A10B0R6,D,010725,000000,103.06,103.99,102.6,103.75,2313
RU000A10B0R6,D,020725,000000,103.75,103.75,102.61,103.3,4409
RU000A10B0R6,D,030725,000000,103.37,103.98,103.2,103.98,5233
RU000A10B0R6,D,040725,000000,103.5,103.95,103.12,103.92,5591
RU000A10B0R6,D,070725,000000,103.91,103.92,102.59,103.72,8402
RU000A10B0R6,D,080725,000000,103.83,103.86,102.68,103.26,2752
RU000A10B0R6,D,090725,000000,103.78,103.85,103.26,103.39,4033
RU000A10B0R6,D,100725,000000,103.4,103.91,103.39,103.62,1951
RU000A10B0R6,D,110725,000000,103.62,104,103.6,103.79,2218
RU000A10B0R6,D,140725,000000,103.8,104.24,103.23,104.13,2835
RU000A10B0R6,D,150725,000000,104.15,104.88,103.7,104.6,8319
RU000A10B0R6,D,160725,000000,104.65,104.95,104.5,104.64,1957
RU000A10B0R6,D,170725,000000,104.64,104.65,103.14,104.29,4065
RU000A10B0R6,D,180725,000000,104.1,105.37,103.72,105.19,2338
RU000A10B0R6,D,210725,000000,105.19,105.19,102.5,104.69,6351
RU000A10B0R6,D,220725,000000,104.68,105.29,104.4,105.05,4243
RU000A10B0R6,D,230725,000000,105.05,105.22,103.78,104.63,10686
RU000A10B0R6,D,240725,000000,104.93,104.93,101.78,103.38,23680
RU000A10B0R6,D,250725,000000,103.2,104.46,103.2,104.38,8583
RU000A10B0R6,D,280725,000000,104.38,105,102.52,104.45,9477
RU000A10B0R6,D,290725,000000,104.88,104.9,104.01,104.48,3460
RU000A10B0R6,D,300725,000000,104.69,105,104,104.45,6309
RU000A10B0R6,D,310725,000000,104.31,105,104.13,104.84,4534
