<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AMY3,D,160125,000000,101.1,101.1,100,100.1,2439
RU000A10AMY3,D,170125,000000,100.1,100.1,99.99,100.1,6660
RU000A10AMY3,D,200125,000000,100.09,100.1,100.01,100.05,2725
RU000A10AMY3,D,210125,000000,100.05,100.1,100.04,100.05,1772
RU000A10AMY3,D,220125,000000,100.07,100.1,100,100.04,1580
RU000A10AMY3,D,230125,000000,100.04,100.1,100.03,100.08,1239
RU000A10AMY3,D,240125,000000,100.1,100.1,99.99,100.06,1234
RU000A10AMY3,D,270125,000000,100.29,100.39,100.01,100.11,1666
RU000A10AMY3,D,280125,000000,100.37,100.37,100.05,100.1,1192
RU000A10AMY3,D,290125,000000,100.26,100.26,100.01,100.2,876
RU000A10AMY3,D,300125,000000,100.19,100.22,100.1,100.2,941
RU000A10AMY3,D,310125,000000,100.26,100.35,100.1,100.34,903
RU000A10AMY3,D,030225,000000,100.33,100.92,100.16,100.3,1908
RU000A10AMY3,D,040225,000000,100.49,100.77,100.04,100.3,990
RU000A10AMY3,D,050225,000000,100.53,100.75,100.15,100.35,1217
RU000A10AMY3,D,060225,000000,100.72,100.72,100.25,100.41,561
RU000A10AMY3,D,070225,000000,100.73,100.93,100.1,100.61,681
RU000A10AMY3,D,100225,000000,100.57,100.88,100.06,100.86,480
RU000A10AMY3,D,110225,000000,100.94,101.69,100.16,101.69,538
RU000A10AMY3,D,120225,000000,101.68,101.9,101.58,101.8,557
RU000A10AMY3,D,130225,000000,101.8,102.95,100.14,102.85,365
RU000A10AMY3,D,140225,000000,102.85,107.39,101.7,105.48,693
RU000A10AMY3,D,170225,000000,105.49,106.9,104.93,106.65,920
RU000A10AMY3,D,180225,000000,106.66,107.7,105.5,105.99,724
RU000A10AMY3,D,190225,000000,105.98,109,101.03,105.25,3111
RU000A10AMY3,D,200225,000000,105.76,106.57,105,105.33,521
RU000A10AMY3,D,210225,000000,107.87,107.87,105.12,105.37,141
RU000A10AMY3,D,240225,000000,105.37,105.37,103.58,104.75,373
RU000A10AMY3,D,250225,000000,105.51,105.51,103.61,104.07,310
RU000A10AMY3,D,260225,000000,103.92,105.38,103.92,104.21,552
RU000A10AMY3,D,270225,000000,104.43,104.45,102.2,103.86,1628
RU000A10AMY3,D,280225,000000,104.97,104.97,103.07,103.57,257
RU000A10AMY3,D,030325,000000,103.65,104.1,103.48,103.75,2641
RU000A10AMY3,D,040325,000000,103.76,104.12,103.09,103.83,1035
RU000A10AMY3,D,050325,000000,103.03,104,103.03,103.98,629
RU000A10AMY3,D,060325,000000,105.49,105.49,102,103.71,1214
RU000A10AMY3,D,070325,000000,103.84,103.86,103.26,103.79,760
RU000A10AMY3,D,100325,000000,103.82,103.82,103.03,103.78,700
RU000A10AMY3,D,110325,000000,105.66,105.66,103.78,104,270
RU000A10AMY3,D,120325,000000,104,104.5,103.47,104.02,378
RU000A10AMY3,D,130325,000000,104.02,104.02,103.67,103.99,786
RU000A10AMY3,D,140325,000000,104.47,104.47,103.8,103.92,426
RU000A10AMY3,D,170325,000000,103.99,103.99,101.05,103.15,2496
RU000A10AMY3,D,180325,000000,103.15,103.6,102.94,103.6,572
RU000A10AMY3,D,190325,000000,104.49,104.5,104.01,104.35,545
RU000A10AMY3,D,200325,000000,104.49,104.49,102.25,104.02,592
RU000A10AMY3,D,210325,000000,103.53,103.85,102.61,103.85,347
RU000A10AMY3,D,240325,000000,104.49,104.49,103.22,103.7,411
RU000A10AMY3,D,250325,000000,103.73,103.73,102.13,103,813
RU000A10AMY3,D,260325,000000,102.99,103.75,102.9,103,358
RU000A10AMY3,D,270325,000000,103.75,104.45,102.5,103.4,366
RU000A10AMY3,D,280325,000000,104.48,104.48,102.51,103.38,521
RU000A10AMY3,D,310325,000000,103.92,103.92,100.96,102.44,764
RU000A10AMY3,D,010425,000000,102.66,103.55,101.51,102.49,438
RU000A10AMY3,D,020425,000000,102.26,102.79,102.18,102.4,421
RU000A10AMY3,D,030425,000000,102.48,102.96,102.02,102.02,586
RU000A10AMY3,D,040425,000000,103.4,103.41,101.51,102.63,489
RU000A10AMY3,D,070425,000000,101.52,102.26,99.99,101.88,1188
RU000A10AMY3,D,080425,000000,102.1,102.1,101.43,101.43,345
RU000A10AMY3,D,090425,000000,102.1,102.73,100.51,101.64,357
RU000A10AMY3,D,100425,000000,101.98,102.43,100.5,101.5,300
RU000A10AMY3,D,110425,000000,101.78,102,101.53,101.71,310
RU000A10AMY3,D,140425,000000,101.72,102.46,101.71,102.2,790
RU000A10AMY3,D,150425,000000,102.23,102.6,102,102.59,1560
RU000A10AMY3,D,160425,000000,102.59,102.61,102.01,102.55,553
RU000A10AMY3,D,170425,000000,102.55,102.55,101.2,102.2,1022
RU000A10AMY3,D,180425,000000,102.49,102.63,101.26,102.59,427
RU000A10AMY3,D,210425,000000,102.63,102.98,102.07,102.09,1159
RU000A10AMY3,D,220425,000000,102.09,102.97,102.07,102.8,227
RU000A10AMY3,D,230425,000000,102.94,103.39,102.86,103,211
RU000A10AMY3,D,240425,000000,103.29,103.29,102.12,102.92,108
RU000A10AMY3,D,250425,000000,103.14,103.41,102.1,103.25,863
RU000A10AMY3,D,280425,000000,103.3,104.93,101.28,103.9,808
RU000A10AMY3,D,290425,000000,103.91,104.55,103.9,104.02,155
RU000A10AMY3,D,300425,000000,102.98,104.11,102.98,103.53,131
RU000A10AMY3,D,020525,000000,104.79,105.17,104.25,104.91,198
RU000A10AMY3,D,050525,000000,105.17,106.84,103.74,104.95,890
RU000A10AMY3,D,060525,000000,106.79,106.79,104.35,104.89,221
RU000A10AMY3,D,070525,000000,105,107.87,104.04,105.94,354
RU000A10AMY3,D,080525,000000,105.49,105.49,103.75,105.19,184
RU000A10AMY3,D,120525,000000,106.39,106.39,104.73,104.99,258
RU000A10AMY3,D,130525,000000,106.37,106.37,103.88,104.18,257
RU000A10AMY3,D,140525,000000,105.29,108.1,104.01,107.92,796
RU000A10AMY3,D,150525,000000,108.87,108.87,107.92,108.11,580
RU000A10AMY3,D,160525,000000,108.11,108.87,105.62,108.14,251
RU000A10AMY3,D,190525,000000,108.15,108.15,106.31,107.75,529
RU000A10AMY3,D,200525,000000,107.75,107.75,103,105.47,522
RU000A10AMY3,D,210525,000000,107.95,107.95,105.61,106.17,293
RU000A10AMY3,D,220525,000000,105.4,105.96,105.08,105.86,177
RU000A10AMY3,D,230525,000000,107.83,107.83,104,104.96,345
RU000A10AMY3,D,260525,000000,104.96,106.01,103.16,104.78,297
RU000A10AMY3,D,270525,000000,105.2,106.08,104.78,105.14,274
RU000A10AMY3,D,280525,000000,105.14,106.39,105.14,106.09,185
RU000A10AMY3,D,290525,000000,107.01,107.09,105,107.01,301
RU000A10AMY3,D,300525,000000,107.76,107.76,105.23,107.16,140
RU000A10AMY3,D,020625,000000,107.15,107.47,105.33,106.93,178
RU000A10AMY3,D,030625,000000,107.69,107.69,104,106.77,567
RU000A10AMY3,D,040625,000000,106.66,106.82,104.65,106,195
RU000A10AMY3,D,050625,000000,106.1,106.96,105.32,106.37,266
RU000A10AMY3,D,060625,000000,106.04,108.9,105.7,108.9,738
RU000A10AMY3,D,090625,000000,108.9,109.09,102,105.76,1304
RU000A10AMY3,D,100625,000000,108.78,108.85,105.65,108.49,286
RU000A10AMY3,D,110625,000000,108.8,108.8,106.92,108.79,402
RU000A10AMY3,D,130625,000000,108.83,109.49,108.8,109.48,101
RU000A10AMY3,D,160625,000000,109.49,109.5,107.13,107.13,567
RU000A10AMY3,D,170625,000000,106.53,106.53,100.1,103.85,2943
RU000A10AMY3,D,180625,000000,103.85,103.85,100,102,3468
RU000A10AMY3,D,190625,000000,101.51,101.99,100.17,101.79,695
RU000A10AMY3,D,200625,000000,101.79,109.48,101.21,102.66,1443
RU000A10AMY3,D,230625,000000,102.5,102.5,101.83,102.17,688
RU000A10AMY3,D,240625,000000,102.03,102.45,100.99,102.25,814
RU000A10AMY3,D,250625,000000,102,102.32,101.82,102.27,230
RU000A10AMY3,D,260625,000000,102.29,110.1,102.2,104,1688
RU000A10AMY3,D,270625,000000,105.52,105.78,103.57,103.9,349
RU000A10AMY3,D,300625,000000,104.19,106.75,102,105.29,531
RU000A10AMY3,D,010725,000000,104.61,106.78,104.56,105.15,281
RU000A10AMY3,D,020725,000000,106.95,107,104.34,104.34,307
RU000A10AMY3,D,030725,000000,105.71,106.93,104.45,106.6,666
RU000A10AMY3,D,040725,000000,106.38,108.49,106.3,108.46,402
RU000A10AMY3,D,070725,000000,105.2,107.62,105.19,106.61,352
RU000A10AMY3,D,080725,000000,107.3,107.3,106.48,106.85,187
RU000A10AMY3,D,090725,000000,106.79,106.87,106.04,106.85,213
RU000A10AMY3,D,100725,000000,106.46,106.71,105.23,105.9,799
RU000A10AMY3,D,110725,000000,106.29,107.02,103.5,105.4,702
RU000A10AMY3,D,140725,000000,105.5,106.99,104.78,105.9,618
RU000A10AMY3,D,150725,000000,105.87,108.75,105.27,107.83,1478
RU000A10AMY3,D,160725,000000,107.15,110,106.49,108.64,1986
RU000A10AMY3,D,170725,000000,108.96,108.96,105.08,108.17,1132
RU000A10AMY3,D,180725,000000,108.07,108.45,107.29,108.23,270
RU000A10AMY3,D,210725,000000,108.42,108.42,105.75,107.87,427
RU000A10AMY3,D,220725,000000,107.99,110,107.54,109.97,613
RU000A10AMY3,D,230725,000000,109.97,111,108.26,109.02,415
RU000A10AMY3,D,240725,000000,108,108.97,108,108.97,257
RU000A10AMY3,D,250725,000000,108.95,109,107.95,109,432
RU000A10AMY3,D,280725,000000,109.18,109.63,108,108.95,236
RU000A10AMY3,D,290725,000000,108.66,114.99,108.66,110.05,339
RU000A10AMY3,D,300725,000000,113.95,113.95,108.78,110.5,261
RU000A10AMY3,D,310725,000000,110.5,111.5,108.57,109.42,636
