<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B0B0,D,050325,000000,100.14,100.14,99.6,99.83,345577
RU000A10B0B0,D,060325,000000,99.83,99.98,99.7,99.9,162124
RU000A10B0B0,D,070325,000000,100.01,100.09,99.75,100.04,161916
RU000A10B0B0,D,100325,000000,100.11,100.19,99.99,100.15,82483
RU000A10B0B0,D,110325,000000,100.12,100.13,99.7,99.84,115594
RU000A10B0B0,D,120325,000000,99.97,99.98,99.5,99.8,128606
RU000A10B0B0,D,130325,000000,99.91,99.94,99.44,99.84,120233
RU000A10B0B0,D,140325,000000,99.8,100,99.7,100,40438
RU000A10B0B0,D,170325,000000,100,100.25,100,100.2,99085
RU000A10B0B0,D,180325,000000,100.22,101.01,100.02,100.62,153491
RU000A10B0B0,D,190325,000000,100.9,101.1,100.44,101.09,43848
RU000A10B0B0,D,200325,000000,101.15,101.3,100.81,100.95,113201
RU000A10B0B0,D,210325,000000,100.9,100.9,100.6,100.88,91367
RU000A10B0B0,D,240325,000000,101.21,101.23,100.7,100.9,33529
RU000A10B0B0,D,250325,000000,100.99,101,100.65,100.96,30669
RU000A10B0B0,D,260325,000000,100.9,101.41,100.7,100.95,18697
RU000A10B0B0,D,270325,000000,100.96,101,100.76,100.88,70172
RU000A10B0B0,D,280325,000000,100.92,101.14,100.82,101.07,46049
RU000A10B0B0,D,310325,000000,101.05,101.14,100.55,100.55,32784
RU000A10B0B0,D,010425,000000,101.05,101.05,100.55,100.71,39375
RU000A10B0B0,D,020425,000000,100.66,100.72,100.5,100.71,19391
RU000A10B0B0,D,030425,000000,100.75,101,100.6,100.71,17207
RU000A10B0B0,D,040425,000000,100.71,100.8,99.99,100.39,39486
RU000A10B0B0,D,070425,000000,100,100.39,99.55,100.11,64599
RU000A10B0B0,D,080425,000000,100.58,100.58,100.04,100.48,25761
RU000A10B0B0,D,090425,000000,100.13,100.36,99.71,100,25209
RU000A10B0B0,D,100425,000000,100.48,100.48,99.98,99.98,38039
RU000A10B0B0,D,110425,000000,100.24,100.38,99.98,100.02,30847
RU000A10B0B0,D,140425,000000,100.29,100.29,99.58,99.9,23083
