<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B8C1,D,040425,000000,101,102.39,99.88,100.07,30684
RU000A10B8C1,D,070425,000000,99.99,100.06,99.16,100.01,19375
RU000A10B8C1,D,080425,000000,100,100.29,99.99,100.16,6436
RU000A10B8C1,D,090425,000000,100.26,100.45,99.9,100.1,10575
RU000A10B8C1,D,100425,000000,100.1,100.49,100.03,100.44,2321
RU000A10B8C1,D,110425,000000,100.43,100.44,100.12,100.4,4155
RU000A10B8C1,D,140425,000000,100.44,100.44,100.31,100.33,1503
RU000A10B8C1,D,150425,000000,100.36,100.36,100.04,100.33,2612
RU000A10B8C1,D,160425,000000,100.16,100.37,100.05,100.35,1631
RU000A10B8C1,D,170425,000000,100.37,100.61,100.35,100.45,1473
RU000A10B8C1,D,180425,000000,100.44,100.44,100.24,100.3,1849
RU000A10B8C1,D,210425,000000,100.3,100.34,100.02,100.22,4945
RU000A10B8C1,D,220425,000000,100.23,100.28,100.02,100.21,2746
RU000A10B8C1,D,230425,000000,100.23,100.5,100.06,100.5,2526
RU000A10B8C1,D,240425,000000,100.55,101.37,100.55,100.68,2291
RU000A10B8C1,D,250425,000000,100.99,100.99,100.77,100.77,3307
RU000A10B8C1,D,280425,000000,101.01,101.29,100.8,101.24,1231
RU000A10B8C1,D,290425,000000,101.26,102,101.1,101.98,996
RU000A10B8C1,D,300425,000000,101.9,102.6,101.11,102.3,1269
RU000A10B8C1,D,020525,000000,102.2,102.69,101.87,102.35,991
RU000A10B8C1,D,050525,000000,102.32,102.79,102.32,102.55,1314
RU000A10B8C1,D,060525,000000,101.62,102.62,101.62,102.48,427
RU000A10B8C1,D,070525,000000,102.46,102.63,102.01,102.62,3801
RU000A10B8C1,D,080525,000000,102.62,102.9,102.57,102.87,662
RU000A10B8C1,D,120525,000000,102.72,103.19,102.7,103.19,4632
RU000A10B8C1,D,130525,000000,103.2,103.36,102.85,103,1868
RU000A10B8C1,D,140525,000000,102.97,102.97,102.5,102.64,1565
RU000A10B8C1,D,150525,000000,102.64,102.97,102.56,102.64,1169
RU000A10B8C1,D,160525,000000,102.64,102.88,102.64,102.8,507
RU000A10B8C1,D,190525,000000,102.84,102.95,102.54,102.75,1936
RU000A10B8C1,D,200525,000000,102.76,102.93,102.24,102.68,1266
RU000A10B8C1,D,210525,000000,102.72,102.72,102.64,102.64,890
RU000A10B8C1,D,220525,000000,102.61,102.88,102.4,102.41,2227
RU000A10B8C1,D,230525,000000,102.4,102.49,102.38,102.48,750
RU000A10B8C1,D,260525,000000,102.51,102.6,102.35,102.48,671
RU000A10B8C1,D,270525,000000,102.4,102.42,102.19,102.32,1273
RU000A10B8C1,D,280525,000000,102.36,102.48,102.04,102.46,764
RU000A10B8C1,D,290525,000000,102.45,102.48,102.2,102.36,1398
RU000A10B8C1,D,300525,000000,102.32,102.48,102,102.44,2857
RU000A10B8C1,D,020625,000000,102.4,102.98,102.36,102.98,3108
RU000A10B8C1,D,030625,000000,102.99,103,102.92,102.98,1322
RU000A10B8C1,D,040625,000000,102.98,103,102.92,102.98,446
RU000A10B8C1,D,050625,000000,102.98,103.5,102.98,103.45,929
RU000A10B8C1,D,060625,000000,103.45,104.3,103.42,104,2415
RU000A10B8C1,D,090625,000000,103.9,103.9,103.05,103.5,568
RU000A10B8C1,D,100625,000000,103.53,103.53,103.05,103.49,638
RU000A10B8C1,D,110625,000000,103.49,103.73,103.45,103.49,1324
RU000A10B8C1,D,130625,000000,103.57,103.69,103.45,103.57,361
RU000A10B8C1,D,160625,000000,103.61,104.05,103.5,103.73,1166
RU000A10B8C1,D,170625,000000,103.75,103.81,103.32,103.73,835
RU000A10B8C1,D,180625,000000,103.77,103.98,103.69,103.81,676
RU000A10B8C1,D,190625,000000,103.77,103.89,103.11,103.77,1156
RU000A10B8C1,D,200625,000000,103.7,104.01,103.7,103.99,1211
RU000A10B8C1,D,230625,000000,104.05,104.28,104.05,104.2,2446
RU000A10B8C1,D,240625,000000,104.24,104.24,103.82,103.94,169
RU000A10B8C1,D,250625,000000,103.86,104.06,103.82,103.94,257
RU000A10B8C1,D,260625,000000,103.9,103.94,103.62,103.78,552
RU000A10B8C1,D,270625,000000,103.75,104.18,103.66,103.85,737
RU000A10B8C1,D,300625,000000,103.9,104,103.87,103.89,1578
RU000A10B8C1,D,010725,000000,103.94,103.98,103.82,103.98,510
RU000A10B8C1,D,020725,000000,103.91,103.98,103.5,103.96,926
RU000A10B8C1,D,030725,000000,103.98,104.22,103.94,103.98,1825
RU000A10B8C1,D,040725,000000,103.98,104.1,103.9,104.1,1197
RU000A10B8C1,D,070725,000000,104.06,104.43,103.94,104.06,1098
RU000A10B8C1,D,080725,000000,104.1,104.85,104.1,104.83,1755
RU000A10B8C1,D,090725,000000,104.89,104.89,104.19,104.25,1165
RU000A10B8C1,D,100725,000000,104.2,104.41,104.17,104.33,510
RU000A10B8C1,D,110725,000000,104.29,104.36,104.02,104.34,1706
RU000A10B8C1,D,140725,000000,104.34,104.4,103.77,104.1,775
RU000A10B8C1,D,150725,000000,104.16,104.16,104,104.05,1748
