<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BFP3,D,210425,000000,100.24,100.24,99.8,99.99,55566
RU000A10BFP3,D,220425,000000,99.95,100.19,99.94,100.1,93632
RU000A10BFP3,D,230425,000000,100.15,100.18,100.06,100.1,53317
RU000A10BFP3,D,240425,000000,100.1,100.14,99.8,100.05,84856
RU000A10BFP3,D,250425,000000,100.06,100.1,99.83,100.07,67592
RU000A10BFP3,D,280425,000000,100.09,101.1,99.79,99.9,74958
RU000A10BFP3,D,290425,000000,100.12,100.2,99.98,100.09,66351
RU000A10BFP3,D,300425,000000,100.19,100.34,100.1,100.15,66622
RU000A10BFP3,D,020525,000000,100.15,100.29,100.01,100.15,27632
RU000A10BFP3,D,050525,000000,100.27,100.33,100.02,100.28,38162
RU000A10BFP3,D,060525,000000,100.29,100.75,100.2,100.38,30880
RU000A10BFP3,D,070525,000000,100.5,100.92,100.38,100.89,36237
RU000A10BFP3,D,080525,000000,100.9,100.92,100.71,100.91,13576
RU000A10BFP3,D,120525,000000,100.92,101.8,100.91,101.5,23555
RU000A10BFP3,D,130525,000000,101.59,103,101.45,102.05,38108
RU000A10BFP3,D,140525,000000,102.39,102.39,101.5,102,16109
RU000A10BFP3,D,150525,000000,102,102,101.45,101.65,13406
RU000A10BFP3,D,160525,000000,101.68,102.25,101.45,101.6,24112
RU000A10BFP3,D,190525,000000,101.6,101.78,101.01,101.1,17968
RU000A10BFP3,D,200525,000000,101.69,101.69,101.14,101.32,13623
RU000A10BFP3,D,210525,000000,101.49,101.69,100.72,100.91,21563
RU000A10BFP3,D,220525,000000,101.3,101.3,100,100,29572
RU000A10BFP3,D,230525,000000,100.25,100.58,99.99,100,36933
RU000A10BFP3,D,260525,000000,100.1,100.5,99.87,100,50589
RU000A10BFP3,D,270525,000000,100.02,100.4,99.91,100.25,30091
RU000A10BFP3,D,280525,000000,100.3,100.5,100.1,100.45,23441
RU000A10BFP3,D,290525,000000,100.45,100.45,100.08,100.1,38659
RU000A10BFP3,D,300525,000000,100.3,100.3,99.98,100.19,37363
RU000A10BFP3,D,020625,000000,100.25,101,100.06,100.75,34918
RU000A10BFP3,D,030625,000000,100.76,100.8,100.56,100.7,28993
RU000A10BFP3,D,040625,000000,100.9,101,100.64,100.85,32761
RU000A10BFP3,D,050625,000000,100.95,102.37,100.85,102.34,13635
RU000A10BFP3,D,060625,000000,102.12,103.1,102.02,102.99,13256
RU000A10BFP3,D,090625,000000,103,103,101,102.8,9911
RU000A10BFP3,D,100625,000000,102.89,103.48,102.29,103.2,5309
RU000A10BFP3,D,110625,000000,103.46,103.7,103.1,103.2,7614
RU000A10BFP3,D,130625,000000,103.54,103.69,103.05,103.62,4530
RU000A10BFP3,D,160625,000000,103.61,103.89,102.9,103.61,6260
RU000A10BFP3,D,170625,000000,103.5,103.6,100.55,102.91,14618
RU000A10BFP3,D,180625,000000,102.8,103.95,102.4,103.1,9563
RU000A10BFP3,D,190625,000000,103.5,103.74,103.11,103.73,9976
RU000A10BFP3,D,200625,000000,103.51,104.6,103.05,104,15915
RU000A10BFP3,D,230625,000000,104,104.45,102.1,103.6,15084
RU000A10BFP3,D,240625,000000,103.6,103.95,102.55,103.8,5951
RU000A10BFP3,D,250625,000000,103.8,104.13,102.8,103.92,6890
RU000A10BFP3,D,260625,000000,103.94,104.14,103.7,104.13,9075
RU000A10BFP3,D,270625,000000,103.79,104.12,103.7,104.04,7466
RU000A10BFP3,D,300625,000000,104.01,105.09,103.9,105.05,11508
RU000A10BFP3,D,010725,000000,105.07,107.28,105.07,106.3,15921
RU000A10BFP3,D,020725,000000,106.4,107.09,106.11,106.74,7996
RU000A10BFP3,D,030725,000000,106.75,108.29,105.2,107.5,7471
RU000A10BFP3,D,040725,000000,107.88,107.88,106.32,106.72,7516
RU000A10BFP3,D,070725,000000,107.29,108,106.51,107.4,10137
RU000A10BFP3,D,080725,000000,107.45,107.86,107.43,107.81,4609
RU000A10BFP3,D,090725,000000,107.8,107.81,106.55,106.81,5169
RU000A10BFP3,D,100725,000000,106.81,107.39,104.52,106.86,6648
RU000A10BFP3,D,110725,000000,106.99,107,106.11,106.92,5635
RU000A10BFP3,D,140725,000000,106.92,107.98,106.1,107.05,6552
RU000A10BFP3,D,150725,000000,107.06,107.79,107,107.4,9870
RU000A10BFP3,D,160725,000000,107.7,108.49,107.01,107.02,11516
RU000A10BFP3,D,170725,000000,107.01,108.3,106.74,108.04,7806
RU000A10BFP3,D,180725,000000,108.03,108.5,107.1,108.5,6358
RU000A10BFP3,D,210725,000000,108.5,108.5,107.01,107.55,10532
RU000A10BFP3,D,220725,000000,107,108,106.2,108,15354
RU000A10BFP3,D,230725,000000,108.05,108.5,108,108.5,9611
RU000A10BFP3,D,240725,000000,109.49,109.95,107.5,109.8,8549
RU000A10BFP3,D,250725,000000,109.8,110.9,109.02,110.6,11408
RU000A10BFP3,D,280725,000000,110.6,110.95,109.16,109.96,8363
RU000A10BFP3,D,290725,000000,109.96,110.5,109.3,109.96,16861
RU000A10BFP3,D,300725,000000,110.48,110.5,109.98,110.38,8659
RU000A10BFP3,D,310725,000000,110.38,110.98,110.35,110.9,2915
