<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ATC4,D,060225,000000,101.9,104.48,101,104.18,137121
RU000A10ATC4,D,070225,000000,104.2,106.09,103.07,105.6,55265
RU000A10ATC4,D,100225,000000,105.6,107.45,105.6,107,20658
RU000A10ATC4,D,110225,000000,107,107.43,106.15,107.41,16003
RU000A10ATC4,D,120225,000000,107.36,108.24,107,108.21,15561
RU000A10ATC4,D,130225,000000,108.5,109.99,107.81,109.29,17425
RU000A10ATC4,D,140225,000000,109.32,110.9,108.22,108.69,12918
RU000A10ATC4,D,170225,000000,108.74,110.25,108.19,110.22,19128
RU000A10ATC4,D,180225,000000,110,110.79,109.2,110.2,8420
RU000A10ATC4,D,190225,000000,110,110.4,108.7,109.29,13800
RU000A10ATC4,D,200225,000000,109.43,110.38,109.33,110,8592
RU000A10ATC4,D,210225,000000,110.37,111.5,109.92,110.86,5741
RU000A10ATC4,D,240225,000000,111.02,112.19,110,111.81,7371
RU000A10ATC4,D,250225,000000,111.81,112.77,110.01,112.39,11713
RU000A10ATC4,D,260225,000000,112.39,112.5,111.84,112.37,8845
RU000A10ATC4,D,270225,000000,111.71,112.37,110.34,112.24,4731
RU000A10ATC4,D,280225,000000,112.35,112.7,111.71,112.29,2882
RU000A10ATC4,D,030325,000000,112.49,112.49,111.6,112.4,5024
RU000A10ATC4,D,040325,000000,112.47,112.68,111.5,112.06,10122
RU000A10ATC4,D,050325,000000,112.09,113.44,111.73,111.87,5663
RU000A10ATC4,D,060325,000000,112.63,113.49,111.8,113.01,9523
RU000A10ATC4,D,070325,000000,113.12,115.98,112.9,114.99,10850
RU000A10ATC4,D,100325,000000,115.08,115.49,110.63,114.22,10846
RU000A10ATC4,D,110325,000000,113.53,114.8,112.64,113.83,12147
RU000A10ATC4,D,120325,000000,113.84,114.63,113.2,114.44,4964
RU000A10ATC4,D,130325,000000,114.65,115.5,113.74,114.2,4748
RU000A10ATC4,D,140325,000000,114.28,115.27,113.73,114.28,4053
RU000A10ATC4,D,170325,000000,114,118,114,116.65,31508
RU000A10ATC4,D,180325,000000,117.09,118,115.5,117.98,9273
RU000A10ATC4,D,190325,000000,116.93,120,116.93,119.03,7740
RU000A10ATC4,D,200325,000000,119.31,121.05,118.57,120.97,13367
RU000A10ATC4,D,210325,000000,120.9,120.9,119.3,120.33,3694
RU000A10ATC4,D,240325,000000,120.33,120.85,118,118.83,5564
RU000A10ATC4,D,250325,000000,119.27,119.27,117.98,118.33,3556
RU000A10ATC4,D,260325,000000,118.33,120.48,118.04,119.22,6279
RU000A10ATC4,D,270325,000000,118.61,120.04,115.8,117.98,7077
RU000A10ATC4,D,280325,000000,117.5,117.5,116,116.7,3476
RU000A10ATC4,D,310325,000000,116.65,117.79,116.2,116.93,2647
RU000A10ATC4,D,010425,000000,116.93,118.29,116.35,117.87,1507
RU000A10ATC4,D,020425,000000,118.34,118.34,117.2,117.75,3391
RU000A10ATC4,D,030425,000000,118.43,118.73,116.39,117.01,4102
RU000A10ATC4,D,040425,000000,116.68,118.15,114.5,116.67,10440
RU000A10ATC4,D,070425,000000,114.68,115.97,112.27,114.99,9499
RU000A10ATC4,D,080425,000000,115.67,117.77,114.01,116.4,4232
RU000A10ATC4,D,090425,000000,114.87,116.18,112.53,113.77,7319
RU000A10ATC4,D,100425,000000,115.28,115.84,113.8,115.79,1351
RU000A10ATC4,D,110425,000000,115.79,116.6,113.85,115,1010
RU000A10ATC4,D,140425,000000,114.25,117.19,114.24,116.69,2656
RU000A10ATC4,D,150425,000000,116.7,116.7,114.7,115.81,4298
RU000A10ATC4,D,160425,000000,114.97,116.18,114.81,114.93,2278
RU000A10ATC4,D,170425,000000,115.02,115.65,114.31,115.51,2182
RU000A10ATC4,D,180425,000000,114.71,115.37,114.11,115.1,2441
RU000A10ATC4,D,210425,000000,115.03,116.69,114.41,115.14,3197
RU000A10ATC4,D,220425,000000,115.38,115.62,114.04,114.53,2967
RU000A10ATC4,D,230425,000000,115.1,115.5,114.32,115.3,1582
RU000A10ATC4,D,240425,000000,115.3,115.98,114.59,115.15,3171
RU000A10ATC4,D,250425,000000,115.99,116,115.01,115.77,1936
RU000A10ATC4,D,280425,000000,114.99,115,114.69,115,4504
RU000A10ATC4,D,290425,000000,114.98,115.96,114.98,115.35,2132
RU000A10ATC4,D,300425,000000,115.32,116.28,115.03,116.19,3641
RU000A10ATC4,D,020525,000000,115.89,117.89,115.04,116.38,2397
RU000A10ATC4,D,050525,000000,116.99,117.49,115.21,117.11,5275
RU000A10ATC4,D,060525,000000,116.98,118.72,116.5,117.6,4275
RU000A10ATC4,D,070525,000000,117.6,118.05,116.56,117.01,2319
RU000A10ATC4,D,080525,000000,118.37,118.38,117.25,117.7,823
