<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AU99,D,100225,000000,100.01,100.01,99.9,99.98,484148
RU000A10AU99,D,110225,000000,100.25,100.49,99.97,99.97,127357
RU000A10AU99,D,120225,000000,100.19,100.47,99.95,99.96,183002
RU000A10AU99,D,130225,000000,100.36,100.45,100,100.45,77892
RU000A10AU99,D,140225,000000,100.48,101,100.45,100.74,8806
RU000A10AU99,D,170225,000000,100.99,100.99,100.45,100.99,6519
RU000A10AU99,D,180225,000000,101,101.5,100.59,101.44,16087
RU000A10AU99,D,190225,000000,101.44,101.44,100.6,101.13,6977
RU000A10AU99,D,200225,000000,101.13,102,100.81,101.14,3493
RU000A10AU99,D,210225,000000,101.14,101.19,100.51,101,23223
RU000A10AU99,D,240225,000000,100.99,101.49,100.6,100.94,78071
RU000A10AU99,D,250225,000000,101.39,101.39,100.7,101.07,50170
RU000A10AU99,D,260225,000000,101.07,101.17,100.5,100.76,42862
RU000A10AU99,D,270225,000000,100.56,100.8,100.11,100.78,26563
RU000A10AU99,D,280225,000000,100.78,101.07,100.5,100.79,23781
RU000A10AU99,D,030325,000000,101.1,101.1,100.5,100.94,48927
RU000A10AU99,D,040325,000000,100.9,100.95,100.69,100.8,48321
RU000A10AU99,D,050325,000000,100.8,101.1,100.7,101.03,66212
RU000A10AU99,D,060325,000000,101.09,101.09,100.5,100.53,401378
RU000A10AU99,D,070325,000000,101.07,101.8,100.8,101.33,106384
RU000A10AU99,D,100325,000000,101.78,101.8,100.9,101.75,6143
RU000A10AU99,D,110325,000000,101.8,103,101.75,101.91,10383
RU000A10AU99,D,120325,000000,102.11,102.11,101.7,101.8,6298
RU000A10AU99,D,130325,000000,101.8,105,101.5,101.99,7701
RU000A10AU99,D,140325,000000,101.8,102.99,101.79,102.99,8899
RU000A10AU99,D,170325,000000,103.5,103.5,101.4,102.2,4025
RU000A10AU99,D,180325,000000,102.5,102.5,101.57,102.4,6944
RU000A10AU99,D,190325,000000,102.05,102.4,101.84,102.05,2339
RU000A10AU99,D,200325,000000,102.05,103.49,101.84,102.86,56081
RU000A10AU99,D,210325,000000,102.99,102.99,101.51,102.2,10908
RU000A10AU99,D,240325,000000,102.2,102.96,101.61,102.05,5630
RU000A10AU99,D,250325,000000,102.23,102.79,102.15,102.5,2662
RU000A10AU99,D,260325,000000,102.78,103.89,102.22,103.09,1563
RU000A10AU99,D,270325,000000,103.11,105.45,101.99,103.18,4542
RU000A10AU99,D,280325,000000,103.19,103.78,102.15,102.88,682
RU000A10AU99,D,310325,000000,102.91,102.91,102,102.4,5066
RU000A10AU99,D,010425,000000,104.19,104.72,102,102.46,1286
RU000A10AU99,D,020425,000000,102.49,102.49,101.53,102.19,5691
RU000A10AU99,D,030425,000000,101.05,102.45,101.05,102.4,3402
RU000A10AU99,D,040425,000000,102.44,102.45,101.5,102.2,6436
RU000A10AU99,D,070425,000000,102.3,102.3,100.5,101.65,641844
RU000A10AU99,D,080425,000000,102.2,102.39,101.33,102.15,1507
RU000A10AU99,D,090425,000000,102.14,102.45,101.49,101.99,1748
RU000A10AU99,D,100425,000000,102.43,102.44,101.62,101.83,12074
RU000A10AU99,D,110425,000000,102.4,102.45,101.49,101.77,2585
RU000A10AU99,D,140425,000000,102.3,102.3,101.51,101.97,1488
RU000A10AU99,D,150425,000000,101.97,102.51,101.49,101.7,8052
RU000A10AU99,D,160425,000000,102.27,102.27,101.5,101.5,1467
RU000A10AU99,D,170425,000000,102.28,102.28,101.4,101.92,1316
RU000A10AU99,D,180425,000000,102,102,101.43,101.67,10366
RU000A10AU99,D,210425,000000,101.85,102.8,101.49,102,33173
RU000A10AU99,D,220425,000000,102,102,101.46,101.9,1606
RU000A10AU99,D,230425,000000,101.83,105,101.6,101.7,17693
RU000A10AU99,D,240425,000000,103.96,103.96,101.43,101.7,13221
RU000A10AU99,D,250425,000000,101.93,101.95,100.75,101.84,6282
RU000A10AU99,D,280425,000000,101.67,101.72,101.49,101.72,12829
RU000A10AU99,D,290425,000000,101.8,102.32,101.72,102.04,4305
RU000A10AU99,D,300425,000000,102.65,102.65,101.68,101.99,8635
RU000A10AU99,D,020525,000000,102.49,102.64,101.56,102,1652
RU000A10AU99,D,050525,000000,101.98,102.3,101.78,102.28,2383
RU000A10AU99,D,060525,000000,102.29,102.45,101.5,101.94,5304
RU000A10AU99,D,070525,000000,101.96,102.32,100.67,101.89,1211
RU000A10AU99,D,080525,000000,101.98,102.47,101.63,102.33,1301
RU000A10AU99,D,120525,000000,102.35,102.5,101.65,101.9,2012
RU000A10AU99,D,130525,000000,102.4,102.42,101.8,102.19,1218
RU000A10AU99,D,140525,000000,102.19,102.45,101.55,101.94,3074
RU000A10AU99,D,150525,000000,102.17,102.18,100.67,101.77,2539
RU000A10AU99,D,160525,000000,100.9,101.83,100.9,101.59,2911
RU000A10AU99,D,190525,000000,102.37,102.38,101,101.79,13337
RU000A10AU99,D,200525,000000,101.7,101.78,101.5,101.65,1727
RU000A10AU99,D,210525,000000,101.64,101.65,101.48,101.64,737
RU000A10AU99,D,220525,000000,101.92,101.94,101.16,101.49,1329
RU000A10AU99,D,230525,000000,101.5,101.57,101.17,101.44,8296
RU000A10AU99,D,260525,000000,101.44,101.77,101.01,101.47,991
RU000A10AU99,D,270525,000000,101.52,101.79,101.38,101.79,8453
RU000A10AU99,D,280525,000000,101.61,102.26,101.5,101.73,5220
RU000A10AU99,D,290525,000000,101.8,102.15,101.62,101.99,963
RU000A10AU99,D,300525,000000,102.32,102.32,101.96,102.1,2527
RU000A10AU99,D,020625,000000,102.29,102.3,102.1,102.29,4629
RU000A10AU99,D,030625,000000,102.29,102.39,102.25,102.35,2435
RU000A10AU99,D,040625,000000,102.39,102.72,102.09,102.38,13695
RU000A10AU99,D,050625,000000,102.39,102.87,101.49,102.8,924
RU000A10AU99,D,060625,000000,103.44,104.51,102.49,103.22,2225
RU000A10AU99,D,090625,000000,103.98,103.98,102.76,102.98,856
RU000A10AU99,D,100625,000000,103.75,103.89,102.31,102.69,1209
RU000A10AU99,D,110625,000000,102.98,103,102.15,102.64,2244
RU000A10AU99,D,130625,000000,103,103,102.4,102.84,368
RU000A10AU99,D,160625,000000,102.83,103,102.2,102.57,906
RU000A10AU99,D,170625,000000,102.95,103,102.32,102.75,675
RU000A10AU99,D,180625,000000,102.8,102.98,102.1,102.39,3539
RU000A10AU99,D,190625,000000,102.04,102.83,102.04,102.63,794
RU000A10AU99,D,200625,000000,102.93,102.97,102.45,102.96,212
RU000A10AU99,D,230625,000000,103,103.04,102.03,102.32,861
RU000A10AU99,D,240625,000000,102.44,102.44,102,102.3,768
RU000A10AU99,D,250625,000000,102.3,102.3,101.8,102,30881
RU000A10AU99,D,260625,000000,102,102.33,101.7,102,696
RU000A10AU99,D,270625,000000,102.18,102.19,101.94,102.02,3143
RU000A10AU99,D,300625,000000,102.11,102.33,101.76,102.11,469
RU000A10AU99,D,010725,000000,102.26,102.27,101.59,102.08,861
RU000A10AU99,D,020725,000000,102.12,102.64,100.99,101.52,21929
RU000A10AU99,D,030725,000000,101.99,101.99,101.5,101.96,7012
RU000A10AU99,D,040725,000000,101.99,102.47,101.73,102.05,9674
RU000A10AU99,D,070725,000000,102.48,103.02,101.76,102.51,3628
RU000A10AU99,D,080725,000000,102.26,102.97,102.26,102.88,1250
RU000A10AU99,D,090725,000000,102.88,103,102.63,102.99,12206
RU000A10AU99,D,100725,000000,103.47,103.47,102.39,103.19,392
RU000A10AU99,D,110725,000000,103.77,103.77,102.63,103.19,1911
RU000A10AU99,D,140725,000000,103.7,103.7,102.76,103,908
RU000A10AU99,D,150725,000000,103,103.26,102.9,102.9,1457
RU000A10AU99,D,160725,000000,103.08,103.29,102.58,103.17,10073
RU000A10AU99,D,170725,000000,102.51,103.47,102.51,103.4,4446
RU000A10AU99,D,180725,000000,103.4,103.4,102.79,103.27,1373
RU000A10AU99,D,210725,000000,103.05,104.19,103.03,103.6,968
RU000A10AU99,D,220725,000000,104,106.61,103.51,103.91,2047
RU000A10AU99,D,230725,000000,103.93,105.65,103.57,103.78,10109
RU000A10AU99,D,240725,000000,103.98,103.98,103.44,103.44,3990
RU000A10AU99,D,250725,000000,103.37,103.82,101.02,102.39,2854
