<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B255,D,120325,000000,100.87,100.89,100.07,100.3,9657
RU000A10B255,D,130325,000000,100.46,101.47,100.44,101.37,5475
RU000A10B255,D,140325,000000,101.37,101.37,101.01,101.2,1274
RU000A10B255,D,170325,000000,101.1,101.3,100.8,101,3611
RU000A10B255,D,180325,000000,101.01,101.45,100.97,101.41,802
RU000A10B255,D,190325,000000,101.41,101.7,100.82,101.55,1312
RU000A10B255,D,200325,000000,101.66,101.7,101.02,101.7,772
RU000A10B255,D,210325,000000,101.58,103,101.57,102.5,2711
RU000A10B255,D,240325,000000,102.49,102.5,101.1,101.85,960
RU000A10B255,D,250325,000000,101.94,102.2,101.8,101.8,357
RU000A10B255,D,260325,000000,102.31,102.31,101.8,101.8,602
RU000A10B255,D,270325,000000,101.71,101.88,101.44,101.67,282
RU000A10B255,D,280325,000000,101.79,101.79,101,101.34,1021
RU000A10B255,D,310325,000000,101.5,101.5,100.26,100.98,755
RU000A10B255,D,010425,000000,101.39,101.39,100.6,100.92,362
RU000A10B255,D,020425,000000,100.99,100.99,100.7,100.83,545
RU000A10B255,D,030425,000000,100.83,100.89,100.5,100.51,1790
RU000A10B255,D,040425,000000,100.7,100.9,100,100.06,1594
RU000A10B255,D,070425,000000,99.99,99.99,99.72,99.93,1906
RU000A10B255,D,080425,000000,100.33,100.33,99.94,100.28,1825
RU000A10B255,D,090425,000000,100.11,100.46,100.1,100.24,316
RU000A10B255,D,100425,000000,100.24,101.22,100.24,101.05,487
RU000A10B255,D,110425,000000,101.04,101.17,101,101.07,495
RU000A10B255,D,140425,000000,101.07,101.43,101,101.4,629
RU000A10B255,D,150425,000000,101.4,101.4,98,101.1,1395
RU000A10B255,D,160425,000000,101.2,101.32,100.21,101.29,113
RU000A10B255,D,170425,000000,101.27,101.3,100.89,101.22,294
RU000A10B255,D,180425,000000,101.25,101.25,100,101.12,475
RU000A10B255,D,210425,000000,100.29,100.98,100.05,100.96,1060
RU000A10B255,D,220425,000000,100.58,100.86,100.11,100.8,343
RU000A10B255,D,230425,000000,100.82,100.84,100.52,100.84,288
RU000A10B255,D,240425,000000,100.85,101.12,100.51,101.12,605
RU000A10B255,D,250425,000000,101.12,101.27,100.62,100.9,834
RU000A10B255,D,280425,000000,101.24,101.32,100.73,101.3,664
RU000A10B255,D,290425,000000,101.32,101.32,100.7,101.31,500
RU000A10B255,D,300425,000000,101.33,102.98,101.03,102.01,1685
RU000A10B255,D,020525,000000,102.01,102.58,101.63,101.9,237
RU000A10B255,D,050525,000000,101.51,102.53,101.51,102.44,607
RU000A10B255,D,060525,000000,102.44,102.94,101.02,102.45,317
RU000A10B255,D,070525,000000,102.89,103,102.12,102.23,493
RU000A10B255,D,080525,000000,103,103.3,103,103.28,302
RU000A10B255,D,120525,000000,103.27,103.99,102.32,103.29,1563
RU000A10B255,D,130525,000000,103.64,103.64,102.5,103.16,571
RU000A10B255,D,140525,000000,103.18,103.19,102.32,103.15,153
RU000A10B255,D,150525,000000,103.22,103.25,102.3,103.25,308
RU000A10B255,D,160525,000000,103.23,103.25,102.23,103,197
RU000A10B255,D,190525,000000,103.1,103.3,102.21,103.16,364
RU000A10B255,D,200525,000000,103.19,103.68,102.7,103.49,412
RU000A10B255,D,210525,000000,103.49,103.49,102.41,103,155
RU000A10B255,D,220525,000000,102.87,102.87,102.12,102.42,143
RU000A10B255,D,230525,000000,102.46,103.07,102.46,102.97,108
RU000A10B255,D,260525,000000,102.97,102.98,102.41,102.94,113
RU000A10B255,D,270525,000000,103.18,103.59,102.94,103.45,351
RU000A10B255,D,280525,000000,103.5,103.55,103.07,103.55,122
RU000A10B255,D,290525,000000,103.58,103.59,102.51,103.54,183
RU000A10B255,D,300525,000000,102.68,103.57,102.5,103.57,609
RU000A10B255,D,020625,000000,103.59,104.8,103.26,104.8,334
RU000A10B255,D,030625,000000,104.84,104.84,104.75,104.83,259
RU000A10B255,D,040625,000000,104.82,104.89,103,103.99,233
RU000A10B255,D,050625,000000,103.99,104.88,103.99,104.88,220
RU000A10B255,D,060625,000000,104.91,104.99,104.84,104.9,124
RU000A10B255,D,090625,000000,104.85,108.7,104.85,106.97,833
RU000A10B255,D,100625,000000,108,108,106.23,106.24,149
RU000A10B255,D,110625,000000,107.05,108,105.22,107.25,223
RU000A10B255,D,130625,000000,105.3,107.89,105.3,107.87,17
RU000A10B255,D,160625,000000,105.32,107.85,105.31,106.14,414
RU000A10B255,D,170625,000000,105.35,106.93,105.25,105.89,440
RU000A10B255,D,180625,000000,104.06,106.89,104.06,104.26,589
RU000A10B255,D,190625,000000,104.01,105.5,103.11,105.19,370
RU000A10B255,D,200625,000000,104.01,105.47,104.01,105.38,376
RU000A10B255,D,230625,000000,104.04,106.08,103.87,103.92,279
RU000A10B255,D,240625,000000,103.99,105.25,103.02,104,730
RU000A10B255,D,250625,000000,104.25,104.88,103,104.74,451
RU000A10B255,D,260625,000000,104.2,105.83,104.2,104.65,157
RU000A10B255,D,270625,000000,104.56,104.76,103.03,104.65,150
RU000A10B255,D,300625,000000,104.65,105.84,104.12,104.9,90
RU000A10B255,D,010725,000000,104.9,105.93,103.2,103.2,558
RU000A10B255,D,020725,000000,104.7,105.75,103.25,105.55,282
RU000A10B255,D,030725,000000,105.55,105.55,104.5,104.9,163
RU000A10B255,D,040725,000000,104.9,105.97,103.66,104.9,90
RU000A10B255,D,070725,000000,103.33,106.98,103.21,106.98,477
RU000A10B255,D,080725,000000,106.98,108,103.47,103.53,420
RU000A10B255,D,090725,000000,106.99,107.47,104,106.8,199
RU000A10B255,D,100725,000000,104.35,107.06,104.35,105.15,691
RU000A10B255,D,110725,000000,106.98,106.99,105.32,106.99,299
RU000A10B255,D,140725,000000,107.48,107.48,105.28,106.34,105
RU000A10B255,D,150725,000000,106.34,106.79,105.94,106.64,173
RU000A10B255,D,160725,000000,106.64,106.99,105.23,106.99,386
RU000A10B255,D,170725,000000,107.48,107.48,106.04,107,80
RU000A10B255,D,180725,000000,107.38,107.93,107.25,107.31,169
RU000A10B255,D,210725,000000,107.9,107.97,106.52,107.97,397
RU000A10B255,D,220725,000000,107.99,108.99,106.54,108.91,225
RU000A10B255,D,230725,000000,108.27,108.9,108.04,108.57,150
RU000A10B255,D,240725,000000,108.57,108.57,108.12,108.49,411
RU000A10B255,D,250725,000000,108.47,110.17,106.46,110.17,1158
RU000A10B255,D,280725,000000,110,110,107.76,108.45,477
RU000A10B255,D,290725,000000,110.04,110.04,108.44,109.42,152
RU000A10B255,D,300725,000000,108.66,108.72,108.23,108.23,680
RU000A10B255,D,310725,000000,109.22,109.22,108,108.48,116
