<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B396,D,170325,000000,100.3,101.21,99.8,99.8,40189
RU000A10B396,D,180325,000000,99.95,99.99,99.46,99.56,38474
RU000A10B396,D,190325,000000,99.69,99.99,99.25,99.79,28709
RU000A10B396,D,200325,000000,99.77,99.8,99.5,99.7,14922
RU000A10B396,D,210325,000000,99.87,99.9,99.38,99.66,18045
RU000A10B396,D,240325,000000,99.66,99.97,99,99.18,32894
RU000A10B396,D,250325,000000,99.35,99.48,99.1,99.37,13064
RU000A10B396,D,260325,000000,99.26,99.35,99.1,99.31,19571
RU000A10B396,D,270325,000000,99.32,99.69,99.1,99.58,15412
RU000A10B396,D,280325,000000,99.62,99.98,99,99.22,14699
RU000A10B396,D,310325,000000,99.33,99.65,98.5,99.22,11739
RU000A10B396,D,010425,000000,99.29,99.29,98.98,99.26,9876
RU000A10B396,D,020425,000000,99.19,99.45,99,99.43,6052
RU000A10B396,D,030425,000000,99.47,99.5,99.2,99.45,8096
RU000A10B396,D,040425,000000,99.47,99.66,99,99.29,7380
RU000A10B396,D,070425,000000,99.26,99.27,96.2,97.85,18275
RU000A10B396,D,080425,000000,98,99.5,97.85,98.99,13650
RU000A10B396,D,090425,000000,99.65,99.9,96.46,98.79,10425
RU000A10B396,D,100425,000000,98.33,99.3,98.2,99.23,9012
RU000A10B396,D,110425,000000,99.23,99.35,98.6,99.16,11297
RU000A10B396,D,140425,000000,99.29,99.29,98.8,99.04,6035
RU000A10B396,D,150425,000000,99.14,99.18,98.8,99.04,11347
RU000A10B396,D,160425,000000,99.15,99.15,98.25,99.03,13152
RU000A10B396,D,170425,000000,99.01,99.13,98.85,99.09,12947
RU000A10B396,D,180425,000000,99.55,99.59,98.24,99.51,11113
RU000A10B396,D,210425,000000,99.59,99.98,99.32,99.47,12973
RU000A10B396,D,220425,000000,99.88,99.88,99.5,99.69,14042
RU000A10B396,D,230425,000000,99.77,99.79,99.5,99.78,14474
RU000A10B396,D,240425,000000,99.9,99.99,99.7,99.85,14368
RU000A10B396,D,250425,000000,99.97,100.3,99.74,99.9,31778
RU000A10B396,D,280425,000000,99.9,101,99.9,100.79,15137
RU000A10B396,D,290425,000000,100.8,100.83,100.13,100.7,8189
RU000A10B396,D,300425,000000,100.7,102.04,100.16,101.8,11841
RU000A10B396,D,020525,000000,101.74,102.48,101.01,101.32,5243
RU000A10B396,D,050525,000000,101.32,101.68,100.4,100.89,7064
RU000A10B396,D,060525,000000,100.89,101.42,100.8,100.95,4944
RU000A10B396,D,070525,000000,100.95,101.83,100.95,101.82,4578
RU000A10B396,D,080525,000000,101.39,101.91,101.39,101.88,4067
RU000A10B396,D,120525,000000,101.89,101.9,101.58,101.8,5393
RU000A10B396,D,130525,000000,101.9,102,101.6,101.6,4985
RU000A10B396,D,140525,000000,101.97,102,101.6,101.81,4970
RU000A10B396,D,150525,000000,101.82,102.44,101.62,101.65,4247
RU000A10B396,D,160525,000000,101.75,102.38,100.52,101.78,8660
RU000A10B396,D,190525,000000,101.75,101.8,101.05,101.5,7014
RU000A10B396,D,200525,000000,101.5,101.79,100.07,101.14,4269
RU000A10B396,D,210525,000000,101.39,101.39,100.5,100.6,4933
