<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ARS4,D,300125,000000,101.5,101.5,100.2,100.3,105.845
RU000A10ARS4,D,310125,000000,100.67,100.68,100.23,100.3,79.740
RU000A10ARS4,D,030225,000000,100.48,100.67,99.9,100,75.930
RU000A10ARS4,D,040225,000000,100.08,100.1,99,99.9,67.328
RU000A10ARS4,D,050225,000000,99.9,99.9,99.52,99.79,34.445
RU000A10ARS4,D,060225,000000,99.79,100.05,99.7,100.04,45.530
RU000A10ARS4,D,070225,000000,100.03,100.18,99.01,100.13,44.589
RU000A10ARS4,D,100225,000000,100.13,100.15,99.9,100,39.991
RU000A10ARS4,D,110225,000000,100.1,100.25,100,100.15,29.406
RU000A10ARS4,D,120225,000000,100.16,100.6,99.56,100.2,43.481
RU000A10ARS4,D,130225,000000,100.39,100.7,100,100.64,52.419
RU000A10ARS4,D,140225,000000,100.64,100.97,100.1,100.44,49.091
RU000A10ARS4,D,170225,000000,100.45,100.94,100.13,100.83,52.351
RU000A10ARS4,D,180225,000000,100.88,100.89,100.25,100.59,33.139
RU000A10ARS4,D,190225,000000,100.59,100.85,100.13,100.53,23.801
RU000A10ARS4,D,200225,000000,100.6,100.7,100.31,100.61,22.263
RU000A10ARS4,D,210225,000000,100.75,101,100.41,100.84,23.034
RU000A10ARS4,D,240225,000000,100.9,100.92,100.4,100.79,36.756
RU000A10ARS4,D,250225,000000,100.93,100.93,100.11,100.59,28.488
RU000A10ARS4,D,260225,000000,100.59,100.99,100.21,100.5,32.566
RU000A10ARS4,D,270225,000000,100.5,100.78,100.11,100.52,27.973
RU000A10ARS4,D,280225,000000,100.6,100.77,99.58,100,69.347
RU000A10ARS4,D,030325,000000,100.2,100.64,100,100.42,47.591
RU000A10ARS4,D,040325,000000,100.4,100.7,100,100.39,44.040
RU000A10ARS4,D,050325,000000,100.44,100.8,100.03,100.47,45.454
RU000A10ARS4,D,060325,000000,100.47,100.7,100.12,100.62,35.936
RU000A10ARS4,D,070325,000000,100.79,100.79,100.36,100.64,23.678
RU000A10ARS4,D,100325,000000,100.6,100.98,100.13,100.45,41.826
RU000A10ARS4,D,110325,000000,100.57,100.63,100.42,100.5,23.569
RU000A10ARS4,D,120325,000000,100.42,100.68,99.8,100.49,41.422
RU000A10ARS4,D,130325,000000,100.54,100.55,100.23,100.44,16.781
RU000A10ARS4,D,140325,000000,100.44,100.54,100.21,100.47,23.576
RU000A10ARS4,D,170325,000000,100.45,100.47,100.01,100.16,44.181
RU000A10ARS4,D,180325,000000,100.28,100.46,99.99,100.06,38.840
RU000A10ARS4,D,190325,000000,100.19,100.19,99,99.56,53.303
RU000A10ARS4,D,200325,000000,99.57,100,99.31,99.99,36.391
RU000A10ARS4,D,210325,000000,99.97,100.45,99.71,100.07,20.886
RU000A10ARS4,D,240325,000000,100.4,100.4,99.7,99.75,15.570
RU000A10ARS4,D,250325,000000,99.89,100.08,95.08,96.45,76.700
RU000A10ARS4,D,260325,000000,98.58,99.4,98,98.9,48.628
RU000A10ARS4,D,270325,000000,98.9,99.96,98.9,99.8,18.391
RU000A10ARS4,D,280325,000000,99.86,100,98.9,99.95,38.095
RU000A10ARS4,D,310325,000000,99.94,99.94,99,99.69,32.540
RU000A10ARS4,D,010425,000000,99.69,99.88,99.4,99.57,22.920
RU000A10ARS4,D,020425,000000,99.85,99.9,99.5,99.79,26.108
RU000A10ARS4,D,030425,000000,99.9,99.99,99.53,99.81,15.445
RU000A10ARS4,D,040425,000000,99.85,99.9,99.25,99.7,20.286
RU000A10ARS4,D,070425,000000,99.7,99.7,97.47,98.7,27.547
RU000A10ARS4,D,080425,000000,99.11,99.7,98.81,99.69,19.758
RU000A10ARS4,D,090425,000000,99.7,99.82,98.1,98.83,19.473
RU000A10ARS4,D,100425,000000,99.48,99.6,98.32,99.04,17.024
RU000A10ARS4,D,110425,000000,99.19,99.7,99,99.48,17.246
RU000A10ARS4,D,140425,000000,99.69,99.69,98.01,99.36,16.843
RU000A10ARS4,D,150425,000000,99.49,99.9,99,99.8,15.321
RU000A10ARS4,D,160425,000000,99.9,99.9,99.54,99.74,10.218
RU000A10ARS4,D,170425,000000,99.89,99.89,99.5,99.71,14.507
RU000A10ARS4,D,180425,000000,99.8,99.9,99.7,99.8,11.590
RU000A10ARS4,D,210425,000000,99.88,100.05,99.51,100.04,15.184
RU000A10ARS4,D,220425,000000,100.04,100.05,99.54,99.98,12.427
RU000A10ARS4,D,230425,000000,100.07,101,99.98,100.2,17.427
RU000A10ARS4,D,240425,000000,100.17,100.2,99.98,100.19,12.332
RU000A10ARS4,D,250425,000000,100.15,100.48,99.9,100.17,14.315
RU000A10ARS4,D,280425,000000,100.34,100.51,100.01,100.3,11.360
RU000A10ARS4,D,290425,000000,100.32,100.57,100.15,100.53,16.829
RU000A10ARS4,D,300425,000000,100.52,100.75,100,100.34,30.890
RU000A10ARS4,D,020525,000000,100.53,100.68,100.01,100.38,13.618
RU000A10ARS4,D,050525,000000,100.33,100.69,100.12,100.37,32.667
RU000A10ARS4,D,060525,000000,100.6,100.62,99.53,100.37,40.439
RU000A10ARS4,D,070525,000000,100.32,100.67,100.1,100.58,26.672
RU000A10ARS4,D,080525,000000,100.66,100.99,100.58,100.97,9.714
RU000A10ARS4,D,120525,000000,100.98,101.51,99.82,100.72,29.929
RU000A10ARS4,D,130525,000000,101,101.45,100.73,100.73,19.376
RU000A10ARS4,D,140525,000000,101.11,101.11,100.15,100.31,23.991
RU000A10ARS4,D,150525,000000,100.75,100.79,99.87,100.39,36.783
RU000A10ARS4,D,160525,000000,100.38,100.81,100.01,100.3,20.996
RU000A10ARS4,D,190525,000000,100.3,100.8,100.05,100.3,30.302
RU000A10ARS4,D,200525,000000,100.33,100.36,99.9,100.23,29.173
RU000A10ARS4,D,210525,000000,100.22,100.22,99.82,100.01,21.288
RU000A10ARS4,D,220525,000000,100,100,99.7,99.98,19.021
RU000A10ARS4,D,230525,000000,99.99,100,99.04,99.9,20.188
RU000A10ARS4,D,260525,000000,99.91,100,99.41,99.84,24.316
RU000A10ARS4,D,270525,000000,99.84,99.98,97.41,99.25,57.845
RU000A10ARS4,D,280525,000000,99.33,99.68,98,99.39,35.098
RU000A10ARS4,D,290525,000000,99.43,100.53,99.01,99.46,30.984
RU000A10ARS4,D,300525,000000,99.44,99.7,99.17,99.7,24.393
