<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B735,D,270325,000000,100.99,101,100.12,100.92,10773
RU000A10B735,D,280325,000000,100.98,101.65,100.7,100.9,5774
RU000A10B735,D,310325,000000,100.9,100.9,100.1,100.35,2865
RU000A10B735,D,010425,000000,100.39,100.44,100,100.2,5941
RU000A10B735,D,020425,000000,100.01,100.14,99.97,100.09,3816
RU000A10B735,D,030425,000000,100.03,100.09,99.99,100.09,2069
RU000A10B735,D,040425,000000,100.02,100.1,99.8,99.89,3086
RU000A10B735,D,070425,000000,100,100,99.22,99.58,2857
RU000A10B735,D,080425,000000,99.85,99.98,99.42,99.83,2478
RU000A10B735,D,090425,000000,99.8,99.97,98.53,99.7,2327
RU000A10B735,D,100425,000000,99.7,99.85,99.3,99.73,732
RU000A10B735,D,110425,000000,99.88,100.09,99.74,99.93,1308
RU000A10B735,D,140425,000000,100.07,100.1,99.4,100.09,1421
RU000A10B735,D,150425,000000,100.1,100.1,98.94,100.03,1485
RU000A10B735,D,160425,000000,100.1,100.33,99.7,100.09,2096
RU000A10B735,D,170425,000000,99.7,100.44,99.7,100.35,1345
RU000A10B735,D,180425,000000,100.28,100.42,100,100.31,381
RU000A10B735,D,210425,000000,100.44,100.44,99.9,99.9,2351
RU000A10B735,D,220425,000000,100,100.4,99.12,100.37,3428
RU000A10B735,D,230425,000000,100.37,100.4,100,100.19,488
RU000A10B735,D,240425,000000,100.25,100.33,100,100,485
RU000A10B735,D,250425,000000,100.3,100.3,100,100.11,902
RU000A10B735,D,280425,000000,100.24,100.59,99.9,100.25,3308
RU000A10B735,D,290425,000000,100.36,100.54,100.05,100.35,1443
RU000A10B735,D,300425,000000,100.35,100.36,100,100.32,941
RU000A10B735,D,020525,000000,100.34,100.6,100.12,100.6,438
RU000A10B735,D,050525,000000,100.2,100.2,100.01,100.15,1768
RU000A10B735,D,060525,000000,100.59,100.59,100.03,100.19,1826
RU000A10B735,D,070525,000000,100.19,100.45,100.19,100.45,3399
RU000A10B735,D,080525,000000,100.48,100.48,100,100.4,952
RU000A10B735,D,120525,000000,100.42,100.43,100.05,100.35,3844
RU000A10B735,D,130525,000000,100.44,100.45,100.3,100.4,1002
RU000A10B735,D,140525,000000,100.42,100.42,100.06,100.35,1039
RU000A10B735,D,150525,000000,100.35,100.4,100.24,100.32,1241
RU000A10B735,D,160525,000000,100.45,100.95,100.09,100.4,5575
RU000A10B735,D,190525,000000,100.59,100.6,100.15,100.15,2682
RU000A10B735,D,200525,000000,100.15,100.51,100.01,100.08,1367
RU000A10B735,D,210525,000000,100.3,100.38,100.02,100.08,1018
RU000A10B735,D,220525,000000,100.14,100.15,99.98,100.14,804
RU000A10B735,D,230525,000000,100.1,100.19,99.99,100.02,757
