<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AV98,D,140225,000000,101.25,101.25,99.53,99.99,894847
RU000A10AV98,D,170225,000000,100,100,99.93,99.99,574626
RU000A10AV98,D,180225,000000,100,100.48,99.93,100.41,869256
RU000A10AV98,D,190225,000000,100.3,100.5,100.02,100.4,697490
RU000A10AV98,D,200225,000000,100.5,100.5,100.27,100.49,454410
RU000A10AV98,D,210225,000000,100.5,100.79,100.36,100.59,518531
RU000A10AV98,D,240225,000000,100.88,101.48,100.6,100.8,205611
RU000A10AV98,D,250225,000000,100.8,100.99,100.3,100.7,294433
RU000A10AV98,D,260225,000000,100.97,101.25,100.51,100.88,111744
RU000A10AV98,D,270225,000000,100.79,101.26,100.55,101,356847
RU000A10AV98,D,280225,000000,101.19,101.49,100.87,101.05,118826
RU000A10AV98,D,030325,000000,101.37,101.75,100.84,101.1,91181
RU000A10AV98,D,040325,000000,101.34,101.85,101.05,101.74,159906
RU000A10AV98,D,050325,000000,101.97,102,101.74,101.87,86676
RU000A10AV98,D,060325,000000,101.98,102.5,101.7,102.4,128777
RU000A10AV98,D,070325,000000,102.5,102.89,101.76,102.65,97331
RU000A10AV98,D,100325,000000,102.88,103.66,102.45,102.51,83342
RU000A10AV98,D,110325,000000,102.79,103,101.75,102.31,127482
RU000A10AV98,D,120325,000000,102.75,103.43,101.8,102.6,43046
RU000A10AV98,D,130325,000000,103.4,103.4,102.42,102.56,26010
RU000A10AV98,D,140325,000000,102.97,102.97,101.8,102.76,7893
RU000A10AV98,D,170325,000000,103.15,103.15,101.83,102.5,153659
RU000A10AV98,D,180325,000000,102.51,102.8,102.45,102.75,40691
RU000A10AV98,D,190325,000000,102.8,103.47,102.55,102.9,57366
RU000A10AV98,D,200325,000000,102.8,102.95,102.66,102.7,24699
RU000A10AV98,D,210325,000000,103.46,103.46,102.69,102.99,77639
RU000A10AV98,D,240325,000000,103.3,103.3,102.4,102.55,49434
RU000A10AV98,D,250325,000000,103,103,102.49,102.93,219058
RU000A10AV98,D,260325,000000,102.93,105,102.81,103.34,8219
RU000A10AV98,D,270325,000000,104.93,104.93,102.81,103.31,26887
RU000A10AV98,D,280325,000000,103.35,103.89,102.88,103.26,11788
RU000A10AV98,D,310325,000000,103.45,103.76,103,103.07,8213
RU000A10AV98,D,010425,000000,103.2,103.64,103,103.29,35131
RU000A10AV98,D,020425,000000,103.05,103.85,103,103.4,2573
RU000A10AV98,D,030425,000000,103.49,103.98,103.25,103.56,4796
RU000A10AV98,D,040425,000000,103.02,103.26,102.5,102.77,13217
RU000A10AV98,D,070425,000000,102.77,102.77,101.36,101.95,12086
RU000A10AV98,D,080425,000000,101.95,102.92,101.61,101.97,25523
RU000A10AV98,D,090425,000000,102.25,102.35,101.5,101.76,11889
RU000A10AV98,D,100425,000000,102,103.5,101.99,102.76,4651
RU000A10AV98,D,110425,000000,102.98,103.49,102.01,103.21,9889
RU000A10AV98,D,140425,000000,103.23,103.23,102.28,102.62,3158
RU000A10AV98,D,150425,000000,102.79,102.95,102.34,102.78,6138
RU000A10AV98,D,160425,000000,102.8,102.8,102.41,102.63,18813
RU000A10AV98,D,170425,000000,102.63,102.8,102.52,102.56,13293
RU000A10AV98,D,180425,000000,102.52,102.77,102.5,102.63,18481
RU000A10AV98,D,210425,000000,102.78,103,102.52,102.7,19628
RU000A10AV98,D,220425,000000,102.7,103,102.66,102.75,6516
RU000A10AV98,D,230425,000000,102.74,102.85,102.4,102.43,36164
RU000A10AV98,D,240425,000000,102.75,102.95,102.3,102.62,122130
RU000A10AV98,D,250425,000000,102.77,102.77,102.39,102.44,10662
RU000A10AV98,D,280425,000000,102.4,102.5,101.91,102.47,20057
RU000A10AV98,D,290425,000000,102.47,102.92,102.2,102.4,11970
RU000A10AV98,D,300425,000000,102.64,102.9,102.4,102.79,18370
RU000A10AV98,D,020525,000000,102.79,102.89,102.2,102.47,1805
RU000A10AV98,D,050525,000000,102.58,102.58,102.21,102.45,16302
RU000A10AV98,D,060525,000000,102.48,102.48,102.39,102.45,24086
RU000A10AV98,D,070525,000000,102.48,102.49,102.2,102.45,25936
RU000A10AV98,D,080525,000000,102.45,102.84,102.33,102.62,3935
RU000A10AV98,D,120525,000000,102.7,102.92,102.26,102.7,2257
RU000A10AV98,D,130525,000000,102.7,102.8,102.5,102.51,19073
RU000A10AV98,D,140525,000000,102.87,102.87,102.42,102.54,19395
RU000A10AV98,D,150525,000000,102.49,102.52,102.19,102.45,17236
RU000A10AV98,D,160525,000000,102.51,102.53,102.4,102.5,51869
RU000A10AV98,D,190525,000000,102.54,102.7,102.4,102.6,7713
RU000A10AV98,D,200525,000000,102.6,102.6,102.31,102.31,19958
RU000A10AV98,D,210525,000000,102.31,102.69,102.2,102.49,4977
RU000A10AV98,D,220525,000000,102.5,102.69,102.01,102.25,3637
RU000A10AV98,D,230525,000000,102.68,102.7,102.2,102.49,4964
RU000A10AV98,D,260525,000000,102.21,102.49,102.03,102.29,6239
RU000A10AV98,D,270525,000000,102.3,102.45,102.03,102.32,6303
RU000A10AV98,D,280525,000000,102.37,102.38,102.01,102.33,37663
RU000A10AV98,D,290525,000000,102.33,102.38,101.98,102.21,16659
RU000A10AV98,D,300525,000000,102.38,102.39,101.83,102.3,32933
RU000A10AV98,D,020625,000000,102.31,102.48,102.02,102.39,61054
RU000A10AV98,D,030625,000000,102.6,102.7,102.39,102.7,15878
RU000A10AV98,D,040625,000000,102.7,103.1,102.63,103.09,77162
RU000A10AV98,D,050625,000000,103.2,103.81,103,103.81,92237
RU000A10AV98,D,060625,000000,104.47,104.99,103.8,104,13444
RU000A10AV98,D,090625,000000,104,104.41,103.51,103.55,5791
RU000A10AV98,D,100625,000000,103.74,103.74,103.29,103.41,5649
RU000A10AV98,D,110625,000000,103.74,103.85,103.29,103.54,14478
RU000A10AV98,D,130625,000000,104.98,104.98,103.06,104.19,1204
RU000A10AV98,D,160625,000000,103.5,103.85,102.55,103.02,17543
RU000A10AV98,D,170625,000000,103.49,103.5,102.4,103.48,10725
RU000A10AV98,D,180625,000000,103.02,103.95,102.89,103.71,11229
RU000A10AV98,D,190625,000000,103.71,103.98,103.11,103.79,28481
RU000A10AV98,D,200625,000000,104.2,104.2,103.14,103.3,26076
RU000A10AV98,D,230625,000000,103.15,105.78,102.81,103.92,23771
RU000A10AV98,D,240625,000000,103.91,103.92,103.55,103.65,15569
RU000A10AV98,D,250625,000000,103.89,104.08,103.5,103.8,39238
RU000A10AV98,D,260625,000000,104.38,104.38,103.72,103.85,13209
