<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ANZ8,D,240125,000000,100,100,99.63,99.95,1074392
RU000A10ANZ8,D,270125,000000,100,100.1,99.9,100.04,1011862
RU000A10ANZ8,D,280125,000000,100,100,99.93,100,125767
RU000A10ANZ8,D,290125,000000,99.99,100.09,99.91,100.08,720433
RU000A10ANZ8,D,300125,000000,100.09,100.2,99.97,100.2,184912
RU000A10ANZ8,D,310125,000000,100.2,100.2,100.1,100.18,54046
RU000A10ANZ8,D,030225,000000,100.17,100.5,100.13,100.18,135829
RU000A10ANZ8,D,040225,000000,100.2,100.24,99.99,100.1,577266
RU000A10ANZ8,D,050225,000000,100.18,100.23,100,100.14,155026
RU000A10ANZ8,D,060225,000000,100.2,100.2,100.05,100.2,48931
RU000A10ANZ8,D,070225,000000,100.29,100.3,100.11,100.28,132046
RU000A10ANZ8,D,100225,000000,100.3,100.44,100.21,100.39,268194
RU000A10ANZ8,D,110225,000000,100.44,100.45,100.28,100.44,191605
RU000A10ANZ8,D,120225,000000,100.48,100.49,100.28,100.45,122900
RU000A10ANZ8,D,130225,000000,101.31,101.89,100.57,100.93,474642
RU000A10ANZ8,D,140225,000000,101.37,101.37,100.66,101.1,73946
RU000A10ANZ8,D,170225,000000,101.1,101.3,100.9,101.3,439342
RU000A10ANZ8,D,180225,000000,101.35,101.35,101.02,101.23,63978
RU000A10ANZ8,D,190225,000000,101.2,101.5,101.1,101.48,116830
RU000A10ANZ8,D,200225,000000,101.48,101.97,101.23,101.71,79312
RU000A10ANZ8,D,210225,000000,101.84,101.85,101.45,101.57,37061
RU000A10ANZ8,D,240225,000000,101.6,102.19,101.6,102.19,186208
RU000A10ANZ8,D,250225,000000,102.19,102.9,101.1,101.69,125329
RU000A10ANZ8,D,260225,000000,101.93,101.95,101.15,101.56,55459
RU000A10ANZ8,D,270225,000000,101.56,101.97,101.32,101.53,366129
RU000A10ANZ8,D,280225,000000,101.58,102.34,101.54,101.77,111050
RU000A10ANZ8,D,030325,000000,101.75,102.08,101.51,102,43108
RU000A10ANZ8,D,040325,000000,102.05,102.5,101.8,102.38,383023
RU000A10ANZ8,D,050325,000000,102.38,102.5,102,102.35,19010
RU000A10ANZ8,D,060325,000000,102.35,102.75,102.2,102.75,59162
RU000A10ANZ8,D,070325,000000,102.75,103.28,102.3,102.5,42064
RU000A10ANZ8,D,100325,000000,103.22,103.23,102.3,102.59,20544
RU000A10ANZ8,D,110325,000000,102.59,102.89,102.12,102.25,24308
RU000A10ANZ8,D,120325,000000,102.3,103,102.12,102.7,40986
RU000A10ANZ8,D,130325,000000,102.71,102.8,102.11,102.27,18238
RU000A10ANZ8,D,140325,000000,102.75,102.75,102.31,102.5,39481
RU000A10ANZ8,D,170325,000000,102.69,102.8,102.4,102.55,20148
RU000A10ANZ8,D,180325,000000,102.93,102.99,102.01,102.65,24057
RU000A10ANZ8,D,190325,000000,102.88,103,102.22,102.69,9955
RU000A10ANZ8,D,200325,000000,102.69,103.15,102.37,103.09,7713
RU000A10ANZ8,D,210325,000000,103.09,103.95,102.81,103.29,73014
RU000A10ANZ8,D,240325,000000,103.29,103.49,102.37,102.89,22778
RU000A10ANZ8,D,250325,000000,102.9,102.9,102.28,102.65,25187
RU000A10ANZ8,D,260325,000000,102.65,103.25,102.32,102.85,33556
RU000A10ANZ8,D,270325,000000,102.84,102.85,102.22,102.55,51280
RU000A10ANZ8,D,280325,000000,102.5,102.85,102.2,102.75,112460
RU000A10ANZ8,D,310325,000000,102.88,103.16,102.42,102.7,18815
RU000A10ANZ8,D,010425,000000,102.7,102.85,102.42,102.85,68256
RU000A10ANZ8,D,020425,000000,102.54,102.85,101.54,102.3,16436
RU000A10ANZ8,D,030425,000000,102.75,102.77,102.01,102.17,31941
RU000A10ANZ8,D,040425,000000,102.18,102.5,101.66,102.14,34822
RU000A10ANZ8,D,070425,000000,102.1,102.18,100.6,101.6,56046
RU000A10ANZ8,D,080425,000000,101.32,102.36,101.32,101.99,11554
RU000A10ANZ8,D,090425,000000,102.46,102.47,100.77,101.4,33364
RU000A10ANZ8,D,100425,000000,101.39,102.14,101.39,101.67,29174
RU000A10ANZ8,D,110425,000000,101.67,102.45,101.5,102.2,26249
RU000A10ANZ8,D,140425,000000,102.5,102.84,102.02,102.5,7587
RU000A10ANZ8,D,150425,000000,102.84,102.84,101.65,101.86,142272
RU000A10ANZ8,D,160425,000000,101.89,102.29,101.6,102.28,17872
RU000A10ANZ8,D,170425,000000,102.28,102.48,101.93,102.25,24694
RU000A10ANZ8,D,180425,000000,102.25,102.58,102,102.4,6544
RU000A10ANZ8,D,210425,000000,102.4,102.48,101.99,102.41,18543
RU000A10ANZ8,D,220425,000000,102.5,102.84,101.61,102.68,38865
RU000A10ANZ8,D,230425,000000,102.67,102.88,102.3,102.53,23538
RU000A10ANZ8,D,240425,000000,102.88,102.9,102.14,102.44,48456
RU000A10ANZ8,D,250425,000000,102.53,103,102.18,102.77,30913
RU000A10ANZ8,D,280425,000000,102.9,102.99,102.3,102.49,12398
RU000A10ANZ8,D,290425,000000,102.48,102.97,102.07,102.59,7230
RU000A10ANZ8,D,300425,000000,102.59,102.6,102.04,102.56,15067
RU000A10ANZ8,D,020525,000000,102.88,102.88,102.01,102.47,2967
RU000A10ANZ8,D,050525,000000,102.46,102.86,102.1,102.44,11062
