<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AXH5,D,180225,000000,100,101,100,100.9,22.908
RU000A10AXH5,D,190225,000000,101,101.74,100.77,101.74,875.630
RU000A10AXH5,D,200225,000000,101.5,101.7,101.21,101.7,120.295
RU000A10AXH5,D,210225,000000,101.7,101.95,101.4,101.85,20.801
RU000A10AXH5,D,240225,000000,101.85,102.29,101.85,102,10.623
RU000A10AXH5,D,250225,000000,102.1,102.1,100.75,101.75,18.378
RU000A10AXH5,D,260225,000000,101.76,102.86,101.51,102.37,14.494
RU000A10AXH5,D,270225,000000,102.37,102.46,102,102.43,69.666
RU000A10AXH5,D,280225,000000,102.44,102.6,102.02,102.6,43.031
RU000A10AXH5,D,030325,000000,103.59,103.59,102.06,102.58,157.874
RU000A10AXH5,D,040325,000000,102.99,102.99,102.2,102.96,41.897
RU000A10AXH5,D,050325,000000,103.5,103.5,102.92,103.49,11.506
RU000A10AXH5,D,060325,000000,103.96,104,103.2,104,14.936
RU000A10AXH5,D,070325,000000,104,105,103.81,104.75,1.669
RU000A10AXH5,D,100325,000000,104.5,104.5,103.57,104.45,6.667
RU000A10AXH5,D,110325,000000,104.45,104.49,103,104.3,1.960
RU000A10AXH5,D,120325,000000,104.83,106.97,103.23,104.38,1.627
RU000A10AXH5,D,130325,000000,106.85,106.85,103.85,104.75,1.139
RU000A10AXH5,D,140325,000000,106.97,106.97,104,104.72,5.586
RU000A10AXH5,D,170325,000000,106.12,106.12,104.1,105.69,802
RU000A10AXH5,D,180325,000000,106.96,106.96,104.75,106,789
RU000A10AXH5,D,190325,000000,106.48,106.48,104,106.1,16.073
RU000A10AXH5,D,200325,000000,106,106.64,103.99,106.53,2.939
RU000A10AXH5,D,210325,000000,106.95,106.95,106.01,106.46,888
RU000A10AXH5,D,240325,000000,104.22,106.45,104.22,104.95,1.262
RU000A10AXH5,D,250325,000000,105.19,106.17,105.1,105.81,1.160
RU000A10AXH5,D,260325,000000,105.97,105.97,105.1,105.76,989
RU000A10AXH5,D,270325,000000,105.26,105.97,105.26,105.89,310
RU000A10AXH5,D,280325,000000,105.83,105.83,105.28,105.76,632
RU000A10AXH5,D,310325,000000,105.76,105.8,104.2,105,812
RU000A10AXH5,D,010425,000000,105.14,105.14,104.34,104.97,677
RU000A10AXH5,D,020425,000000,104.56,105.29,103.92,104.94,651
RU000A10AXH5,D,030425,000000,105.06,105.31,103.21,103.5,1.424
RU000A10AXH5,D,040425,000000,103.7,104.59,103.25,104.23,936
RU000A10AXH5,D,070425,000000,103.2,103.99,101,103.99,3.504
RU000A10AXH5,D,080425,000000,103,104.97,102.03,104.59,685
RU000A10AXH5,D,090425,000000,104.59,105.19,101.78,102.45,4.022
RU000A10AXH5,D,100425,000000,103.27,103.27,102.45,102.85,660
RU000A10AXH5,D,110425,000000,103,104,102.23,104,10.832
RU000A10AXH5,D,140425,000000,104.5,105.69,102.16,104.8,393
RU000A10AXH5,D,150425,000000,104.8,105.4,102.35,103.51,3.119
RU000A10AXH5,D,160425,000000,104.98,104.98,103.56,103.6,960
RU000A10AXH5,D,170425,000000,103.6,105.16,102.7,103.8,744
RU000A10AXH5,D,180425,000000,105.16,105.19,103.21,104.93,4.327
RU000A10AXH5,D,210425,000000,104.5,104.93,103.31,104.85,1.582
RU000A10AXH5,D,220425,000000,104.85,105.46,102.79,104.31,1.289
RU000A10AXH5,D,230425,000000,104.75,104.96,103.45,104.22,1.495
RU000A10AXH5,D,240425,000000,104.23,104.44,103.62,104.44,433
RU000A10AXH5,D,250425,000000,104.44,104.6,103,104.38,1.424
RU000A10AXH5,D,280425,000000,104.58,104.59,104,104.55,1.658
RU000A10AXH5,D,290425,000000,104,104.6,103.81,104.5,880
RU000A10AXH5,D,300425,000000,103.52,104.6,103.52,104.44,456
RU000A10AXH5,D,020525,000000,103.02,104.6,103.02,104.59,640
RU000A10AXH5,D,050525,000000,104.6,104.6,103.81,104.4,2.395
RU000A10AXH5,D,060525,000000,104.41,105.57,103.9,104.4,1.577
RU000A10AXH5,D,070525,000000,106,106,104.4,104.7,1.246
RU000A10AXH5,D,080525,000000,104.42,105.11,103.95,103.95,532
RU000A10AXH5,D,120525,000000,105.5,105.5,104.4,104.94,526
RU000A10AXH5,D,130525,000000,105.39,105.39,104.17,104.35,4.239
RU000A10AXH5,D,140525,000000,104.55,104.9,103.93,104.88,402
RU000A10AXH5,D,150525,000000,104.97,104.97,104.25,104.61,570
RU000A10AXH5,D,160525,000000,103.9,104.99,103.89,104.99,4.824
RU000A10AXH5,D,190525,000000,105.99,105.99,104.4,104.41,661
RU000A10AXH5,D,200525,000000,104.29,104.98,103.86,104.45,736
RU000A10AXH5,D,210525,000000,104.45,105.89,104.1,104.73,1.323
RU000A10AXH5,D,220525,000000,104.73,105,104.12,104.76,2.427
RU000A10AXH5,D,230525,000000,104.77,105.74,104.45,104.79,361
RU000A10AXH5,D,260525,000000,104.79,105.36,103.75,104.75,1.309
RU000A10AXH5,D,270525,000000,104.45,104.94,104.45,104.68,629
RU000A10AXH5,D,280525,000000,104.49,104.79,104.3,104.51,19.903
RU000A10AXH5,D,290525,000000,104.51,104.79,104.13,104.5,227
RU000A10AXH5,D,300525,000000,104,104.73,104,104.62,2.336
RU000A10AXH5,D,020625,000000,104.62,104.79,104.07,104.7,2.221
RU000A10AXH5,D,030625,000000,104.71,104.91,104.35,104.69,2.031
RU000A10AXH5,D,040625,000000,104.9,105.68,104.9,105.2,1.480
RU000A10AXH5,D,050625,000000,105.12,106,105.12,105.63,2.773
RU000A10AXH5,D,060625,000000,105.92,106.5,105.51,106.27,6.241
RU000A10AXH5,D,090625,000000,105.5,106.96,105.45,106.13,767
RU000A10AXH5,D,100625,000000,105.01,106.85,105.01,106.01,3.408
RU000A10AXH5,D,110625,000000,105.99,106.9,105.9,106.48,732
RU000A10AXH5,D,130625,000000,106.97,106.99,106,106.97,251
RU000A10AXH5,D,160625,000000,105.88,106.93,105.48,106.36,2.915
RU000A10AXH5,D,170625,000000,106.36,106.57,104.11,105.93,8.703
RU000A10AXH5,D,180625,000000,105.32,105.86,104.63,105.83,1.293
RU000A10AXH5,D,190625,000000,105.16,105.92,104.33,105.88,4.228
RU000A10AXH5,D,200625,000000,105.59,105.9,105.59,105.9,668
RU000A10AXH5,D,230625,000000,105.9,105.9,105.17,105.48,1.174
RU000A10AXH5,D,240625,000000,105.62,105.76,105.17,105.54,778
RU000A10AXH5,D,250625,000000,105.54,106.6,105.54,106.6,7.850
RU000A10AXH5,D,260625,000000,106.58,106.99,106.54,106.67,401
RU000A10AXH5,D,270625,000000,106.97,108.7,106.67,107.64,2.698
RU000A10AXH5,D,300625,000000,107.64,107.64,106.42,106.93,1.568
RU000A10AXH5,D,010725,000000,107.65,107.65,106.44,106.8,2.920
RU000A10AXH5,D,020725,000000,107.1,107.11,106.01,106.4,4.439
RU000A10AXH5,D,030725,000000,107.62,107.62,106.29,106.66,1.355
RU000A10AXH5,D,040725,000000,106.63,106.95,106.44,106.44,2.961
RU000A10AXH5,D,070725,000000,106.44,106.99,106.39,106.7,1.907
RU000A10AXH5,D,080725,000000,106.84,106.86,106.37,106.6,575
RU000A10AXH5,D,090725,000000,106.67,106.77,105.02,105.99,2.556
RU000A10AXH5,D,100725,000000,106.72,107.29,105.15,106.66,3.520
RU000A10AXH5,D,110725,000000,107.23,107.25,106.27,107.19,907
RU000A10AXH5,D,140725,000000,106.29,107.3,105.55,107.23,5.590
RU000A10AXH5,D,150725,000000,107.25,108.69,106.66,107.62,4.653
RU000A10AXH5,D,160725,000000,107.43,108.69,107.43,108.19,3.439
RU000A10AXH5,D,170725,000000,108.07,108.17,107.5,107.95,1.876
RU000A10AXH5,D,180725,000000,106.67,108.73,106.6,108.17,10.997
RU000A10AXH5,D,210725,000000,108.72,108.73,108.02,108.16,1.235
RU000A10AXH5,D,220725,000000,108.72,108.72,107.68,108.49,2.055
RU000A10AXH5,D,230725,000000,107.52,108.48,107.52,108.38,1.771
RU000A10AXH5,D,240725,000000,106.66,109.99,106.66,107.8,1.569
