<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BGC9,D,240425,000000,100.99,100.99,99.97,100.11,177406
RU000A10BGC9,D,250425,000000,100.39,100.69,100.13,100.5,51523
RU000A10BGC9,D,280425,000000,100.59,101.25,100.59,100.87,24323
RU000A10BGC9,D,290425,000000,100.9,101.45,100.87,101.41,30008
RU000A10BGC9,D,300425,000000,101.41,101.79,101.04,101.51,8259
RU000A10BGC9,D,020525,000000,101.58,101.7,101.01,101.41,7911
RU000A10BGC9,D,050525,000000,101.41,101.63,100.72,101.13,21789
RU000A10BGC9,D,060525,000000,101.26,101.26,100.63,101.02,11684
RU000A10BGC9,D,070525,000000,101.02,101.5,100.91,101.33,18359
RU000A10BGC9,D,080525,000000,101.33,102.2,101.33,101.95,6734
RU000A10BGC9,D,120525,000000,101.8,102.72,101.8,102.5,17396
RU000A10BGC9,D,130525,000000,102.5,102.9,102.15,102.5,4566
RU000A10BGC9,D,140525,000000,102.76,103.43,102.5,102.83,9549
RU000A10BGC9,D,150525,000000,102.6,102.8,102.5,102.7,8878
RU000A10BGC9,D,160525,000000,102.54,102.98,101.5,102.27,7507
RU000A10BGC9,D,190525,000000,102.4,102.5,101.7,102.02,6159
RU000A10BGC9,D,200525,000000,102.08,102.08,101.5,102,11222
RU000A10BGC9,D,210525,000000,102,102,101.4,101.7,6566
RU000A10BGC9,D,220525,000000,101.77,101.81,100.83,101.77,18322
RU000A10BGC9,D,230525,000000,101.77,102.05,101.33,101.5,11607
RU000A10BGC9,D,260525,000000,101.29,101.93,100.81,101.86,22123
RU000A10BGC9,D,270525,000000,101.93,101.98,101.26,101.75,12244
RU000A10BGC9,D,280525,000000,101.88,102.05,101.45,101.75,7312
RU000A10BGC9,D,290525,000000,101.69,101.93,100.8,101.56,54033
RU000A10BGC9,D,300525,000000,101.2,101.9,101.1,101.76,18883
RU000A10BGC9,D,020625,000000,101.32,102.5,101.32,101.78,18139
RU000A10BGC9,D,030625,000000,101.78,102.4,101.71,102.37,16386
RU000A10BGC9,D,040625,000000,102.17,102.7,101.84,102.57,9216
RU000A10BGC9,D,050625,000000,102.74,103.28,102.74,103.1,7958
RU000A10BGC9,D,060625,000000,103.17,103.49,102.7,103.03,8689
RU000A10BGC9,D,090625,000000,103.09,103.35,102.6,103.3,5828
RU000A10BGC9,D,100625,000000,103.29,103.3,103,103.29,2220
RU000A10BGC9,D,110625,000000,103.02,103.78,103.02,103.58,6356
RU000A10BGC9,D,130625,000000,103.85,103.85,103.09,103.76,2361
RU000A10BGC9,D,160625,000000,103.74,103.74,102.56,103.21,5768
RU000A10BGC9,D,170625,000000,102.91,103.35,102.49,102.8,8724
RU000A10BGC9,D,180625,000000,103.07,103.07,102.14,102.78,9235
RU000A10BGC9,D,190625,000000,102.36,103.69,102.35,102.86,9320
RU000A10BGC9,D,200625,000000,102.76,103.34,102.76,103.14,4909
RU000A10BGC9,D,230625,000000,103.22,103.22,102.51,102.82,6871
RU000A10BGC9,D,240625,000000,102.61,102.81,102.02,102.66,7292
RU000A10BGC9,D,250625,000000,102.66,103,102.5,102.98,7575
RU000A10BGC9,D,260625,000000,102.81,103,102.2,102.8,11690
RU000A10BGC9,D,270625,000000,102.71,102.93,101.51,102.72,15088
RU000A10BGC9,D,300625,000000,102.52,103.25,101.81,103.24,8224
RU000A10BGC9,D,010725,000000,103.3,104.55,103.18,104.34,18667
RU000A10BGC9,D,020725,000000,104.93,105.44,103.93,104.89,8773
RU000A10BGC9,D,030725,000000,104.79,105.37,104.2,104.2,7072
RU000A10BGC9,D,040725,000000,105.07,105.9,104.21,105.12,9020
RU000A10BGC9,D,070725,000000,105.89,105.97,105.14,105.88,7777
RU000A10BGC9,D,080725,000000,105.04,106.01,105,105.7,6837
RU000A10BGC9,D,090725,000000,106.01,106.47,105,105.74,6363
RU000A10BGC9,D,100725,000000,105.12,105.95,105.1,105.9,4420
RU000A10BGC9,D,110725,000000,105.58,105.94,105.58,105.85,7253
RU000A10BGC9,D,140725,000000,105.96,107.47,105.2,107,13783
RU000A10BGC9,D,150725,000000,107.15,108.48,106.08,108.03,9679
RU000A10BGC9,D,160725,000000,108.2,108.41,107.1,108.39,10467
RU000A10BGC9,D,170725,000000,108.55,108.95,108.3,108.4,9185
RU000A10BGC9,D,180725,000000,108.78,109,107.61,108.79,3006
RU000A10BGC9,D,210725,000000,108.8,109,108.02,108.96,5232
RU000A10BGC9,D,220725,000000,108.96,109.9,102.4,109,7741
RU000A10BGC9,D,230725,000000,108.99,109.87,108.6,109.26,9283
RU000A10BGC9,D,240725,000000,109.8,109.81,108.1,108.75,6169
RU000A10BGC9,D,250725,000000,108.75,109.17,107.72,108.52,7195
RU000A10BGC9,D,280725,000000,108.75,109.12,107.63,108.5,3707
RU000A10BGC9,D,290725,000000,108.87,111.2,108.7,110.49,2699
RU000A10BGC9,D,300725,000000,111.31,111.31,108.21,110.37,4640
RU000A10BGC9,D,310725,000000,110.88,110.88,109.04,110,1545
