<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AYU6,D,250225,000000,103,104.76,101.7,104,76941
RU000A10AYU6,D,260225,000000,103.86,105,103.4,104.52,29122
RU000A10AYU6,D,270225,000000,104.51,104.6,103.63,104.38,13256
RU000A10AYU6,D,280225,000000,104.49,104.7,103.92,104.38,12401
RU000A10AYU6,D,030325,000000,104.27,105.47,103.9,104.52,9389
RU000A10AYU6,D,040325,000000,104.89,105.24,104.52,104.52,2531
RU000A10AYU6,D,050325,000000,104.52,104.88,104.06,104.18,4211
RU000A10AYU6,D,060325,000000,104.9,104.9,103.67,104.02,9342
RU000A10AYU6,D,070325,000000,103.93,104.5,103.69,104.34,9301
RU000A10AYU6,D,100325,000000,103.82,104.36,103.65,103.87,5914
RU000A10AYU6,D,110325,000000,104.01,104.21,103.53,103.99,7209
RU000A10AYU6,D,120325,000000,103.9,104,103.65,104,4299
RU000A10AYU6,D,130325,000000,104.36,104.39,103.92,104.2,2808
RU000A10AYU6,D,140325,000000,103.92,104.29,103.67,103.99,4146
RU000A10AYU6,D,170325,000000,104.07,104.16,103.14,103.84,3675
RU000A10AYU6,D,180325,000000,103.93,104.15,103.41,103.8,4241
RU000A10AYU6,D,190325,000000,103.55,104.15,103.45,104.08,3124
RU000A10AYU6,D,200325,000000,104.08,105.9,103.76,104.5,5670
RU000A10AYU6,D,210325,000000,104.6,105.9,104.2,104.59,4067
RU000A10AYU6,D,240325,000000,104.26,105,103.06,103.98,2795
RU000A10AYU6,D,250325,000000,103.98,104.34,103.45,103.79,3997
RU000A10AYU6,D,260325,000000,103.56,103.99,103.52,103.85,2030
RU000A10AYU6,D,270325,000000,103.61,103.9,103,103.5,3517
RU000A10AYU6,D,280325,000000,103.19,104.23,103.17,104.05,5779
RU000A10AYU6,D,310325,000000,103.55,104.1,103.02,103.51,3538
RU000A10AYU6,D,010425,000000,103.63,103.97,103.51,103.53,1382
RU000A10AYU6,D,020425,000000,103.62,103.87,103.12,103.49,1687
RU000A10AYU6,D,030425,000000,103.4,103.89,103.16,103.16,2374
RU000A10AYU6,D,040425,000000,103.81,103.81,102.52,102.97,6023
RU000A10AYU6,D,070425,000000,102.62,103.2,100,102.06,8690
RU000A10AYU6,D,080425,000000,102.29,102.85,101.67,102.68,5521
RU000A10AYU6,D,090425,000000,102.4,102.78,101.05,101.91,12660
RU000A10AYU6,D,100425,000000,102.01,103.46,101.53,102.41,7738
RU000A10AYU6,D,110425,000000,102.25,103.2,102.11,102.43,4498
RU000A10AYU6,D,140425,000000,102.77,102.9,101.5,102.55,2995
RU000A10AYU6,D,150425,000000,102.5,102.61,101.75,101.87,2745
RU000A10AYU6,D,160425,000000,101.77,102.83,101.77,102.7,4675
RU000A10AYU6,D,170425,000000,102.85,103.21,102.31,103.09,5195
RU000A10AYU6,D,180425,000000,103.09,103.89,102.2,103.01,3199
RU000A10AYU6,D,210425,000000,103.15,103.25,101.32,103,5725
RU000A10AYU6,D,220425,000000,103.23,103.24,102.2,102.74,3639
RU000A10AYU6,D,230425,000000,102.72,102.77,101.99,102.35,6531
RU000A10AYU6,D,240425,000000,102.35,102.72,101.73,102.12,13664
RU000A10AYU6,D,250425,000000,102.1,102.75,101.85,102.37,7943
RU000A10AYU6,D,280425,000000,102.5,102.55,102.15,102.55,3425
