<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AYF7,D,210225,000000,101.63,102,99.9,100.68,107.624
RU000A10AYF7,D,240225,000000,100.79,100.96,100.11,100.65,20.853
RU000A10AYF7,D,250225,000000,100.65,100.74,100,100.29,27.439
RU000A10AYF7,D,260225,000000,100.32,100.33,99.95,100.15,23.762
RU000A10AYF7,D,270225,000000,100.08,100.15,99.97,100.02,14.934
RU000A10AYF7,D,280225,000000,100.05,100.08,99.9,99.99,22.414
RU000A10AYF7,D,030325,000000,100,100.01,98.95,99.99,18.777
RU000A10AYF7,D,040325,000000,100,100.2,99.92,100.17,11.386
RU000A10AYF7,D,050325,000000,100.15,100.2,99.99,100.12,7.963
RU000A10AYF7,D,060325,000000,100.2,100.2,99.9,100.12,11.773
RU000A10AYF7,D,070325,000000,100.11,100.19,99.95,100.14,18.353
RU000A10AYF7,D,100325,000000,100.2,100.35,99.95,100.16,21.102
RU000A10AYF7,D,110325,000000,100.35,100.68,100.15,100.4,7.340
RU000A10AYF7,D,120325,000000,100.41,100.75,100.15,100.55,6.216
RU000A10AYF7,D,130325,000000,100.59,100.8,100.21,100.53,6.790
RU000A10AYF7,D,140325,000000,100.53,100.99,100.17,100.69,4.927
RU000A10AYF7,D,170325,000000,100.69,100.8,100.2,100.4,7.758
RU000A10AYF7,D,180325,000000,100.48,100.66,100.11,100.5,7.803
RU000A10AYF7,D,190325,000000,100.46,101.15,100,101.15,13.016
RU000A10AYF7,D,200325,000000,100.8,101.15,99.9,100.74,7.564
RU000A10AYF7,D,210325,000000,100.53,102.5,100.45,101.1,12.851
RU000A10AYF7,D,240325,000000,101.1,101.85,100.72,101.23,4.567
RU000A10AYF7,D,250325,000000,101.02,101.22,100.23,100.67,8.811
RU000A10AYF7,D,260325,000000,100.99,101.21,100.3,100.82,10.930
RU000A10AYF7,D,270325,000000,100.82,101.09,100.53,100.68,5.164
RU000A10AYF7,D,280325,000000,100.68,100.79,100.51,100.68,6.044
RU000A10AYF7,D,310325,000000,100.69,100.69,100.33,100.58,9.633
RU000A10AYF7,D,010425,000000,100.6,101.95,100.57,100.85,18.382
RU000A10AYF7,D,020425,000000,100.85,100.86,100.26,100.4,7.557
RU000A10AYF7,D,030425,000000,100.4,100.46,100.27,100.29,6.751
RU000A10AYF7,D,040425,000000,100.23,100.5,100,100.09,12.323
RU000A10AYF7,D,070425,000000,100,100,98.9,99.75,10.577
RU000A10AYF7,D,080425,000000,99.78,100.28,98.98,99.64,8.934
RU000A10AYF7,D,090425,000000,99.64,100,99.21,99.44,7.640
RU000A10AYF7,D,100425,000000,99.95,100,99.4,99.99,3.161
RU000A10AYF7,D,110425,000000,100.02,100.27,99.82,100.07,8.017
RU000A10AYF7,D,140425,000000,100,100.4,100,100.1,11.244
RU000A10AYF7,D,150425,000000,100.1,100.27,99.93,100.22,6.647
RU000A10AYF7,D,160425,000000,100.39,100.74,100,100.6,5.757
RU000A10AYF7,D,170425,000000,100.55,100.87,100.3,100.82,4.933
RU000A10AYF7,D,180425,000000,100.82,101,100.71,100.99,3.501
RU000A10AYF7,D,210425,000000,101,101.47,100.04,100.78,2.161
RU000A10AYF7,D,220425,000000,100.88,100.9,100.5,100.61,2.595
RU000A10AYF7,D,230425,000000,100.79,101,100.08,100.62,4.021
RU000A10AYF7,D,240425,000000,100.93,101,100.2,100.77,2.855
RU000A10AYF7,D,250425,000000,100.77,101,100.51,100.82,2.603
RU000A10AYF7,D,280425,000000,100.82,101,100.11,100.56,2.973
RU000A10AYF7,D,290425,000000,100.79,101,100.56,101,4.307
RU000A10AYF7,D,300425,000000,101,102,100.77,101.49,4.255
RU000A10AYF7,D,020525,000000,101.54,101.91,100.52,101.62,1.144
RU000A10AYF7,D,050525,000000,101.64,101.92,101,101.3,1.749
RU000A10AYF7,D,060525,000000,101.95,101.95,101.11,101.58,2.990
RU000A10AYF7,D,070525,000000,103.39,103.39,101.43,102.57,1.549
RU000A10AYF7,D,080525,000000,102.99,102.99,102.3,102.7,875
RU000A10AYF7,D,120525,000000,103,103,101.63,102.85,2.613
RU000A10AYF7,D,130525,000000,102.82,102.85,101.8,102.46,2.574
RU000A10AYF7,D,140525,000000,102.45,102.8,102.44,102.78,2.235
RU000A10AYF7,D,150525,000000,102.65,103,102.2,102.89,3.788
RU000A10AYF7,D,160525,000000,102.7,103.3,101.7,102.77,3.318
RU000A10AYF7,D,190525,000000,102.98,102.98,101.7,102.8,4.647
RU000A10AYF7,D,200525,000000,102.8,103.5,102.25,102.8,4.610
RU000A10AYF7,D,210525,000000,102.8,103,102.7,102.98,2.787
RU000A10AYF7,D,220525,000000,102.99,103.2,100.98,102.24,4.426
RU000A10AYF7,D,230525,000000,102.07,102.49,99.2,100.9,8.788
RU000A10AYF7,D,260525,000000,100.9,101.5,100.09,101.38,5.834
RU000A10AYF7,D,270525,000000,101.37,102.49,101.22,101.82,1.682
RU000A10AYF7,D,280525,000000,102.29,102.29,100.7,101.85,3.469
RU000A10AYF7,D,290525,000000,101.78,103.28,100.91,102.35,3.775
RU000A10AYF7,D,300525,000000,101.99,102,100.62,101.85,2.754
RU000A10AYF7,D,020625,000000,102.19,102.2,100.66,101.91,5.090
RU000A10AYF7,D,030625,000000,102.1,103.17,101.85,102.66,2.280
RU000A10AYF7,D,040625,000000,102.71,103.4,102.71,103.38,2.150
RU000A10AYF7,D,050625,000000,103.4,104.38,102.5,104.18,4.113
RU000A10AYF7,D,060625,000000,104.72,104.75,103.12,103.99,3.806
RU000A10AYF7,D,090625,000000,103.95,103.95,103.02,103.65,2.705
RU000A10AYF7,D,100625,000000,103.65,104.49,103.65,104.49,1.391
RU000A10AYF7,D,110625,000000,104.74,106.45,103.84,105.06,2.641
RU000A10AYF7,D,130625,000000,105.98,105.98,103.72,104.58,1.439
RU000A10AYF7,D,160625,000000,104.21,104.33,102.96,103.51,1.777
RU000A10AYF7,D,170625,000000,103.45,104.2,100.71,102.08,3.094
RU000A10AYF7,D,180625,000000,102.49,102.95,101.21,102.32,3.812
RU000A10AYF7,D,190625,000000,102.34,103.09,102.3,103,842
RU000A10AYF7,D,200625,000000,103,103.39,102.87,103.39,1.619
RU000A10AYF7,D,230625,000000,103.41,103.41,102.67,102.89,4.040
RU000A10AYF7,D,240625,000000,102.62,103.24,102.61,103.12,2.669
RU000A10AYF7,D,250625,000000,103.01,104,102,103.62,2.771
RU000A10AYF7,D,260625,000000,103.05,104.41,103.05,103.98,2.227
RU000A10AYF7,D,270625,000000,103.54,105.09,102.3,103.91,4.353
RU000A10AYF7,D,300625,000000,103.91,104.96,103.54,104.43,3.353
RU000A10AYF7,D,010725,000000,104.43,104.77,103.99,104.4,2.730
RU000A10AYF7,D,020725,000000,104.49,105.01,104.49,104.76,1.439
RU000A10AYF7,D,030725,000000,104.76,105.88,104.51,105.35,1.689
RU000A10AYF7,D,040725,000000,105.06,107,104,106,5.345
RU000A10AYF7,D,070725,000000,106,106.99,104.11,104.62,1.727
RU000A10AYF7,D,080725,000000,105.71,105.71,104.08,104.5,848
RU000A10AYF7,D,090725,000000,104.35,105.8,102.05,104,2.197
RU000A10AYF7,D,100725,000000,104.05,105.65,103.01,104.96,2.948
RU000A10AYF7,D,110725,000000,105.68,105.94,104.11,105.34,1.213
RU000A10AYF7,D,140725,000000,105.33,105.48,104.04,105.38,3.018
RU000A10AYF7,D,150725,000000,105.79,105.79,104.7,105.34,1.342
RU000A10AYF7,D,160725,000000,105.92,106.56,105,106.17,1.856
RU000A10AYF7,D,170725,000000,106.1,107,105.34,105.41,2.246
RU000A10AYF7,D,180725,000000,105.85,106.84,105.71,105.84,3.697
RU000A10AYF7,D,210725,000000,106.43,107.64,105.88,107.05,2.564
RU000A10AYF7,D,220725,000000,107.02,108.6,106.09,108.4,2.606
RU000A10AYF7,D,230725,000000,108.4,108.5,108,108.16,3.520
RU000A10AYF7,D,240725,000000,108.4,108.45,107.56,108.31,1.732
RU000A10AYF7,D,250725,000000,108.59,112.99,107.83,109.16,1.503
RU000A10AYF7,D,280725,000000,109.48,109.48,108.07,108.6,1.004
RU000A10AYF7,D,290725,000000,109.03,109.16,108.6,109.16,1.145
RU000A10AYF7,D,300725,000000,108.47,108.96,108.21,108.62,927
RU000A10AYF7,D,310725,000000,108.6,111.45,108.18,108.76,1.782
