<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BBE6,D,110425,000000,100.25,102,99.05,100.1,241640
RU000A10BBE6,D,140425,000000,100.38,100.44,100.05,100.35,63350
RU000A10BBE6,D,150425,000000,100.4,100.7,100.35,100.5,1900
RU000A10BBE6,D,160425,000000,100.45,101,100.4,101,6368
RU000A10BBE6,D,170425,000000,101,101.25,100.51,100.56,1701
RU000A10BBE6,D,180425,000000,100.83,100.84,100.11,100.25,12381
RU000A10BBE6,D,210425,000000,101.5,101.5,100.26,100.6,6815
RU000A10BBE6,D,220425,000000,100.41,101,100.32,100.9,10853
RU000A10BBE6,D,230425,000000,100.9,100.9,100.61,100.9,2317
RU000A10BBE6,D,240425,000000,100.94,102.49,100.94,101.95,1874
RU000A10BBE6,D,250425,000000,101.98,103,101.53,102.45,543
RU000A10BBE6,D,280425,000000,102.45,102.45,100.8,101.74,4592
RU000A10BBE6,D,290425,000000,102.48,102.48,101.12,101.75,2352
RU000A10BBE6,D,300425,000000,102.31,103,101.75,102,5607
RU000A10BBE6,D,020525,000000,103,103.99,100.4,103.8,1938
RU000A10BBE6,D,050525,000000,102,102,101.76,102,2195
RU000A10BBE6,D,060525,000000,102,103.81,101.75,102,6453
RU000A10BBE6,D,070525,000000,103.86,103.86,101.9,102,1677
RU000A10BBE6,D,080525,000000,103.9,103.9,101.97,103.85,399
RU000A10BBE6,D,120525,000000,103.86,104.5,102.27,104.47,5136
RU000A10BBE6,D,130525,000000,104.47,105.88,103.21,104.3,1204
RU000A10BBE6,D,140525,000000,104.48,105.48,103.35,104.8,686
RU000A10BBE6,D,150525,000000,104.99,104.99,104.12,104.6,508
RU000A10BBE6,D,160525,000000,104.98,104.98,104.3,104.31,414
RU000A10BBE6,D,190525,000000,104.31,105,104.12,104.15,1680
RU000A10BBE6,D,200525,000000,104.96,105,103.51,104.2,4015
RU000A10BBE6,D,210525,000000,103.78,104.94,102.06,103.88,791
RU000A10BBE6,D,220525,000000,103.87,103.88,103.48,103.79,1046
RU000A10BBE6,D,230525,000000,103.8,103.8,101.58,103.01,1453
RU000A10BBE6,D,260525,000000,103.74,103.74,101.75,103.28,3424
