<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10B2J9,D,130325,000000,100,100.7,99.4,99.9,151674
RU000A10B2J9,D,140325,000000,99.98,100.37,99.8,100.24,80813
RU000A10B2J9,D,170325,000000,100.41,100.45,99.91,100.17,61215
RU000A10B2J9,D,180325,000000,100.25,100.25,99.95,100.04,35112
RU000A10B2J9,D,190325,000000,100.08,100.5,99.7,100.5,30494
RU000A10B2J9,D,200325,000000,100.4,101.71,100.05,101.71,41211
RU000A10B2J9,D,210325,000000,101.8,102.5,101.22,101.85,15366
RU000A10B2J9,D,240325,000000,102.09,102.4,100.87,101.89,19425
RU000A10B2J9,D,250325,000000,101.9,102.33,100.8,101.3,21192
RU000A10B2J9,D,260325,000000,101.97,101.97,101.03,101.4,11853
RU000A10B2J9,D,270325,000000,101.41,101.88,100.82,101.25,9104
RU000A10B2J9,D,280325,000000,101.49,101.49,100.87,100.99,15898
RU000A10B2J9,D,310325,000000,101,101.49,100.7,101.24,16107
RU000A10B2J9,D,010425,000000,101.23,101.96,101.22,101.52,14634
RU000A10B2J9,D,020425,000000,101.78,101.88,101.01,101.74,18060
RU000A10B2J9,D,030425,000000,101.74,101.97,101.33,101.7,13165
RU000A10B2J9,D,040425,000000,101.6,101.8,100.72,100.98,21864
RU000A10B2J9,D,070425,000000,101.03,101.6,100.1,100.7,21531
RU000A10B2J9,D,080425,000000,100.78,101.31,100.7,101.17,11488
RU000A10B2J9,D,090425,000000,101,101,99.91,100.2,20429
RU000A10B2J9,D,100425,000000,100.37,101,100.37,100.91,4385
RU000A10B2J9,D,110425,000000,100.96,101,100.55,101,6504
RU000A10B2J9,D,140425,000000,101.01,101.25,99.85,101.24,12819
RU000A10B2J9,D,150425,000000,101.25,101.43,100.51,101.17,10016
RU000A10B2J9,D,160425,000000,101.17,101.42,100.46,101,13658
RU000A10B2J9,D,170425,000000,101.27,101.27,100.87,101.21,6541
RU000A10B2J9,D,180425,000000,101.11,101.2,100.75,100.99,10527
RU000A10B2J9,D,210425,000000,101.27,101.45,100.77,101,11179
RU000A10B2J9,D,220425,000000,101.33,101.33,100.82,101.21,15386
RU000A10B2J9,D,230425,000000,101.23,101.91,100.87,101.26,6023
RU000A10B2J9,D,240425,000000,101.49,101.84,101,101.5,10445
RU000A10B2J9,D,250425,000000,101.09,101.9,101.02,101.65,5689
RU000A10B2J9,D,280425,000000,101.65,102.29,101.4,101.54,7761
RU000A10B2J9,D,290425,000000,101.85,101.85,101.27,101.59,5552
RU000A10B2J9,D,300425,000000,101.6,102.45,101.49,102.06,3681
RU000A10B2J9,D,020525,000000,102.85,102.85,101.27,101.8,2076
RU000A10B2J9,D,050525,000000,102.06,102.49,101.5,101.95,5295
RU000A10B2J9,D,060525,000000,101.95,102.82,101.61,102.49,4504
RU000A10B2J9,D,070525,000000,102.48,103.67,102.48,103.17,3560
RU000A10B2J9,D,080525,000000,103.29,103.48,103,103.01,2281
RU000A10B2J9,D,120525,000000,103,105,103,103.65,9775
RU000A10B2J9,D,130525,000000,103.36,103.9,103.09,103.88,5057
RU000A10B2J9,D,140525,000000,104.29,104.29,103.58,104.22,2197
RU000A10B2J9,D,150525,000000,104.22,104.22,103.2,103.2,3421
RU000A10B2J9,D,160525,000000,103.24,103.76,102.5,102.97,4810
RU000A10B2J9,D,190525,000000,103.45,103.45,101.33,102.49,4983
RU000A10B2J9,D,200525,000000,102.51,103.05,101.25,102.35,4379
RU000A10B2J9,D,210525,000000,102.64,102.9,101.69,101.73,5539
RU000A10B2J9,D,220525,000000,102.66,102.66,101.46,101.79,3551
RU000A10B2J9,D,230525,000000,101.78,102.09,101.3,101.35,5305
RU000A10B2J9,D,260525,000000,102.11,102.11,100.97,101,10243
RU000A10B2J9,D,270525,000000,101.34,101.38,100.55,101.13,7469
RU000A10B2J9,D,280525,000000,101.21,101.96,101.16,101.45,3066
RU000A10B2J9,D,290525,000000,101.49,101.84,100.75,100.98,8858
RU000A10B2J9,D,300525,000000,101,102.87,100.83,101.77,4109
RU000A10B2J9,D,020625,000000,101.75,102.09,101.5,102.08,7599
RU000A10B2J9,D,030625,000000,102.5,103.19,101.8,102.8,5618
RU000A10B2J9,D,040625,000000,102.8,103.2,102.4,103,9638
RU000A10B2J9,D,050625,000000,103.19,104.5,102.84,103.46,11159
RU000A10B2J9,D,060625,000000,103.47,104,103.11,103.99,8872
RU000A10B2J9,D,090625,000000,103.91,104,103,103.6,4195
RU000A10B2J9,D,100625,000000,103.41,103.8,103.05,103.79,2723
RU000A10B2J9,D,110625,000000,103.79,104.5,102.81,104.05,2736
RU000A10B2J9,D,130625,000000,104.47,104.99,103.03,103.66,1537
RU000A10B2J9,D,160625,000000,103.71,104,103,103.88,3352
RU000A10B2J9,D,170625,000000,104.26,104.48,103.15,103.15,2252
RU000A10B2J9,D,180625,000000,104.04,104.36,102.43,103.86,4980
RU000A10B2J9,D,190625,000000,104.2,104.2,103,103.31,2540
RU000A10B2J9,D,200625,000000,104.03,104.09,102.54,103.7,2652
RU000A10B2J9,D,230625,000000,103.7,104.2,103.23,103.4,6672
RU000A10B2J9,D,240625,000000,103.22,103.99,102.93,103.58,4534
RU000A10B2J9,D,250625,000000,103.54,103.72,103.06,103.59,2857
RU000A10B2J9,D,260625,000000,103.84,103.88,103.05,103.31,4088
RU000A10B2J9,D,270625,000000,103.3,103.69,103.07,103.19,3683
RU000A10B2J9,D,300625,000000,103.18,103.9,102.19,103.86,4912
RU000A10B2J9,D,010725,000000,103.82,103.9,103.2,103.45,5541
RU000A10B2J9,D,020725,000000,103.86,104.74,103.34,104.55,5331
RU000A10B2J9,D,030725,000000,104.65,104.65,103.39,104.49,3672
RU000A10B2J9,D,040725,000000,104.49,104.88,104.31,104.5,3009
RU000A10B2J9,D,070725,000000,104.5,106,104.29,104.91,3828
RU000A10B2J9,D,080725,000000,105.01,105.48,104.22,104.85,8129
RU000A10B2J9,D,090725,000000,104.85,104.85,103.95,104.35,5656
RU000A10B2J9,D,100725,000000,104.6,104.6,103.53,103.94,4935
RU000A10B2J9,D,110725,000000,104.45,104.46,103.73,104.3,3142
RU000A10B2J9,D,140725,000000,104.34,105.89,103.96,104.67,5913
RU000A10B2J9,D,150725,000000,105.46,105.46,104.54,104.89,3528
RU000A10B2J9,D,160725,000000,105,105,104.4,104.47,4031
RU000A10B2J9,D,170725,000000,104.97,104.97,104.02,104.66,4279
RU000A10B2J9,D,180725,000000,104.82,105.5,104.45,105.2,4298
RU000A10B2J9,D,210725,000000,105.72,105.72,104,104.9,5163
RU000A10B2J9,D,220725,000000,104.91,105,104.5,105,6530
RU000A10B2J9,D,230725,000000,104.92,105.73,104.53,105.37,5008
RU000A10B2J9,D,240725,000000,105.6,105.99,105.13,105.75,3739
RU000A10B2J9,D,250725,000000,105.98,106.17,105.49,105.9,4401
RU000A10B2J9,D,280725,000000,105.9,107.5,105.47,107.35,7970
RU000A10B2J9,D,290725,000000,106.9,107.4,105.67,107.39,193024
RU000A10B2J9,D,300725,000000,107.48,107.48,106,107.12,4164
RU000A10B2J9,D,310725,000000,107.11,107.19,106.14,106.3,2190
