<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10AZN8,D,280225,000000,102.7,102.93,100.5,102.4,9521
RU000A10AZN8,D,030325,000000,102.65,102.65,100.01,101.56,9356
RU000A10AZN8,D,040325,000000,101.96,102.2,101,101.9,3684
RU000A10AZN8,D,050325,000000,101.99,102.36,101.39,102.05,5647
RU000A10AZN8,D,060325,000000,101.4,102.49,100.76,102,2888
RU000A10AZN8,D,070325,000000,102.37,102.68,101.99,102.63,2920
RU000A10AZN8,D,100325,000000,102.64,103.8,102.5,103.6,1869
RU000A10AZN8,D,110325,000000,103.8,104,103.6,104,2208
RU000A10AZN8,D,120325,000000,103.99,105,103.62,104.44,1045
RU000A10AZN8,D,130325,000000,104.3,104.64,101.3,103.05,2300
RU000A10AZN8,D,140325,000000,103.21,104.87,103.21,104.41,2416
RU000A10AZN8,D,170325,000000,104.25,104.25,100.56,101.5,4453
RU000A10AZN8,D,180325,000000,101.5,103.53,100.64,101.99,3772
RU000A10AZN8,D,190325,000000,101.8,103.48,100.71,100.72,1364
RU000A10AZN8,D,200325,000000,102.18,103.77,102.02,102.39,594
RU000A10AZN8,D,210325,000000,103.34,103.74,102.4,102.52,567
RU000A10AZN8,D,240325,000000,102.52,103.95,102,103.34,749
RU000A10AZN8,D,250325,000000,103.34,103.48,102.03,102.74,805
RU000A10AZN8,D,260325,000000,102.75,103.44,101.1,102.9,1369
RU000A10AZN8,D,270325,000000,102.93,103.24,102.02,102.79,400
RU000A10AZN8,D,280325,000000,102.62,102.9,102.23,102.38,706
RU000A10AZN8,D,310325,000000,102.1,102.2,101.15,101.88,1857
RU000A10AZN8,D,010425,000000,101.88,101.99,101.52,101.99,592
RU000A10AZN8,D,020425,000000,102.19,102.19,101.5,101.99,810
RU000A10AZN8,D,030425,000000,102,102.05,101.98,102.01,542
RU000A10AZN8,D,040425,000000,102.1,102.1,101.13,101.47,1325
RU000A10AZN8,D,070425,000000,101.47,102,100,100.6,2367
RU000A10AZN8,D,080425,000000,100.7,101.15,100.25,101.08,667
RU000A10AZN8,D,090425,000000,101.21,101.21,100.33,100.51,1027
RU000A10AZN8,D,100425,000000,100.76,100.93,100.68,100.79,596
RU000A10AZN8,D,110425,000000,100.78,100.95,97.21,100.88,2569
RU000A10AZN8,D,140425,000000,100.94,101.35,100.45,101.13,1253
RU000A10AZN8,D,150425,000000,101.13,101.45,101.1,101.41,381
RU000A10AZN8,D,160425,000000,101.41,101.77,101.26,101.7,811
RU000A10AZN8,D,170425,000000,101.75,102,101.58,102,608
RU000A10AZN8,D,180425,000000,102,102.12,101.83,102,607
RU000A10AZN8,D,210425,000000,102,102.2,101.61,101.94,351
RU000A10AZN8,D,220425,000000,101.94,102.14,101.6,102.14,387
RU000A10AZN8,D,230425,000000,102.14,102.15,102.02,102.14,342
RU000A10AZN8,D,240425,000000,102.12,102.15,101.8,101.9,404
RU000A10AZN8,D,250425,000000,102.22,102.39,102,102.39,328
RU000A10AZN8,D,280425,000000,102.5,103.06,102.43,103,1361
RU000A10AZN8,D,290425,000000,103.04,104,102.85,103.7,1275
RU000A10AZN8,D,300425,000000,103.97,103.99,103.02,103.5,692
RU000A10AZN8,D,020525,000000,103.8,103.96,103.56,103.85,182
RU000A10AZN8,D,050525,000000,103.97,103.97,100.51,103.89,1680
RU000A10AZN8,D,060525,000000,103.9,104.2,103.88,104.03,883
RU000A10AZN8,D,070525,000000,104.05,105.74,104.05,105.27,744
RU000A10AZN8,D,080525,000000,103.68,105.3,103.68,105.3,414
RU000A10AZN8,D,120525,000000,104.93,105.15,104.02,104.95,240
RU000A10AZN8,D,130525,000000,105.12,105.22,104.02,105.1,995
RU000A10AZN8,D,140525,000000,105.27,105.71,104.99,105.6,480
RU000A10AZN8,D,150525,000000,105.6,105.95,105.55,105.68,812
RU000A10AZN8,D,160525,000000,105.94,105.94,105.32,105.71,436
RU000A10AZN8,D,190525,000000,105.9,105.92,104.58,105.35,469
RU000A10AZN8,D,200525,000000,105.36,106.48,105.36,105.81,962
RU000A10AZN8,D,210525,000000,105.81,105.81,105,105.53,221
RU000A10AZN8,D,220525,000000,105.21,105.54,103.66,105.01,578
RU000A10AZN8,D,230525,000000,104,105.35,103.67,105.28,380
RU000A10AZN8,D,260525,000000,105.28,105.28,103.66,104.08,265
RU000A10AZN8,D,270525,000000,104.68,105.49,104.68,105.49,520
RU000A10AZN8,D,280525,000000,105.58,105.65,104.85,105.59,494
RU000A10AZN8,D,290525,000000,105.61,105.67,105.19,105.5,471
RU000A10AZN8,D,300525,000000,105.62,105.95,103.72,105.14,732
RU000A10AZN8,D,020625,000000,105.16,105.9,104.57,105.75,1219
RU000A10AZN8,D,030625,000000,105.89,106,105.32,106,1034
RU000A10AZN8,D,040625,000000,106.01,106.44,106,106.32,425
RU000A10AZN8,D,050625,000000,106.43,106.73,105.88,106,951
RU000A10AZN8,D,060625,000000,106.72,109.78,106.13,108.88,722
RU000A10AZN8,D,090625,000000,109.81,109.81,107.08,108.13,440
RU000A10AZN8,D,100625,000000,108.99,109.88,108.03,108.81,784
RU000A10AZN8,D,110625,000000,108.89,109.78,107.85,109.66,412
RU000A10AZN8,D,130625,000000,109.78,109.89,108.89,109.88,222
RU000A10AZN8,D,160625,000000,109.88,109.9,107.9,109.25,552
RU000A10AZN8,D,170625,000000,109.2,109.2,103.99,104.82,1500
RU000A10AZN8,D,180625,000000,107.17,107.17,104.84,106.33,1220
RU000A10AZN8,D,190625,000000,107.03,107.03,100.51,104.45,1407
RU000A10AZN8,D,200625,000000,102.61,105.79,102.3,105.75,1001
RU000A10AZN8,D,230625,000000,105.75,105.89,104.77,105,498
RU000A10AZN8,D,240625,000000,105.76,107.04,105,105.59,717
RU000A10AZN8,D,250625,000000,105.45,106.49,105.09,106.11,249
RU000A10AZN8,D,260625,000000,106.96,106.96,105.1,106.49,432
RU000A10AZN8,D,270625,000000,106.82,107.03,105.83,106.8,750
RU000A10AZN8,D,300625,000000,106.02,107.04,105.02,106.49,1222
RU000A10AZN8,D,010725,000000,106.31,107.1,106.31,107.1,565
RU000A10AZN8,D,020725,000000,107.15,110,106.38,108.62,987
RU000A10AZN8,D,030725,000000,109.68,109.68,108.6,108.75,185
RU000A10AZN8,D,040725,000000,108.82,109.18,107.72,108.8,742
RU000A10AZN8,D,070725,000000,106.35,109.95,106.35,108.68,621
RU000A10AZN8,D,080725,000000,108.67,108.75,107.85,107.85,258
RU000A10AZN8,D,090725,000000,108.73,109.5,107.52,107.53,728
RU000A10AZN8,D,100725,000000,107.52,108.95,106.46,108.32,377
RU000A10AZN8,D,110725,000000,108.89,109,106.88,108.51,307
RU000A10AZN8,D,140725,000000,108.77,109.21,107.67,109.2,881
RU000A10AZN8,D,150725,000000,109.28,109.93,108.5,108.56,749
RU000A10AZN8,D,160725,000000,109,109.38,108.49,108.87,393
RU000A10AZN8,D,170725,000000,109.38,109.48,109,109,589
RU000A10AZN8,D,180725,000000,109.89,109.98,109.01,109.98,622
RU000A10AZN8,D,210725,000000,110,111.5,109.59,110.94,785
RU000A10AZN8,D,220725,000000,110.94,111.19,109.46,111.14,872
RU000A10AZN8,D,230725,000000,111.13,111.13,110.11,110.29,417
RU000A10AZN8,D,240725,000000,111,111.11,109.96,110.26,564
RU000A10AZN8,D,250725,000000,110.84,110.88,110,110.75,610
RU000A10AZN8,D,280725,000000,110.74,110.85,110.38,110.5,562
RU000A10AZN8,D,290725,000000,110.55,110.83,108.22,109.85,872
RU000A10AZN8,D,300725,000000,110,110,109.5,109.86,216
RU000A10AZN8,D,310725,000000,109.98,109.99,109.06,109.51,301
