<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10ASC6,D,310125,000000,100.5,101.15,100.2,100.56,447.443
RU000A10ASC6,D,030225,000000,100.78,101.3,100.41,100.78,348.304
RU000A10ASC6,D,040225,000000,100.87,100.89,100.29,100.4,198.378
RU000A10ASC6,D,050225,000000,100.54,100.55,99.96,100.19,590.263
RU000A10ASC6,D,060225,000000,100.4,100.67,100.2,100.59,305.098
RU000A10ASC6,D,070225,000000,100.65,100.89,100.55,100.88,126.619
RU000A10ASC6,D,100225,000000,100.85,101.4,100.85,101.4,111.362
RU000A10ASC6,D,110225,000000,101.45,102.15,101.35,101.9,79.084
RU000A10ASC6,D,120225,000000,101.98,102.81,101.75,102.12,82.114
RU000A10ASC6,D,130225,000000,104.47,104.8,102.8,103.3,200.284
RU000A10ASC6,D,140225,000000,103.44,104.42,102.86,103.17,227.315
RU000A10ASC6,D,170225,000000,103.55,104.09,103.19,103.61,93.431
RU000A10ASC6,D,180225,000000,103.62,104.23,103.33,103.64,111.785
RU000A10ASC6,D,190225,000000,103.78,104.15,103.49,103.52,82.203
RU000A10ASC6,D,200225,000000,103.88,104.13,103.56,103.92,461.778
RU000A10ASC6,D,210225,000000,104.2,104.25,103.76,104.01,81.419
RU000A10ASC6,D,240225,000000,104.27,104.39,103.9,104.1,146.946
RU000A10ASC6,D,250225,000000,104.29,104.6,103.85,104.1,87.884
RU000A10ASC6,D,260225,000000,104.55,104.62,103.8,103.97,113.595
RU000A10ASC6,D,270225,000000,104.19,104.4,103.8,104.04,136.126
RU000A10ASC6,D,280225,000000,104,104.19,103.9,103.99,81.408
RU000A10ASC6,D,030325,000000,104.14,104.16,103.88,104.12,75.878
RU000A10ASC6,D,040325,000000,104.18,104.28,103.6,104.04,70.653
RU000A10ASC6,D,050325,000000,104.04,104.42,103.9,104.28,156.108
RU000A10ASC6,D,060325,000000,104.48,104.59,103.8,104.15,522.838
RU000A10ASC6,D,070325,000000,104.13,104.5,103.99,104.23,156.612
RU000A10ASC6,D,100325,000000,104.28,104.44,104.03,104.18,144.687
RU000A10ASC6,D,110325,000000,104.13,104.6,104.13,104.35,81.070
RU000A10ASC6,D,120325,000000,104.37,104.49,103.96,104.09,54.622
RU000A10ASC6,D,130325,000000,104.34,104.47,104.04,104.32,41.923
RU000A10ASC6,D,140325,000000,104.35,104.47,104.06,104.42,78.758
RU000A10ASC6,D,170325,000000,104.5,104.59,104.15,104.21,92.331
RU000A10ASC6,D,180325,000000,104.42,104.65,104.1,104.38,162.176
RU000A10ASC6,D,190325,000000,104.46,104.8,104.36,104.79,115.515
RU000A10ASC6,D,200325,000000,104.79,104.99,104.38,104.6,280.265
RU000A10ASC6,D,210325,000000,104.9,105.37,104.5,105.28,169.442
RU000A10ASC6,D,240325,000000,105.4,106.3,105.28,105.88,51.720
RU000A10ASC6,D,250325,000000,105.88,106.2,105.7,106.09,53.968
RU000A10ASC6,D,260325,000000,106.3,107.28,105.17,106.03,53.600
RU000A10ASC6,D,270325,000000,106.03,106.76,105.7,105.94,60.328
RU000A10ASC6,D,280325,000000,105.99,106.01,104.77,105.91,50.918
RU000A10ASC6,D,310325,000000,105.84,105.85,104.7,105.29,54.840
RU000A10ASC6,D,010425,000000,105.61,105.9,104.8,105.79,42.362
RU000A10ASC6,D,020425,000000,105.8,105.9,105.05,105.37,50.847
RU000A10ASC6,D,030425,000000,105.44,105.9,105.31,105.9,49.379
RU000A10ASC6,D,040425,000000,105.85,105.95,103.9,104.82,95.111
RU000A10ASC6,D,070425,000000,104.32,104.33,101.52,103.77,118.183
RU000A10ASC6,D,080425,000000,104.06,105.09,103.81,104.91,49.607
RU000A10ASC6,D,090425,000000,105.39,105.39,103.77,103.85,115.563
RU000A10ASC6,D,100425,000000,104.98,105.27,104.02,105.27,41.270
RU000A10ASC6,D,110425,000000,105.25,105.9,104.61,105.51,19.626
RU000A10ASC6,D,140425,000000,105.51,105.87,104.99,105.22,39.973
RU000A10ASC6,D,150425,000000,105.62,105.9,104.75,105.2,46.355
RU000A10ASC6,D,160425,000000,105.2,105.9,104.84,105.8,19.280
RU000A10ASC6,D,170425,000000,105.9,105.99,105.5,105.95,62.300
RU000A10ASC6,D,180425,000000,105.95,106.14,105.53,105.9,51.700
RU000A10ASC6,D,210425,000000,106.13,106.2,105.28,105.81,49.925
RU000A10ASC6,D,220425,000000,105.82,105.98,105.61,105.9,32.067
RU000A10ASC6,D,230425,000000,105.9,106.17,105.66,105.93,113.347
RU000A10ASC6,D,240425,000000,105.98,106.24,105.71,105.95,45.019
RU000A10ASC6,D,250425,000000,105.96,106.25,105.85,106.2,23.351
RU000A10ASC6,D,280425,000000,106.25,106.25,106,106.18,26.618
RU000A10ASC6,D,290425,000000,106.2,106.45,106,106.45,24.788
RU000A10ASC6,D,300425,000000,106.45,107.34,106.3,107.19,33.959
RU000A10ASC6,D,020525,000000,107.19,107.85,105.75,106.39,12.469
RU000A10ASC6,D,050525,000000,106.49,106.98,106.15,106.7,36.179
RU000A10ASC6,D,060525,000000,106.96,107.34,106.2,107.34,21.470
RU000A10ASC6,D,070525,000000,107.47,107.92,106.7,107.8,23.320
RU000A10ASC6,D,080525,000000,107.78,107.78,107.33,107.57,5.835
RU000A10ASC6,D,120525,000000,107.8,107.93,107.2,107.2,17.752
RU000A10ASC6,D,130525,000000,107.19,107.69,106.94,107.69,20.252
RU000A10ASC6,D,140525,000000,107.69,107.9,105.99,107.85,29.736
RU000A10ASC6,D,150525,000000,107.84,108.5,107.16,107.9,10.601
RU000A10ASC6,D,160525,000000,107.9,108.6,107.26,108.57,25.357
RU000A10ASC6,D,190525,000000,108.32,108.77,107.5,108.1,19.129
RU000A10ASC6,D,200525,000000,108.14,108.95,107.49,108.57,25.380
RU000A10ASC6,D,210525,000000,108.58,108.76,108,108.55,17.011
RU000A10ASC6,D,220525,000000,108.52,109,108.29,108.5,32.782
RU000A10ASC6,D,230525,000000,108.9,108.9,108,108.39,25.298
RU000A10ASC6,D,260525,000000,108,108.83,107.55,108.59,19.091
RU000A10ASC6,D,270525,000000,108.59,108.94,108.5,108.54,31.723
RU000A10ASC6,D,280525,000000,108.95,108.95,107.56,108.2,40.723
RU000A10ASC6,D,290525,000000,108.2,108.47,107.26,108.25,30.779
RU000A10ASC6,D,300525,000000,108.24,108.37,107.98,108.18,44.978
RU000A10ASC6,D,020625,000000,108.17,109.9,107.21,109.8,138.126
RU000A10ASC6,D,030625,000000,109.13,110.96,109.03,109.99,87.590
RU000A10ASC6,D,040625,000000,110.44,110.83,110.01,110.71,23.178
RU000A10ASC6,D,050625,000000,110.41,110.89,110.3,110.69,24.135
RU000A10ASC6,D,060625,000000,110.66,111,109.53,110.53,66.813
RU000A10ASC6,D,090625,000000,110.55,111.35,109.53,110.13,16.273
RU000A10ASC6,D,100625,000000,110.13,111.1,109.5,110.2,23.565
RU000A10ASC6,D,110625,000000,110.13,111.33,109.16,110.96,24.082
RU000A10ASC6,D,130625,000000,110.78,111.3,109.88,110.16,14.948
RU000A10ASC6,D,160625,000000,110.1,110.5,109.45,110.49,24.140
RU000A10ASC6,D,170625,000000,110.5,111.29,109.8,111.18,22.288
