<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BP87,D,270525,000000,100.1,100.5,99.36,99.47,59764
RU000A10BP87,D,280525,000000,99.49,99.77,99,99.29,55943
RU000A10BP87,D,290525,000000,99.29,99.44,98.99,99.01,33075
RU000A10BP87,D,300525,000000,99.4,99.48,99.1,99.46,13688
RU000A10BP87,D,020625,000000,99.48,100,99.3,99.99,19181
RU000A10BP87,D,030625,000000,100,100,99.5,99.92,28347
RU000A10BP87,D,040625,000000,99.93,100.23,99.74,99.98,18464
RU000A10BP87,D,050625,000000,99.99,100.48,99.99,100.4,27393
RU000A10BP87,D,060625,000000,100.4,100.49,100.06,100.29,15860
RU000A10BP87,D,090625,000000,100.43,100.43,100.02,100.15,12182
RU000A10BP87,D,100625,000000,100.14,100.21,99.82,100.01,11758
RU000A10BP87,D,110625,000000,100.1,100.1,99.8,99.8,10165
RU000A10BP87,D,130625,000000,100,100.36,99.81,100.35,12815
RU000A10BP87,D,160625,000000,100.37,100.47,99.27,99.7,14879
RU000A10BP87,D,170625,000000,99.79,99.79,98.53,99.46,13829
RU000A10BP87,D,180625,000000,99.46,99.46,99.01,99.36,5442
RU000A10BP87,D,190625,000000,99.27,99.77,98.99,99.6,6546
RU000A10BP87,D,200625,000000,99.7,99.88,99.38,99.77,3627
RU000A10BP87,D,230625,000000,99.77,99.8,99.26,99.4,2641
RU000A10BP87,D,240625,000000,99.55,99.6,98.91,99.31,3464
RU000A10BP87,D,250625,000000,99.35,99.79,99.11,99.77,3590
RU000A10BP87,D,260625,000000,99.79,99.96,99.01,99.78,3744
RU000A10BP87,D,270625,000000,99.8,100.19,99.79,99.95,6585
RU000A10BP87,D,300625,000000,100.1,100.18,99.96,100.12,13077
RU000A10BP87,D,010725,000000,100.19,100.35,100.02,100.3,4819
RU000A10BP87,D,020725,000000,100.12,100.31,99.78,100.02,10532
RU000A10BP87,D,030725,000000,100.02,100.06,99.8,100.03,9813
RU000A10BP87,D,040725,000000,100.05,100.46,100,100.43,6118
RU000A10BP87,D,070725,000000,100.43,100.94,100.1,100.94,2662
RU000A10BP87,D,080725,000000,100.94,101.1,100.6,101.07,4188
RU000A10BP87,D,090725,000000,101.07,101.07,100.3,100.57,2705
RU000A10BP87,D,100725,000000,100.58,100.98,100.35,100.66,3532
RU000A10BP87,D,110725,000000,100.6,100.88,100.12,100.4,10371
RU000A10BP87,D,140725,000000,100.3,100.44,100.06,100.4,9329
RU000A10BP87,D,150725,000000,100.41,100.84,100.41,100.67,4350
RU000A10BP87,D,160725,000000,100.8,100.91,100.27,100.85,5029
RU000A10BP87,D,170725,000000,100.93,102.18,100.93,102.18,4854
RU000A10BP87,D,180725,000000,102.18,102.93,101.54,102.1,3863
RU000A10BP87,D,210725,000000,102.1,102.56,101.02,101.75,9691
RU000A10BP87,D,220725,000000,101.75,102.44,101.1,102.24,9448
RU000A10BP87,D,230725,000000,101.8,102.18,101.17,101.3,8545
RU000A10BP87,D,240725,000000,101.3,102.26,100.61,101.32,5473
RU000A10BP87,D,250725,000000,101.35,101.35,100.52,101.08,13727
RU000A10BP87,D,280725,000000,101.08,101.15,100.8,100.98,7447
RU000A10BP87,D,290725,000000,101,101.19,100.77,101,8117
RU000A10BP87,D,300725,000000,101.12,101.12,100.06,100.49,10809
RU000A10BP87,D,310725,000000,100.48,100.49,99.74,100.2,11712
