<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RU000A10BGU1,D,250425,000000,100.29,102.1,100.25,100.53,71706
RU000A10BGU1,D,280425,000000,100.9,101.29,100.06,100.79,54325
RU000A10BGU1,D,290425,000000,100.98,101.2,100.15,100.66,30658
RU000A10BGU1,D,300425,000000,100.86,101.19,100.3,101.11,73877
RU000A10BGU1,D,020525,000000,101.25,101.6,100.72,101,4737
RU000A10BGU1,D,050525,000000,101.34,101.39,101,101.24,7443
RU000A10BGU1,D,060525,000000,101.24,103,101.08,102.5,9939
RU000A10BGU1,D,070525,000000,101.75,102.9,101.75,102.88,4970
RU000A10BGU1,D,080525,000000,102.91,103.87,102.88,103.8,2272
RU000A10BGU1,D,120525,000000,103.8,103.8,103.12,103.68,7964
RU000A10BGU1,D,130525,000000,103.65,103.65,101.86,103.12,7984
RU000A10BGU1,D,140525,000000,102.8,103.47,102.75,103.19,6703
RU000A10BGU1,D,150525,000000,103.01,103.28,102.5,103,7593
RU000A10BGU1,D,160525,000000,103.02,103.39,102.59,103.24,8561
RU000A10BGU1,D,190525,000000,103.3,103.3,101.72,102.7,4160
RU000A10BGU1,D,200525,000000,102.9,103.49,102.19,102.51,4475
RU000A10BGU1,D,210525,000000,102.51,102.99,102.27,102.72,5124
RU000A10BGU1,D,220525,000000,102.71,102.71,100.36,102.27,8877
RU000A10BGU1,D,230525,000000,102.26,102.4,101.32,102.29,4351
RU000A10BGU1,D,260525,000000,102.29,102.33,101,102.19,4415
RU000A10BGU1,D,270525,000000,102.19,102.38,101.51,102.27,4177
RU000A10BGU1,D,280525,000000,102.37,102.74,102.05,102.49,3603
RU000A10BGU1,D,290525,000000,102.67,103.5,102.1,102.47,4915
RU000A10BGU1,D,300525,000000,102.5,103.39,102.5,103.18,5137
RU000A10BGU1,D,020625,000000,103.2,103.4,102.91,103.3,8676
RU000A10BGU1,D,030625,000000,103.29,103.7,102.74,103.69,15576
RU000A10BGU1,D,040625,000000,103.96,104.95,103.87,104.5,4398
RU000A10BGU1,D,050625,000000,104.88,105.83,104.5,104.97,19517
RU000A10BGU1,D,060625,000000,105.7,105.7,103.31,104.81,7447
RU000A10BGU1,D,090625,000000,104.86,104.86,102.45,104.72,6382
RU000A10BGU1,D,100625,000000,104.88,104.97,103.86,104.38,1849
RU000A10BGU1,D,110625,000000,104.99,105.65,104.35,104.5,4083
RU000A10BGU1,D,130625,000000,105.56,105.56,104.61,105.55,1027
RU000A10BGU1,D,160625,000000,105.3,105.91,104.85,105.67,1189
RU000A10BGU1,D,170625,000000,105.7,105.99,104.31,105.19,3565
RU000A10BGU1,D,180625,000000,105,105.78,104.69,105.28,3108
RU000A10BGU1,D,190625,000000,105.35,105.82,104.81,105.71,4091
RU000A10BGU1,D,200625,000000,105.94,105.99,104.78,105.32,1834
RU000A10BGU1,D,230625,000000,106,106.55,104.99,104.99,2579
RU000A10BGU1,D,240625,000000,105.44,106.29,104.71,105.95,3327
RU000A10BGU1,D,250625,000000,105.95,105.95,105.02,105.46,1329
RU000A10BGU1,D,260625,000000,105.43,105.43,104,105.38,2639
RU000A10BGU1,D,270625,000000,105.88,105.88,104.76,105.39,1175
RU000A10BGU1,D,300625,000000,105.95,106.13,103.85,105.45,3381
RU000A10BGU1,D,010725,000000,105.45,106.92,105.3,106.5,1552
RU000A10BGU1,D,020725,000000,105.88,107.34,105.61,106.58,3259
RU000A10BGU1,D,030725,000000,106.35,107.5,106.35,107.28,2585
RU000A10BGU1,D,040725,000000,107.38,107.38,106.75,107.26,3251
RU000A10BGU1,D,070725,000000,107.38,107.5,106.5,107.38,2455
RU000A10BGU1,D,080725,000000,107.38,107.49,106.56,107.4,2376
RU000A10BGU1,D,090725,000000,107.5,107.5,106.37,106.42,3420
RU000A10BGU1,D,100725,000000,107.29,107.32,106.02,106.7,1406
RU000A10BGU1,D,110725,000000,106.99,106.99,106,106.4,1434
RU000A10BGU1,D,140725,000000,107.4,107.49,104.43,106.32,5348
RU000A10BGU1,D,150725,000000,106.5,106.87,105.31,106.69,6719
RU000A10BGU1,D,160725,000000,106.94,106.99,106.1,106.98,2112
RU000A10BGU1,D,170725,000000,106.98,107.31,106,107.19,3882
RU000A10BGU1,D,180725,000000,107.31,107.54,106.99,107.54,4792
RU000A10BGU1,D,210725,000000,107.7,108.47,106.21,107,6293
RU000A10BGU1,D,220725,000000,107.27,107.42,105.53,106.99,7534
RU000A10BGU1,D,230725,000000,107.36,107.36,107.06,107.27,8498
RU000A10BGU1,D,240725,000000,107.27,108.46,107.24,107.49,4570
RU000A10BGU1,D,250725,000000,107.98,107.99,107.39,107.65,3718
RU000A10BGU1,D,280725,000000,107.99,108.28,107.43,107.64,5611
RU000A10BGU1,D,290725,000000,107.7,108.89,107.66,107.85,2465
RU000A10BGU1,D,300725,000000,108.69,108.69,107.38,108,2618
RU000A10BGU1,D,310725,000000,108.24,108.58,108.05,108.53,1606
